,tweet,sentiment,tweet.1,location
0,hillharper liloprah justiceforflint bet circa two thousand and fifteen repost hillharper day one appreciate do humanitarian abcnetwork thegooddoctorabc flint water covid19 help humanity…,0.0,@hillharper @liloprah_ #justiceforflint @bet circa 2015. #repost #hillharper has been there since day 1. We appreciate all you do! #humanitarian @abcnetwork thegooddoctorabc #flint #water #covid19 #help #humanity… https://t.co/QmVIew4FZ9,Michigan
1,updated seven fifty-four et china responsible coronavirus outbreak country face consequence president trump said saturday ' atx austin all512,0.2,"Updated at 7:54 p.m. ET If China was responsible for the coronavirus outbreak, the country should face consequences, President Trump said at Saturday' https://t.co/6fXIlHwGzf #atx #austin #all512",Texas
2,sleepy face rt michaelskolnik name skylar herbert daughter detroit responder child covid nineteen die michigan year old,0.2,"No 😪 RT @MichaelSkolnik: SHE HAS A NAME: Skylar Herbert, the daughter of Detroit first responders, is the first child with COVID-19 to die in Michigan. She was five years old. https://t.co/bqF2Ha4HZK",Texas
3,covid nineteen update queen new york,0.13636363636363635,"COVID-19 update @ Queens, New York https://t.co/yv3XViIXyp",New York
4,weekend brother sister time brothersndsister loveyou covid19 quarentine cuarentena2020 sisterhood barbecue dreadlock capitanmorgan davenport orlando florida,0.0,"Weekend brother and sister time!!! #brothersndsister #loveyou #covid19 #quarentine #cuarentena2020 #sisterhood  #barbecue  #dreadlocks  #capitanmorgan @ Davenport, Orlando, Florida https://t.co/CVenMGXdA7",Florida
5,think revolution resolve rich man bed changing problem coronavirus smh wtf richkidsofinstagram south hadley massachusetts,-0.0625,"Me thinks a revolution should resolve the Rich man’s bed changing problems. #Coronavirus #smh #wtf #richkidsofinstagram @ South Hadley, Massachusetts https://t.co/WJzGJji5ar",Massachusetts
6,spiritualsunday wishing collegeroommate husband best frontlineworkersred heart️ healthcareworkers pa hospitalworkers fireman grateful selfless giving hardworking brave beautiful covid19…,0.8833333333333333,"#spiritualsunday 
Wishing #collegeroommate and her husband the best. Both are #frontlineworkers❤️ 

#healthcareworkers #PA #hospitalworkers #firemen #grateful #selfless #giving #hardworking #brave #beautiful #covid19… https://t.co/Uaq5MhlNTz",Connecticut
7,dream big courage follow dream opportunity you plan business usa witness exponential growth covid nineteen pandemic over invest like pro …,0.0,"If you Dream Big and have the courage to follow your Dream, this is the Opportunity for you.
Plan your business of in USA and witness an exponential growth after COVID-19 pandemic is over. 

Invest like a PRO !!!… https://t.co/NLyPIOFdDS",Virginia
8,dream big courage follow dream opportunity you plan business usa witness exponential growth covid nineteen pandemic over invest like pro …,0.0,"If you Dream Big and have the courage to follow your Dream, this is the Opportunity for you.
Plan your business of in USA and witness an exponential growth after COVID-19 pandemic is over. 

Invest like a PRO !!!… https://t.co/ePdYMEBKRv",Virginia
9,who zoom ing who zoom video communication ronalife socialisolation covid19 coronavirus west hollywood california,0.0,"Who’s #Zoom -ing Who? zoom_video_communications  #ronalife #socialisolation #covid19 #coronavirus @ West Hollywood, California https://t.co/NU868PPfd9",California
10,covid19 bunker covid nineteen ridered mojavemines staythefuckhome socialdistancing mojave desert,0.0,i found my Covid19  bunker! #covid_19 #ridered #mojavemines #staythefuckhome #socialdistancing @ Mojave Desert https://t.co/RD4GhPItUk,California
11,covid19 stayathome sunday cook whats getting close end useful life today two quart hearty marinara combination of eight oz babybella mushroom two large carrot one medium…,0.2571428571428571,"#Covid19 #StayAtHome Sundays are when I cook with what’s getting close to the end of its useful life.  Today’s 2 quarts of hearty marinara were a combination of: 8 oz #BabyBella mushrooms, 2 Large Carrots, 1 Medium… https://t.co/FXKG2nAuUv",California
12,work living room midnight sunday quarantinelife quarantineandchill quarantine coronavirusmemesface with tears of joyface with tears of joyface with tears of joy coronavirus corona pandemia pandemic pandemic2020…,0.0,"About to go to work in my living room at midnight on a Sunday... #quarantinelife 
.
.
.
.
.
.
.
#quarantineandchill #quarantine #coronavirusmemes😂😂😂 #coronavirus #corona #pandemia #pandemic #pandemic2020… https://t.co/fnhWq2cAem",Washington
13,brand new face mask cover spring eu you final price website staying home coronavirus pandemic need face shield mask wrap scarf on…,0.20227272727272724,Brand new face mask covers for you this spring. Made in EU just for you. Final prices are on website. Are you staying home more often due to the coronavirus pandemic? Need more face shield masks wraps or scarves on… https://t.co/XWO7zKTkAD,New York
14,yall know starbucks me fourteen year away dunkindonuts taste like water me coffee starbucks stayhome coronavairus covid19 boston melrose massachusetts,0.0,"Y’all know these are @starbucks to me... After 14 years away, @dunkindonuts tastes like water to me. #coffee #starbucks #stayhome #coronavairus #covid19 #boston @ Melrose, Massachusetts https://t.co/qYPMxAI07h",Massachusetts
15,definitely felt like week going grocery store coronavirus song runningoutoftime tryingtomakeitright makeitright los angeles california,0.0,"Definitely felt like that last week when going to the grocery store #coronavirus #songs #runningoutoftime #tryingtomakeitright #makeitright @ Los Angeles, California https://t.co/1Pz5ljmq4y",California
16,excited showcase innovative partnership ‘ covid symptom collector connected city integrator leading way helping city organically track people symptom better serve and…,0.4958333333333334,"Very excited to showcase this innovative partnership, the ‘COVID Symptom Collector’ from Connected Cities Integrators, leading the way helping cities organically track people with symptoms, to better serve them and… https://t.co/hlExnHxUfq",New York
17,healthcare working friend mine wanting protest covid nineteen protection guideline place safe slow spread print sign waiver wont…,0.09999999999999998,"From a healthcare working friend of mine:  For all those wanting to protest Covid-19 and the protection guidelines put in place to keep us ALL safe and slow the spread, please print and sign this waiver. We won’t… https://t.co/iyIp5hU9tu",California
18,sure check archer aero youtube episode three `` covid nineteen two thousand and twenty unseen effect pandemic '' go live five hour week …,0.3977272727272727,"Be sure to check out Archer Aero on YouTube! https://t.co/YwvGbFZ5pg Episode 3 of ""COVID-19 in 2020: the unseen effects of a pandemic"" goes live in just over 5 hours! This week I… https://t.co/VGnL6GvtnW",Oregon
19,wish celebrate halloween year round didn ' expect coronavirus happen thistooshallpass littlerock california,-0.2,"One of my wishes is to celebrate #halloween year round but I didn't expect #coronavirus to make it happen..... #thistooshallpass @ Littlerock, California https://t.co/48SBvE3LF7",California
20,week three nine wasnt sure covid nineteen experienced symptom starting three five got test fine coronavirus triage unit san francisco sent the…,0.4291666666666667,"So the week of 3/9 I wasn’t sure if I had covid-19. I experienced symptoms starting 3/5. I never got a test, but I am fine. I was put through the coronavirus triage unit in San Francisco and then sent to the… https://t.co/wO0ddEZju6",California
21,champagne cuz celebrating feeling like million blessed eat lurking corona virus art artaddict stealth health wealth fwm know got besafe essential trap new york new york,0.0909090909090909,"Champagne Cuz We Celebrating .... Feeling like Million 
#Blessed #Eat #Lurking #Corona #Virus #K #Art #ArtAddict #Stealth #Health #Wealth #Fwm You Know I Got it #BeSafe #Essential #Trap @ New York, New York https://t.co/fjtKYVJBl4",New York
22,don ' know people complaining about hair look great noh8 covid19 happyfuckingmonday boise idaho,1.0,"Don't know what people are complaining about, my hair looks great!

#NOH8 #COVID19 #happyfuckingmonday @ Boise, Idaho https://t.co/8kGovEcPH2",Idaho
