,tweet,sentiment,tweet.1,location
0,beaten path local spot napasporteats face savoring food patio dining social distancing mask face with medical mask required super clean spacious guide dogdog‍safety vestpoodle dogfriendlyrestaurant napavalley steakhouse sportbar galyenmichael…,0.2444444444444445,"Off the beaten path, the locals’ spot @NapaSportEats 😋 Patio dining, social distancing, mask 😷 required, super clean, spacious,  🦮🐕‍🦺🐩  #dogfriendlyrestaurant in #NapaValley #steakhouse #sportbar by galyenmichael… https://t.co/BayGP6S7L1",California
1,sunday night 7pm outdoor dinner party celebrating two diva birthday roxydelvalle psycadella let hottest social distancing dinner ever reservation online mia farrow cadeyyyboyyy…,0.05208333333333333,Sunday night 7pm OUTDOOR DINNER PARTY! We are celebrating 2 Divas BIRTHDAYS roxydelvalle and @psycadella   Let’s have the HOTTEST social distancing dinner EVER! Make reservations now online!  @Mia_farrow cadeyyyboyyy… https://t.co/9OYnTXcWFz,California
2,sunday night 7pm outdoor dinner party celebrating two diva birthday roxydelvalle psycadella let hottest social distancing dinner ever reservation online mia farrow…,0.05208333333333333,Sunday night 7pm OUTDOOR DINNER PARTY! We are celebrating 2 Divas BIRTHDAYS roxydelvalle and @psycadella   Let’s have the HOTTEST social distancing dinner EVER! Make reservations now online!  @Mia_farrow… https://t.co/rcviyymXgC,California
3,distancing wasn ' social cameraskull and crossbones️ barrio logan,0.03333333333333333,"When distancing wasn't social.
.
.
.
📷☠️ @ Barrio Logan https://t.co/OcXwpxi1GL",California
4,today year anniversary texas crazy year big move stressful job todd global pandemic social growth equality hopefully also new amazing…,0.0282828282828283,"Today is our one year anniversary in Texas. It has been a crazy year-a big move, a stressful job for Todd, a global pandemic, social growth and equality (hopefully).

Also, new and amazing… https://t.co/jPmk7EKOy7",Texas
5,today amazing activated fabulous corona del mar village duplex afternoon multiple offer desk wonderful agent amazing work with …,0.45,Today was amazing.  We activated this fabulous Corona del Mar village DUPLEX this afternoon and have multiple offers on our desks. All wonderful agents that would be AMAZING to work with.… https://t.co/SLSm1kMvid,California
6,flashback april ten two thousand and twenty corona virus spreading uncertainty unfolding month challenging covid stealthily took hold city people brooklyn grandmother…,0.5,"Flashback April 10 2020, 
the Corona Virus, spreading but still uncertainty as to what was unfolding. That month so challenging as the Covid stealthily took hold of our city of people, Brooklyn,
a grandmother… https://t.co/zlMXybRB6J",New York
7,covid nineteen middle fingermedium skin tone gon enjoy two thousand and twenty way,0.5,F Covid 19 🖕🏽 we gon enjoy 2020! @ Out the Way https://t.co/2SNNcxCmcU,Ohio
8,sure wear mask practicing social distancing face with medical mask wearamask stayactive stayhome keepthefaith atherton baptist church,0.2708333333333333,"Make sure to wear your Mask and that you are practicing social distancing 😷! 

#wearamask #stayactive #stayhome #keepthefaith @ Atherton Baptist Church https://t.co/k8RW7ouhnj",California
9,atlantacasting byutv dwightinshiningarmor castingalert share available like considered production prior work provide verification negative covid nineteen test…,0.03333333333333335,"#AtlantaCasting #Byutv #DwightInShiningArmor 
#CastingAlert Please Share! If you are available and would like to be considered, per Production, prior to work you must provide verification of a NEGATIVE Covid-19 test… https://t.co/wdFNkwL0OW",Georgia
10,junior ring ceremony v graduation baby southernuniversity lsu classof2020 quarantineclass socialdistancing brother friend cousin sincebeen classof2024 …,0.0,Junior Ring Ceremony Vs. Graduation with our babies!!! #southernuniversity #LSU #classof2020 #quarantineclass #socialdistancing #brothers #friends #cousins #sincebeen #classof2024 @… https://t.co/afoGYPcj5a,Louisiana
11,"lovin hair covid prepared follow guideline appointment book appointment four hundred and eight three hundred and ten seven thousand, three hundred and twenty-two online lovin hair",0.0,"Lovin’ the Hair is COVID prepared! You must follow the guidelines for your appointment. .
.
.
.
To book an appointment please call 408-310-7322 or online at https://t.co/TroxurByvJ @ Lovin’ the Hair https://t.co/A18XBmG8Z1",California
12,come join u social distancing protocol strictly inforced link hold space outdoor seating eating space mask required …,0.03333333333333333,"Please come join us, social distancing  protocol strictly inforced..  please see link to hold a space below in our  outdoor seating eating space... mask are required...… https://t.co/JUoqDtE38P",California
13,pandemic racism compound worry black suicide rate,-0.16666666666666666,"Pandemic, racism compound worries about Black suicide rate https://t.co/NIDG3DgfKj https://t.co/0XcPUdMc8t",Oregon
14,like checking mail way home work bad as shirt waiting me maintain mightve best ballyhoorocks set list favorite ballyhoo album plus my…,0.2500000000000001,Nothing like checking the mail on the way home from work to find this bad ass shirt waiting for me! I still maintain that this might’ve been the best @ballyhoorocks set list. My favorite Ballyhoo! album plus my… https://t.co/lTuzuSOZz6,Texas
15,"hibiscushibiscus fence art hicleaners hibiscushibiscus telephone️ seven hundred and eighty-one three hundred and thirty-three eight thousand, seven hundred and fifty-eight clean coronavirus home house cure hgtv danvers massachusetts",0.3666666666666667,"🌺🌺 Fence art by HiCleaners 🌺🌺

https://t.co/kh9yw7wpRC
https://t.co/TzCkOwzKvf

☎️ (781) 333-8758

#clean 
#coronavirus 
#home 
#house 
#cure 
#hgtv @ Danvers, Massachusetts https://t.co/QZpvITRYl2",Massachusetts
16,beautiful day beautiful lady forest park currently outdoor activity st louis tripadvisor safely socialdistancing…,0.5700000000000001,"Beautiful day with these beautiful ladies in Forest Park!

Currently the top outdoor activity in St. Louis on @Tripadvisor  while safely #SocialDistancing… https://t.co/AZm02p2bNd",Missouri
17,corona virus microbe dont care are realdonaldtrump wear mask part 🇺🇸 covid19 potus45 chineseplague kungfuflu blm maga usa makeamericagreatagain goyafoods walter reed national military…,-0.1,Corona virus 🦠 don’t care who you are. @realdonaldtrump Wear a mask. Do your part. 🇺🇸 #covid19 #potus45 #chineseplague #kungfuflu #blm #maga #usa #makeamericagreatagain #goyafoods @ Walter Reed National Military… https://t.co/n40YnJfh4o,Maryland
18,"covid nineteen update home one hundred fifteen 204th st queen ny eleven thousand, four hundred and twenty-three harley davidson redesign license plate bracket don ' scrape lag time know fold curious queen new…",0.018181818181818167,"COVID-19 update 
Home???
100-15 204th St, Queens, NY 11423
 Harley Davidson can you redesign the license plate bracket so I don't scrape my lag every time I get off or on I know it folds in just curious @ Queens, New… https://t.co/u1li9c32Ul",New York
19,mlsisback corona cup win four zero grove city ohio,0.8,"#mlsisback CORONA CUP WIN 4-0 @ Grove City, Ohio https://t.co/bLUMZKdbAo",Ohio
20,independent evaluation global covid nineteen response announced,0.0,Independent evaluation of global COVID-19 response announced https://t.co/eneG3M3c0N,Oregon
21,wearamask protect you covid19 real friend passed away coronavirus friend recovered tell symptom low grade fever difficultly…,-0.1,"I  #wearamask to protect myself and you. #Covid19 is real.  Our two friends have passed away from #coronavirus.  And I have friends who have recovered and tell me about their symptoms - low grade fever,  difficultly… https://t.co/2NUL16sBuw",California
22,"covid nineteen update home one hundred fifteen 204th st queen ny eleven thousand, four hundred and twenty-three harley davidson redesign license plate bracket don ' scrape lag time know fold curious pants…",-0.1,"COVID-19 update 
Home???
100-15 204th St, Queens, NY 11423
 Harley Davidson can you redesign the license plate bracket so I don't scrape my lag every time I get off or on I know it folds in just curious I had pants… https://t.co/7lgpCyBNh6",New York
23,met man road said it true love know • • • • • glenwoodcavernsadventurepark glenwoodcaverns glenwoodspringscolorado colorado roadtrip summer two thousand and twenty covid19…,0.225,"Met a man on the road, they said it’s not true love, but what do they know! 
•
•
•
•
•
#glenwoodcavernsadventurepark #glenwoodcaverns #glenwoodspringscolorado #colorado #roadtrip #summer #2020 #covid19… https://t.co/bppLDELxyV",Colorado
24,freakin covid waiting five month hair appointment today finally day thank lindsaythecurlygrl making feel like woman again 'all know feeling can amen person getting haircut‍female sign️nail polishlipstickwoman dancing…,0.0,"Freakin COVID had me waiting 5 months for a hair appointment, and today was finally MY day.  Thank you lindsaythecurlygrl for making me feel like a woman again!  Y'all know the feeling...can I get an AMEN?!! 💇‍♀️💅💄💃… https://t.co/FjCog4Yw8S",Tennessee
25,season eleven americanhorrorstory ryanmurphy mrrpmurphy coronavirus america,0.0,Season 11 #americanhorrorstory #ryanmurphy mrrpmurphy #coronavirus @ America https://t.co/kuStfle2sa,California
26,finally ordered shirt right lockdown began easily favorite kit world football claptoncfc upthetons sarasota florida,0.2619047619047619,"FINALLY!!! I ordered this shirt right when lockdown began. Easily my favorite kit in all of world football. #claptoncfc #upthetons @ Sarasota, Florida https://t.co/8udlYgeP2F",Florida
27,covid moving u pray craig it safer day day activity love sister robin street market,0.5,#covid is moving among us. Pray for Craig to make it. Be Safer in your day to day activities. Much #love to you @ Sister Robin Street Market https://t.co/CqHPkB7RMz,Florida
28,day im call covid doesnt sleep guess anxious face with sweatwinking faceradioactive️ kaiser sunset hollywood,-0.5,Even on my day off I’m on call. COVID doesn’t sleep I guess neither do I 😰😉☢️ @ Kaiser Sunset Hollywood https://t.co/i69yuxe7Tz,California
29,beautiful morning wa especially friend nancygm75 would nicer ran everyone damn covid nineteen but best it dressed sparkly eighty attire amp nancy…,0.0,"What a beautiful morning it was, especially with my friend nancygm75 .Would have been much nicer if we ran with everyone. Damn COVID-19.But we made the best of it, I dressed in my sparkly 80’s attire &amp; then Nancy… https://t.co/7Ho0ve6W9c",California
30,mission complete oncoming fistmedium skin tonetrophyfire showed covid nineteen didnt slow fight night performance like promised thank stayvigilant813 giving opportunity showcase skills…,0.0,Mission Complete 👊🏽🏆🔥!! Showed that this COVID-19 didn’t slow me down at all with this Fight of the Night Performance like I promised! Thank you @stayvigilant813 for giving me the opportunity to showcase my skills… https://t.co/WH7Q3dSrw5,Florida
31,halloween two thousand and twenty postponed two thousand and twenty-one season uncertainty time covid winter weather need focus incoming historical school year honestly don ' time halloween two thousand and twenty expect more…,0.15555555555555556,Halloween 2020 is postponed to 2021 season Uncertainty time with covid and winter weather. I need to focus on incoming historical school year but honestly I don't have time to do Halloween 2020.  Also expect more… https://t.co/vz4vCydQBE,Colorado
32,im struggling positive year there thing covid nineteen dont let missing traveling important missing miami chaos world…,0.4,"I’m struggling to be positive during this year .. There’s so many things that the COVID-19 don’t let me do .
I missing so much traveling but most important I missing so much Miami .
During this chaos around the world… https://t.co/g9u4biNFwx",Florida
33,scheduled fourth covid nineteen test dodger stadium wednesday afternoon 3pm three 30pm,0.3666666666666667,May or may not have scheduled my fourth COVID-19 test at Dodger Stadium on Wednesday afternoon between 3pm and 3:30pm,California
34,good set example exactly potus right now see nice thing guy act like human being need waaaaaaaaaaaay often,0.1875,"This is good. It sets an example, which is exactly what a POTUS should be doing right now.

See, I can say nice things about the guy when he acts like a human being.

He just needs to do so waaaaaaaaaaaay more often. https://t.co/SQhLVn4D90",Arizona
35,23andme data suggests blood type factor covid nineteen 23andme covid19 diggzblog,-0.08333333333333333,23andMe Data Suggests Blood Type a Factor for COVID-19 #23andme #covid19 #Diggzblog https://t.co/VbtEJS47OA,Florida
36,today day stephanie trial covid19 thing original day set april 4th postponed flash forward three month later today get to…,0.078125,"Today was her day! 
Stephanie and I did a trial back before #covid19 was a thing, and when her original day of was set for April 4th, but it had to be postponed.
Flash forward to 3 months later and today she gets to… https://t.co/b2XSqLYQl9",Nevada
37,⁣in midst hot pittsburgh summer better way cool enjoy outdoors dipping best swimming hole nearby added obstacle current pandemic many…,-0.03636363636363636,"⁣In the midst of a hot Pittsburgh summer, what better way to cool off and enjoy the outdoors than by dipping into some of the best swimming holes nearby? With the added obstacle of the current pandemic, many… https://t.co/vzyv89veit",Pennsylvania
38,right arrow️left arrow️curly loop swipe double exclamation mark beforeandafter dizzy three element healthy hair thinking facethinking facethinking face dizzy previous post answer meantime post quarantine transformation m traci smiling face with hearts …,0.43333333333333335,"➡️⬅️➰ SWIPE ‼ #beforeandafter 
.
.
 
💫  What are the top 3 elements of healthy hair? 🤔🤔🤔
.
.
 💫  Go back to my previous post to find the answer! In the meantime,  post #quarantine transformation for Ms. Traci 🥰
.
.… https://t.co/Fp7oDBFhbO",Maryland
39,new campaign american comfort israel filmed covid nineteen new york city usa,0.11666666666666667,"New campaign for american.comfort Israel we filmed just before covid 19 @ New York City , USA https://t.co/ZhVSJIgbrH",New York
40,cant sleep suffocating anxiety ive experiencing march thank you government gross mishandling pandemic dealing listening soothing canadian accent the…,-0.0075757575757575794,"Can’t sleep due to this suffocating anxiety I’ve been experiencing since March (thank you, US government, for your gross mishandling of the pandemic).  Dealing by listening to the soothing Canadian accents of the… https://t.co/2Y7ovz8SiM",Texas
41,chinatown alive high voltage️high voltage️high voltage️ camera with flash gietr jehzanexclusive lockdown two thousand and twenty quarantine chinatownhi honolulu oahu hawaii evolsummer pride art mark garage,-0.2083333333333333,"Keep Chinatown alive ⚡️⚡️⚡️
📸: @_gietr x @jehzanexclusive #lockdown #2020 #quarantine #chinatownhi #honolulu #oahu #hawaii #evolsummer #pride @ The ARTS at Marks Garage https://t.co/SbGaiqFlkQ",Hawaii
42,honey were again sheltered place stupid covid kebler pas thisiscolorado coloradoskies colorado explore explorecolorado exploringcolorado adventure roadtrip newtruck…,0.0,"Before honey and I were, once again, sheltered in place.... stupid covid.
Kebler Pass, CO
-
-
-
-
-
#thisiscolorado #coloradoskies #colorado #explore #explorecolorado #exploringcolorado #adventure #roadtrip #newtruck… https://t.co/wdNTexvUFE",Colorado
43,rooting theycallme mellie mel begin new life atlanta ga proud excited hear success pandemic woman making power move figuratively and…,-0.125,"We are rooting for theycallme_mellie.mel as she begins her new life in Atlanta, GA. So proud of you and excited to hear about your success. 

Even in a pandemic, woman are making power MOVES, figuratively and… https://t.co/4LGQfw8T1z",Georgia
44,exclusive gt gt gt donald trump worn mask public time start coronavirus pandemic president visiting walter reed military hospital outside washington he…,-0.008333333333333335,"EXCLUSIVE &gt;&gt;&gt; Donald Trump has worn a mask in public for the first time since the start of the coronavirus pandemic !
- 
The US president was visiting the Walter Reed military hospital outside Washington, where he… https://t.co/mPk0FyctsW",District of Columbia
45,corona virus youre tipping cheap nastay uf going fucking tip server bartender drag queen theyre working way harder you dont think so …,0.0,"CORONA VIRUS! 

If you’re not tipping you cheap or you Nastay. UF YOU ARE GOING OUT PLEASE FUCKING TIP your servers and bartenders and drag queens. They’re working way harder than you.  Even if you don’t think so. @… https://t.co/Iu6FXkGHtw",Indiana
46,india struggle coronavirus bollywood biggest star test positive amitabh bachchan revered celebrity face india checked hospital saturday prompting countless indian pray him vía nytimes,-0.1,"As India Struggles With Coronavirus, Bollywood’s Biggest Star Tests Positive: Amitabh Bachchan, a revered celebrity whose face is everywhere in India, checked into a hospital on Saturday, prompting countless Indians to pray for him. https://t.co/yHwLk7ma1D (vía NYtimes) https://t.co/1DzM74CS6P",New York
47,what ' like having hair time lockdown intrepid editor jo fairley sarah stacey talk expect – celebrate amazing hair day,-0.05625,"What's it like having your hair done for the first time, after #lockdown? Our intrepid editors Jo Fairley and Sarah Stacey talk about what to expect – and celebrate Amazing Hair Days  https://t.co/bA8Y7S9u7G",New York
48,coronavirus couldnt drag away,0.2272727272727273,Coronavirus couldn’t drag them away. https://t.co/WcASGrgYBc,Alabama
49,finally finished picture soon released lockdown study nook wall look close pick tire pick glow dark eye gooey details…,0.25,"Finally finished my picture. As soon as we are released from lockdown, I will put this on my study nook wall. If you look close at the last pick tire you may pick up the glow in the dark eyes and the gooey details… https://t.co/oz1XGAsqXT",California
50,join 🇺🇸 morning nine drive in service ten thirty in church service church social distancing guideline place pew taped mask hand sanitizer available door door we…,-0.1,"Join us 🇺🇸 this morning at 9 am for Drive-In Service,  or at 10:30 am for In-Church Service ⛪, Social distancing guidelines are in place with pews taped off , masks, and hand sanitizer available at the door 🚪. 

We… https://t.co/LvZfYPPwWS",Tennessee
51,crimeinthed detroit policeofficer caught wearing mask covid19 pandemic crimestoppers crimeinthed writing rap phone rolled window down thinking about…,0.24375,"@crimeinthed #detroit #policeofficer caught not wearing a #mask due to #COVID19 #pandemic 
.
#crimestoppers #crimeinthed 
I was writing raps in my phone then she rolled the window down. Was she thinking about… https://t.co/RQEgOKIood",Michigan
52,grantfuhr31 join morning discussing sport pandemic hockey halloffame nhl sport covid19 health woodland hill,-0.16666666666666666,grantfuhr31 joins the show this morning! Discussing #sports and the #pandemic. #hockey #halloffame #nhl #sport #covid19 #health @ Woodland Hills https://t.co/HrCLdENhNO,California
53,good morning sunshine glorious day horizon hoping bit kayaking bring tani ‘ big swim local pond pandemic use pond by…,0.0,"Good Morning Sunshine! Another glorious day on the horizon, hoping to get a bit of kayaking in and bring Tani along to his first ‘big swim’ at our local pond. Due to the pandemic the use of the pond has been by… https://t.co/1y3fkPKHWL",New Hampshire
