,tweet,sentiment,tweet.1,location
0,worked main office today eighty-nine day time worked there it covid thang monday office ittechnology energy utility cpsenergy life gym fit workout asian filipino healthylifestyle…,0.14166666666666666,"Worked at the main office today, 89 Days since the last time I worked there! It’s a COVID thang! #monday #office #ittechnology #energy #utilities #cpsenergy #life #gym #fit #workout #asian #filipino #healthylifestyle… https://t.co/3dd2663T3b",Texas
1,' back kinda ' available shoot sport summer limiting availability outdoor sport social distancing possible ' offering introductory rate one hundred game plus any…,0.033333333333333326,"I'm back...kinda. I'm available to shoot sports this summer! I am limiting my availability to outdoor sports that make social distancing possible. 
I'm still offering an introductory rate of $100 per game (plus any… https://t.co/KJBcc63k6X",South Dakota
2,covid nineteen update queen new york,0.13636363636363635,"COVID-19 update @ Queens, New York https://t.co/YbTiwU9NbS",New York
3,shout fashionnova helping mask game pointdouble exclamation mark️ dazzlingdanette performerlife mompreneur covidcouture quarantine influencer mask fashionnova society hill jersey city,-0.625,"Shout out to @fashionnova for helping keep my mask game on point‼️  #DazzlingDanette #PerformerLife #Mompreneur  #CoVidCouture #Quarantine #Influencer 
.
Mask @fashionnova @ Society Hill, Jersey City https://t.co/fdqPG7amM9",New Jersey
4,reminiscing favorite day ever ring cant believe pulled couple week quarantine hit thankful got fun month lockdown white heart pourstyles guild…,0.540625,Reminiscing on my favorite day ever! 💍 Still can’t believe we pulled this off just a couple weeks before quarantine hit! So thankful we got to have so much fun before months of lockdown. 🤍 | #pourstyles @ The Guild… https://t.co/dZZiGvuePa,California
5,••• pre covid nineteen jam friend pandemic sure changed life short span time it important vigilant case spiking arizona global…,0.28,"••• Pre Covid 19 jam with friends! This pandemic sure has changed our lives in short span of time, but it’s important to be even more vigilant now than ever before as cases are spiking and Arizona has become a global… https://t.co/jliaCP0I4X",Arizona
6,spring nation gappoetpix covid19 walkingwithamask westcott nation,0.0,Spring in The Nation. #gappoetpix #covid19 #walkingwithamask @ Westcott Nation https://t.co/zxkMUZKx3l,New York
7,wear mask stay home covid19 coronavirus wearyourmask pensacola florida,0.0,"Please wear your mask or stay home! #covid19 #coronavirus #wearyourmask @ Pensacola, Florida https://t.co/OTxy0ucOWo",Florida
8,"arndtwalk two thousand and twenty six twenty-two seven thousand, seven hundred and sixty-two step sixty-one min twenty-seven sec gazelle edge exercise glider fitness fitnessjourney fit walk workout quarantinelife quarantinelifeface with medical mask quarantinelifered heart️ quarantine fitnessfreak eaton…",0.0,"#Arndtwalk 2020-06-22
7762 steps in 61 min 27 sec on #gazelle #edge #exercise glider
#fitness #fitnessjourney #fit #walk #workout #quarantinelife #quarantinelife😷 #quarantinelife❤️ #quarantine #fitnessfreak @ Eaton… https://t.co/1MVAZXiEoD",Michigan
9,nation gappoetpix covid19 westcott nation,0.15000000000000002,More from The Nation. #gappoetpix #covid19 @ Westcott Nation https://t.co/DE7TGIJTMU,New York
