,tweet,sentiment,tweet.1,location
0,bikinicovid nineteen update smiling face with sunglasses miam resident star-strucknews city smiling face with heart-eyesbeaches wouldnttropical drink reopen bottle with popping corkearly umbrella on groundjune party beach with umbrellaanimals hunker downdesert island stay safe water wavesoon we 're gon na desert islandthis party…,0.1611111111111111,"👙COVID-19 update, 😎 for Miam residents, the 🤩news is that the city’s 😍beaches wouldn’t🍹 reopen before 🍾early ⛱June. So for all you party 🏖animals hunker down🏝 and stay safe. Very 🌊soon we're gonna get 🏝this party… https://t.co/N1cr1KtAK3",Florida
1,today ary aka arya underfoot back alley social distancing exam visit checkup vaccination booster thing got interrupted caesar covid19 thing handled like…,0.225,"Today, Ary (aka, arya._.underfoot) had his first back-alley social-distancing exam, visit, checkup, vaccinations, and boosters (things got interrupted with Caesar and the whole #covid19 thing) and he handled it like… https://t.co/PDQ6hKlnWz",Illinois
2,we 'll updating story day monday latest local news coronavirus pandemic news tip question email atx austin all512,0.25,"https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Monday with the latest local news on the coronavirus pandemic. If you have a news tip or question, email us https://t.co/q0q13whFGC #atx #austin #all512",Texas
3,analysis show santa clara county covid nineteen case concentrated poor san jose zip code lack care working class citizen particular service industry ” said president naacp silicon valley pastor jethro moore,-0.11666666666666667,"Analysis Shows Santa Clara County COVID-19 Cases Concentrated In Poor San Jose Zip Codes: ... and lack of care for our working class citizen, in particular our service industries,” said President of the NAACP of Silicon Valley Pastor Jethro Moore. https://t.co/p2nxOXgJhQ",California
4,sworkout lunch big boi changed fitness shirt bought available month support good folk covid nineteen era remember pic of…,0.275,SWorkout lunch. Big Boi here changed into his s.p.o.r.t._fitness shirt (bought when made available last month to support the good folks there during this Covid-19 era - you might remember some of my pics of… https://t.co/w7kkUrjnB4,Illinois
5,comedy covid19 snitchesgetstitches knoxville tennessee,0.0,"#comedy #COVID19 #snitchesgetstitches @ Knoxville, Tennessee https://t.co/kaYtmmXRFK",Tennessee
6,“ meditate precept consider way ” psalm one hundred and nineteen fifteen jesus jesuschrist christ bible holy scripture holyspirit psalm psalm119 1samuel studygram covid19 covid…,0.0,"“I meditate on your precepts and consider your ways.” ~Psalm 119:15
~~~~~~~~~~~~~~~~~~~~~~~
#jesus #jesuschrist #christ #bible #holy #scripture #holyspirit #psalms #psalm119 #1samuel #studygram #covid19 #covid… https://t.co/qpZKWLrX2s",Pennsylvania
7,wife basically covid19 unemployed started delivering postmates team drive heavy lifting lol today 5th ten hour day one hundred and twelve deliveries…,0.30000000000000004,"Now that my wife and I are well and basically covid19 unemployed, we started delivering for Postmates as a team. I drive and she does all the heavy lifting. Lol. 
As of today, our 5th 10-hour day, 112 deliveries,… https://t.co/LPFHHaLN2h",Colorado
8,trapfuego “ goonz ” prod jayv411411 drop firefirefirefire ready drop hundred points trapfuego spotify itunes trending viral goonz hilodamobb newrelease coronavirus sony dababy lilbaby trapfuego world,-0.2,@trapfuego “GOONZ” prod x @jayv411411 is about to drop 🔥🔥🔥🔥 who ready for it drop a 💯. #Trapfuego #Spotify #Itunes #Trending #Viral #Goonz #Hilodamobb #NewRelease #coronavirus #sony #Dababy #lilbaby @ Trapfuego World https://t.co/MLTQl2vXjQ,Georgia
9,blueberry pie coronavirus blue rahbean truly long time couldnt figure pie like soup finally got it clapping handsmedium skin tone retouching virtual photo session dm or…,0.25,"Blueberry pie for the Coronavirus blues. Made by @rahbean and yours truly. For a long time we couldn’t figure out why our pie was like soup. We finally got it! 👏🏽 
_
For retouching or virtual photo sessions, dm or… https://t.co/VgHw6jmYVC",Louisiana
10,turning day covid make want smash cake ferndale washington,-0.025,"Turning one in days of covid makes you want to smash your cake... @ Ferndale, Washington https://t.co/nZzWJKGGtr",Washington
11,talented group folk got interviewed milwaukeemag responding covid nineteen lucky included backhand index pointing upread article link biobackhand index pointing up art artist covid nineteen quarantine…,0.0,"A talented group of folks got interviewed by @milwaukeemag about responding to COVID-19 and i was lucky enough to be included. 
.
👆Read the whole article link in bio👆
.
#art #artists #covid_19 #quarantine… https://t.co/PfHbMJDlRB",Wisconsin
12,potus cut funding two week ago realdonaldtrump actively failing thing covid nineteen white house,0.3083333333333333,".potus cut funding to THIS 2 WEEKS AGO!
@realdonaldtrump is ACTIVELY failing at all things #COVID-19 @ The White House https://t.co/4hOx4HwEaG",District of Columbia
13,feel like south midwest gon na good summer,0.3,I feel like the South and Midwest are not gonna have a very good summer. https://t.co/GuHzlhrji2,Washington
14,picnicked burrito wrapped one burrito corona del mar california,0.91,"Picnicked with burritos then wrapped up into one! 🌯 @ Corona del Mar, California https://t.co/tqsTzQtnbe",California
15,ok know corona virus bad get better want travel key west group travel travelphotography photography nature travelgram love photooftheday instagood…,0.35,Ok I know that the corona virus is bad but when it gets better if you want to travel to key west here is my group #travel #travelphotography #photography #nature #travelgram #love #photooftheday #instagood… https://t.co/iqHwg4U18z,Florida
16,coalition voter civil right group opened new monday legal war mail in voting texas new coronavirus pandemic atx austin all512,0.011666666666666659,https://t.co/q1bIRBjDj8 A coalition of voters and civil rights groups opened a new front Monday in the legal wars over mail-in voting in Texas during the new coronavirus pandemic. https://t.co/zHeRYPCXhh #atx #austin #all512,Texas
17,self tanner doesn ' irritate skin love it ready town lay sun sun behind small cloud️ with sunscreen noskincancer beach corona scratch that…,0.15757575757575756,"The first self tanner that doesn't irritate my skin! I LOVE IT!!!!!!!! 
Who else is ready to get out of town and go lay out under the sun 🌤️ (with sunscreen, #noskincancer) on the beach with a Corona... Scratch that… https://t.co/Z2HJqQlz5C",Texas
18,covid cooking dish pan day finish upside-down face fork and knife with platefork and knifeglass of milk san diego california,0.78125,"COVID Cooking - every dish, every pan, every day...  will we ever finish? 🙃 🍽🍴🥛 @ San Diego, California https://t.co/VOn0su8Qkd",California
19,series tnt tv covid19 cuarentenatv hammock florida,0.0,"#series #tnt #tv #covid19 #cuarentenatv @ The Hammocks, Florida https://t.co/LBwDxdMkcn",Florida
20,trade mark covid nineteen special barberlife barberlove icutpro masterbarber fadegameproper barbershopconnect barbersinctv personna andis barbershoppop follow myNEW button youtube…,-0.1,"B A R B E R S H O P P O P™
***COVID-19 SPECIAL***
#Barberlife #BarberLOVE 
#icutPRO #MASTERBARBER #fadegameproper #BarbershopConnect #barbersinctv #PERSONNA #andis #BarbershopPop 
GO FOLLOW MY🆕
#YouTube… https://t.co/JuLUOUR9Lr",Michigan
21,trade mark covid nineteen special barberlife barberlove icutpro masterbarber fadegameproper barbershopconnect barbersinctv personna andis barbershoppop follow myNEW button youtube…,-0.08928571428571429,"B A R B E R S H O P P O P™
***COVID-19 SPECIAL***
#Barberlife #BarberLOVE 
#icutPRO #MASTERBARBER #fadegameproper #BarbershopConnect #barbersinctv #PERSONNA #andis #BarbershopPop 
GO FOLLOW MY🆕
#YouTube… https://t.co/gSl3iiQ5cw",Michigan
22,matamoska before corona eastla flex ska punk livemusic meme east los angeles california,0.35714285714285715,"Matamoska B.C. (Before corona) #eastLA #flex #ska #punk #livemusic #memes @ East Los Angeles, California https://t.co/2Y3gXoOii0",California
23,covid nineteen sfpd alert deployment today stayhome sfpdalert sfpdcares san francisco california,0.0,"COVID-19 SFPD ALERT deployment again today. #stayhome  #sfpdalert  #sfpdcares @ San Francisco, California https://t.co/Fza26KXj8D",California
24,im ready ready covid nineteen certified ••••••••••••••• follow lifestyle blog ig••facebook••twitter••pinterest clippercutqueen subscribe to clipper cut queen on…,0.0,"I’m ready, ready!!! COVID-19 CERTIFIED!!! •••••••••••••••
Follow my lifestyle blog
IG••Facebook••Twitter••Pinterest 
@clippercutqueen
Subscribe to:
Clipper Cut Queen on… https://t.co/uSOwYNSEqH",Georgia
25,greedy af government wanting reopen peak anywhere absolutely world plateaued coronavirus yet reopening is…,0.0,Our greedy AF Government wanting to reopen before we even peak at all anywhere. Absolutely nobody anywhere in the World has even plateaued from the Coronavirus at all yet. Reopening is… https://t.co/7DparMezo5,South Dakota
26,wan na know 've covid hit gon na check youtube link out cleveland ohio,0.2,"Wanna know what I've really been up to since the Covid hit? Gonna have to check the YouTube link to find out! https://t.co/svBedu7neX @ Cleveland, Ohio https://t.co/dPBOONMQgb",Ohio
27,repost ajapopfilms • • • • • ramses coming multi disciplinary artist finance video corona panic attack enjoy …,5.551115123125783e-17,"#Repost @ajapopfilms
•  •  •  •  •
Ramses is an up and coming multi-disciplinary artist whom is also my finance. We made this video in between my Corona panic attacks. Please enjoy. @… https://t.co/UghgXpePOO",California
28,remember plan two thousand and twenty hows going far wish skip two thousand and twenty travel artist fashion coronavirus instagood music art picoftheday instagram…,0.4,"Do you remember all the plans you had for 2020? How’s it going so far?   
Do you wish you can skip 2020? 

.
.
.
.
.
#travel #artist #fashion #coronavirus #instagood #music #art #picoftheday #instagram… https://t.co/VDDDXn7zd8",Florida
29,know fyi especially corona time pandemic stretch excercise fitnessmotivation feelbetter covid19 shelterinplace quarantine lower haight san francisco,0.11666666666666665,"Did you know? FYI, especially during Corona-time Pandemic. #stretches #excercise #fitnessmotivation #feelbetter #covid19 #shelterinplace #quarantine @ Lower Haight, San Francisco https://t.co/SOSGPlzdxt",California
30,icymi `` think people appreciate aware connected `` heeeybattabatta ssletters amp sstimebank photojonna read more silverspring dts covid19 coronavirus,0.7749999999999999,"#ICYMI: ""I think people will appreciate each other more and be more aware of how we are all connected."" -- @heeeybattabatta, @ssletters &amp; @SSTimebank // @PhotoJonna 

READ MORE: https://t.co/fajkumP8dx

#SilverSpring #DTSS #COVID19 #Coronavirus https://t.co/sEzWrgUPLw",Maryland
31,double rainbow tree davisca day original viral doublerainbow guy yosemitebear passed away covid19 yolo west davis davis,-0.08333333333333333,"#Double #Rainbow through the #trees of #DavisCA, on the day that the original viral #doublerainbow guy, #YosemiteBear, passed away due to #COVID19. #YOLO @ West Davis, Davis https://t.co/1B1c3tN92g",California
32,covid nineteen cuisine follower albacore tuna prefer water like kind oil it open up drain excess liquid oil plate eat easy peasy …,0.7,"More COVID-19 cuisine for my followers. Take a can of albacore tuna (I prefer it in water, but if you like the kind in oil, go for it), open it up, drain the excess liquid/oil and put on a plate. Eat. Easy peasy.… https://t.co/caG68c510B",California
33,covid need musubi monday maskon irvine california,0.0,"Covid or not I still need my Musubi Mondays #maskon @ Irvine, California https://t.co/dXruBzC46R",California
34,🇺🇲 realdonaldtrump claimed united want covid nineteen test voanews right arrow️ know matter hard situation is claimed winner that ' realdonaldtrump meant and…,0.0,"🇺🇲 p. @realdonaldtrump  claimed that anyone in the United who wants covid-19 test can get one voanews
➡️  know matter how hard the situation is, claimed yourself as the winner that's what @realdonaldtrump meant and… https://t.co/lZAJSn6DDP",District of Columbia
35,“ frat bitch ” official music video now link biodouble exclamation mark️womanmedium skin tonewomanlight skin tone‍red hairwomanmedium skin tone‍curly hairperson: blond hairlight skin tone‍female sign️revolving heartsrevolving hearts steviebryant trapstarprince fratbitch coronavirus virus motionflare videography video two thousand and twenty explore worldstar…,0.0,"“FRAT BITCH” OFFICIAL MUSIC VIDEO OUT NOW, LINK IN BIO‼️👩🏽👩🏻‍🦰👩🏽‍🦱👱🏻‍♀️💞💞
.
.
.
.
.
.

#StevieBryant #TrapStarPrince #FratBitch #coronavirus #virus #MotionFlare #videography #video #2020 #explore #worldstar… https://t.co/VYorPUCeE6",California
36,open damn gym already face with symbols on mouthface with symbols on mouthface with symbols on mouth gym gymtime gymmotivation covid nineteen corona coronavirus iam1stphorm legionofboom fit fitness fitfam lift lifting health healthy…,0.0,"Open the damn gym already!!! 🤬🤬🤬
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#gym #gymtime #gymmotivation #covid_19 #corona #coronavirus #iam1stphorm #legionofboom #fit #fitness #fitfam #lift #lifting #health #healthy… https://t.co/lkGNxsxGW7",Oregon
37,happy birthday nene cherish day stayed past year wish time came end but adventure live love you happy covid birthday …,0.0,"Happy Birthday, to my NeNe!  I cherish the days that you stayed with me this past year. I wish the time never came to an end. But, you have more adventures to live and I love that about you.  Happy Covid Birthday!  I… https://t.co/66lSMzY3O0",California
