,Province_State,Confirmed
0,Alabama,18766
1,Alaska,486
3,Arizona,21264
4,Arkansas,7818
5,California,117215
6,Colorado,26774
7,Connecticut,42979
8,Delaware,9685
10,District of Columbia,8886
11,Florida,57447
12,Georgia,48207
15,Hawaii,653
16,Idaho,2933
17,Illinois,122848
18,Indiana,35237
19,Iowa,20019
20,Kansas,9965
21,Kentucky,10185
22,Louisiana,40746
23,Maine,2377
24,Maryland,54175
25,Massachusetts,101163
26,Michigan,57731
27,Minnesota,25508
28,Mississippi,16041
29,Missouri,14015
30,Montana,523
31,Nebraska,14616
32,Nevada,8858
33,New Hampshire,4749
34,New Jersey,161545
35,New Mexico,8024
36,New York,373040
37,North Carolina,30023
38,North Dakota,2646
40,Ohio,36350
41,Oklahoma,6692
42,Oregon,4335
43,Pennsylvania,77225
45,Rhode Island,15112
46,South Carolina,12415
47,South Dakota,5067
48,Tennessee,24342
49,Texas,67310
50,Utah,10202
51,Vermont,988
53,Virginia,46239
54,Washington,22157
55,West Virginia,2056
56,Wisconsin,18917
57,Wyoming,912
