,tweet,sentiment,tweet,location
0,"""My Latest Post'

#utilitypole #rust #green #staples #corona #pixel3xl #pixel #iger #instagram #gram #nature @ New Orleans, Louisiana https://t.co/g7h4a6jubT",0.1,"""My Latest Post'

#utilitypole #rust #green #staples #corona #pixel3xl #pixel #iger #instagram #gram #nature @ New Orleans, Louisiana https://t.co/g7h4a6jubT",Louisiana
1,Corona Blues #jazz #funk #rnb #grownfolkmusic @ Smithsonian National Museum of African American History and Culture https://t.co/eX9tVuS3Vs,0.14545454545454545,Corona Blues #jazz #funk #rnb #grownfolkmusic @ Smithsonian National Museum of African American History and Culture https://t.co/eX9tVuS3Vs,District of Columbia
2,Rocky is all about stairs @ Corona del Mar State Beach https://t.co/udGhmC1eHb,0.0,Rocky is all about stairs @ Corona del Mar State Beach https://t.co/udGhmC1eHb,California
3,"Corona 2020, Spanish Flu 1920, Cholera 1820, Bubonic Plague in 1720 🤔 Population Control Every 100 Years 🤔#CoincidenceOrPattern #coincidenceithinknot 🤔 @ Lows' Kitchen https://t.co/iybmsy2Dxj",0.0,"Corona 2020, Spanish Flu 1920, Cholera 1820, Bubonic Plague in 1720 🤔 Population Control Every 100 Years 🤔#CoincidenceOrPattern #coincidenceithinknot 🤔 @ Lows' Kitchen https://t.co/iybmsy2Dxj",North Carolina
4,Covid-19: Life goes on. Slooooowly. #corona #covid #washyourhands #washingtondc #blackandwhite #bnw #blackandwhitephotography #bnwstreet #bnwstreetphotography #streetphotography #streetphoto #streetphotographer… https://t.co/ZPGHq1LJdk,0.0,Covid-19: Life goes on. Slooooowly. #corona #covid #washyourhands #washingtondc #blackandwhite #bnw #blackandwhitephotography #bnwstreet #bnwstreetphotography #streetphotography #streetphoto #streetphotographer… https://t.co/ZPGHq1LJdk,District of Columbia
5,ONE NATION UNDER A GROOVE #stayinghome FOR THE FUNK OF IT #alonetogether  #onenation #corona @ Pennsylvania https://t.co/jFD9YjHxho,0.0,ONE NATION UNDER A GROOVE #stayinghome FOR THE FUNK OF IT #alonetogether  #onenation #corona @ Pennsylvania https://t.co/jFD9YjHxho,Pennsylvania
6,"Corona Virus won’t stop me from speaking and encouraging the Body of Christ. 

I have all of the In’s and Out’s to host your “Motivating Your Circle Event”. Does your circle need a recharge from someone new? I have… https://t.co/BncYsZmKRR",0.0,"Corona Virus won’t stop me from speaking and encouraging the Body of Christ. 

I have all of the In’s and Out’s to host your “Motivating Your Circle Event”. Does your circle need a recharge from someone new? I have… https://t.co/BncYsZmKRR",Tennessee
7,"Corona Virus won’t stop me from speaking and encouraging the Body of Christ. 

I have all of the In’s and Out’s to host your “Motivating Your Circle Event”. Does your circle need a recharge from someone new? I have… https://t.co/qydc8Eivc5",0.0,"Corona Virus won’t stop me from speaking and encouraging the Body of Christ. 

I have all of the In’s and Out’s to host your “Motivating Your Circle Event”. Does your circle need a recharge from someone new? I have… https://t.co/qydc8Eivc5",Tennessee
8,ONE NATION UNDER A GROOVE #STAYINGHOME FOR THE FUNK OF IT #ALONETOGETHER due Da #corona #covid_19 @ North Carolina https://t.co/oBQIb3xMKU,0.6208333333333333,ONE NATION UNDER A GROOVE #STAYINGHOME FOR THE FUNK OF IT #ALONETOGETHER due Da #corona #covid_19 @ North Carolina https://t.co/oBQIb3xMKU,North Carolina
9,"Happy Easter 🐇🐰🐣 @ Corona, California https://t.co/ixgopgVSs5",-0.125,"Happy Easter 🐇🐰🐣 @ Corona, California https://t.co/ixgopgVSs5",California
