,tweet,sentiment,tweet,location
0,"Today is this lady's birthday!!! We'll be celebrating from home, so please join me in wishing her a fantabulous birthday!!!❤️🎂🥂❤️ Te amo @SevansMartinez ! And once this pandemic is over we'll hitch a ride on a… https://t.co/9Pv7CbyYq6",0.0,"Today is this lady's birthday!!! We'll be celebrating from home, so please join me in wishing her a fantabulous birthday!!!❤️🎂🥂❤️ Te amo @SevansMartinez ! And once this pandemic is over we'll hitch a ride on a… https://t.co/9Pv7CbyYq6",New York
1,"Intimate wedding with a virtual monitor setup for those who couldn’t attend . #covid19 #chefsunitedhtx #masonscreativecatering #jbistrostyle #weddings #cateringservice #chefslife #catering @ Conroe, Texas https://t.co/WlkyJYiTkx",0.2,"Intimate wedding with a virtual monitor setup for those who couldn’t attend . #covid19 #chefsunitedhtx #masonscreativecatering #jbistrostyle #weddings #cateringservice #chefslife #catering @ Conroe, Texas https://t.co/WlkyJYiTkx",Texas
2,"#gratitude @milabello
・・・
Curator’s Voice Art Projects and Jurors Milagros Bello &amp; Claudia Zaionz
invite you to see Covid 19/The Art of Isolation An online exhibition at:
.
https://t.co/gZsN7HRxtl
.
COVID… https://t.co/C7R0j3bzS9",0.375,"#gratitude @milabello
・・・
Curator’s Voice Art Projects and Jurors Milagros Bello &amp; Claudia Zaionz
invite you to see Covid 19/The Art of Isolation An online exhibition at:
.
https://t.co/gZsN7HRxtl
.
COVID… https://t.co/C7R0j3bzS9",Florida
3,"It's been 40 years, and we still don't have a vaccine for HIV.  https://t.co/QAeT6SntRi",0.0,"It's been 40 years, and we still don't have a vaccine for HIV.  https://t.co/QAeT6SntRi",California
4,"My work from home uniform. 

📷: gays.gaze 

What have you been wearing during quarantine? 

#thirstttaptuesday #blackandwhiteandginger #shiftycritter 

👚
👕
👖
🩲
🩳
👔
👗
🥼
👚

#redhead #bnw #frecklespoppin #model… https://t.co/sazwJVuiIS",1.0,"My work from home uniform. 

📷: gays.gaze 

What have you been wearing during quarantine? 

#thirstttaptuesday #blackandwhiteandginger #shiftycritter 

👚
👕
👖
🩲
🩳
👔
👗
🥼
👚

#redhead #bnw #frecklespoppin #model… https://t.co/sazwJVuiIS",New York
5,"Social Distanced toss to Sports on the 11 o’clock news @ABC7NY @ryanfieldabc @sadeabc @billritter7 #pandemic #covid #nypause #phase2 #newsdesk @ New York, New York https://t.co/CIyvUn55PQ",0.0,"Social Distanced toss to Sports on the 11 o’clock news @ABC7NY @ryanfieldabc @sadeabc @billritter7 #pandemic #covid #nypause #phase2 #newsdesk @ New York, New York https://t.co/CIyvUn55PQ",New York
6,"Congratulations to this super fun couple...JUST SOLD!
They are part of my COVID crew of clients seizing the day!  Welcome to Truckee Jess &amp; Pat!  So excited to hang with you here!  And a big thank you to tsrealsf for… https://t.co/Naq9C3O4W6",0.8,"Congratulations to this super fun couple...JUST SOLD!
They are part of my COVID crew of clients seizing the day!  Welcome to Truckee Jess &amp; Pat!  So excited to hang with you here!  And a big thank you to tsrealsf for… https://t.co/Naq9C3O4W6",California
7,My Bollie's truck is down right now so I took him to the park so he could drive mine! He flipped it then almost ran over a little kid good times! @ Corona Hills https://t.co/QcvDawZQRL,0.4541666666666666,My Bollie's truck is down right now so I took him to the park so he could drive mine! He flipped it then almost ran over a little kid good times! @ Corona Hills https://t.co/QcvDawZQRL,California
8,"Via @thesource 🚨SAN DIEGO REPORTS HIGHEST DAILY TOTAL OF POSITIVE COVID-19 CASES🚨Article by Jordan Eversley🔥🔥🔥Visit https://t.co/IYFMu6bt1l NOW for your daily culture nourishment. Also, follow @thesource @hersource and… https://t.co/YpIGys39JB",0.12708333333333335,"Via @thesource 🚨SAN DIEGO REPORTS HIGHEST DAILY TOTAL OF POSITIVE COVID-19 CASES🚨Article by Jordan Eversley🔥🔥🔥Visit https://t.co/IYFMu6bt1l NOW for your daily culture nourishment. Also, follow @thesource @hersource and… https://t.co/YpIGys39JB",California
9,Congratulations!! Born  only a couple days before 911  to a high school graduate during a world pandemic.  Resilience and strength and faith!  Go make your mark!  It’s going to be… https://t.co/5z4myGdHrH,0.05681818181818181,Congratulations!! Born  only a couple days before 911  to a high school graduate during a world pandemic.  Resilience and strength and faith!  Go make your mark!  It’s going to be… https://t.co/5z4myGdHrH,Arizona
10,"Lockdown day 99: finally enjoyed outside dining after three months! Still see hybrid of lockdown and reopen, but NYC vibe is surely coming back!… https://t.co/lOAGpO0O7J",0.0,"Lockdown day 99: finally enjoyed outside dining after three months! Still see hybrid of lockdown and reopen, but NYC vibe is surely coming back!… https://t.co/lOAGpO0O7J",New York
11,HAPPIEST “GIGI” (G.G. grandma gonzalez)ON THE PLANET! ✨🌙These have been some challenging times for all of us during quarantine/lockdown... I would’ve quarantined for years and drove 10 million miles to… https://t.co/CWx4PeLeMp,0.5333333333333333,HAPPIEST “GIGI” (G.G. grandma gonzalez)ON THE PLANET! ✨🌙These have been some challenging times for all of us during quarantine/lockdown... I would’ve quarantined for years and drove 10 million miles to… https://t.co/CWx4PeLeMp,Kansas
12,"One of the good things about this dang Corona Quarantine is that I’m getting to my list of guests I’ve ALWAYS wanted to have on my show, but just hadn’t due to dang distance!!!

So excited for you to hear my chat… https://t.co/bGdzE8R4bs",0.5,"One of the good things about this dang Corona Quarantine is that I’m getting to my list of guests I’ve ALWAYS wanted to have on my show, but just hadn’t due to dang distance!!!

So excited for you to hear my chat… https://t.co/bGdzE8R4bs",California
13,"Grand Ridge Plaza, Issaquah WA now offers convenient Pickup-N-Go parking stalls for visitors that helps maintain social distancing. Thank you for trusting us to help your reopening safely and… https://t.co/snecmLSZDy",0.6041666666666666,"Grand Ridge Plaza, Issaquah WA now offers convenient Pickup-N-Go parking stalls for visitors that helps maintain social distancing. Thank you for trusting us to help your reopening safely and… https://t.co/snecmLSZDy",Washington
14,Covid doesn’t affect the young’s! You’re not young anymore #covidhumor😂😷 @ Kitch-iti-kipi https://t.co/TKyv5jQeSs,0.2833333333333333,Covid doesn’t affect the young’s! You’re not young anymore #covidhumor😂😷 @ Kitch-iti-kipi https://t.co/TKyv5jQeSs,Michigan
15,"School principal 🇺🇸🏫😂
.
.
.
.
#actor #producer #editor #selftape #ecocast #audition #fun #greenscreen #work #homestudio #school #principal #character #instagood #instamood #covid19 #instadaily #videooftheday #legit… https://t.co/Tftsr4ui9y",0.0375,"School principal 🇺🇸🏫😂
.
.
.
.
#actor #producer #editor #selftape #ecocast #audition #fun #greenscreen #work #homestudio #school #principal #character #instagood #instamood #covid19 #instadaily #videooftheday #legit… https://t.co/Tftsr4ui9y",California
16,"#covid19 @ Bloomington, California https://t.co/KMpZqweKoI",-0.5,"#covid19 @ Bloomington, California https://t.co/KMpZqweKoI",California
17,Last delicious meal out before next round of closures rosewoodoceanside #covid19 #wearamask @ Rosewood Kitchen https://t.co/uYAJn4WPCJ,0.0,Last delicious meal out before next round of closures rosewoodoceanside #covid19 #wearamask @ Rosewood Kitchen https://t.co/uYAJn4WPCJ,California
18,"You are invited to the soft opening month of Wawona Gates, the Irish Center's new Outdoor Beer Garden &amp; Dining option.

Let's be safe in our outdoor setting:
- Stay home if not feeling well or exposed to COVID-19
-… https://t.co/OPp1hsD68L",0.5,"You are invited to the soft opening month of Wawona Gates, the Irish Center's new Outdoor Beer Garden &amp; Dining option.

Let's be safe in our outdoor setting:
- Stay home if not feeling well or exposed to COVID-19
-… https://t.co/OPp1hsD68L",California
19,#signs #covid19 #pandemic #smallbusiness @ Sunset Ice Cream Parlor https://t.co/s7rqvrxOSN,0.5,#signs #covid19 #pandemic #smallbusiness @ Sunset Ice Cream Parlor https://t.co/s7rqvrxOSN,Pennsylvania
20,"Take care of yourself during these COVID19 times. @ Miami, Florida https://t.co/jz3cNY4tuB",0.55,"Take care of yourself during these COVID19 times. @ Miami, Florida https://t.co/jz3cNY4tuB",Florida
21,"See our latest #NewYork, NY job and click to apply: COVID-19 Screener (MA - Medical Assistant) - https://t.co/Vol0bOIs3G #HealthWelfare",-0.09791666666666668,"See our latest #NewYork, NY job and click to apply: COVID-19 Screener (MA - Medical Assistant) - https://t.co/Vol0bOIs3G #HealthWelfare",New York
22,"Joe Biden is making buzz on social media, especially Twitter, blaming the current white house administration for the second wave of COVID-19. But what are American political leaders telling the citizens? Here is a… https://t.co/9T45vzS7tk",0.16666666666666666,"Joe Biden is making buzz on social media, especially Twitter, blaming the current white house administration for the second wave of COVID-19. But what are American political leaders telling the citizens? Here is a… https://t.co/9T45vzS7tk",Florida
23,"#Repost intothecoronaverse
• • • • • •
Meet the team: 

Jordan Lee is a second-year student studying linguistics and geography. COVID-19 sits at the intersections of science and culture, public accountability and… https://t.co/W3E412Ba2D",0.0047619047619047615,"#Repost intothecoronaverse
• • • • • •
Meet the team: 

Jordan Lee is a second-year student studying linguistics and geography. COVID-19 sits at the intersections of science and culture, public accountability and… https://t.co/W3E412Ba2D",Colorado
24,"Good bye Covid Hair!
Our beautiful hair had a full head of highlights,  followed by a hair plastic surgery smoothing treatment. #plasticofios#hairplasticsurgery#salon#colorcorrection#love#covid#redken#salon#colorist… https://t.co/gx4xBPJDcI",-0.4,"Good bye Covid Hair!
Our beautiful hair had a full head of highlights,  followed by a hair plastic surgery smoothing treatment. #plasticofios#hairplasticsurgery#salon#colorcorrection#love#covid#redken#salon#colorist… https://t.co/gx4xBPJDcI",New Jersey
25,"Yes we stay up late, but don’t worry, we also sleep in thatsshowbizfolks

#lockdown #thatquarantinelife #maltese #malteseofinstagram #puppies @ East Village https://t.co/Wwy44tWICA",0.6916666666666668,"Yes we stay up late, but don’t worry, we also sleep in thatsshowbizfolks

#lockdown #thatquarantinelife #maltese #malteseofinstagram #puppies @ East Village https://t.co/Wwy44tWICA",New York
26,"https://t.co/q1bIRBjDj8 This post has local news on the coronavirus pandemic from Tuesday, June 30. If you have a news tip or question, email us at news@KUT.org . https://t.co/3z7pr9ahLO #atx #austin #all512",0.08333333333333333,"https://t.co/q1bIRBjDj8 This post has local news on the coronavirus pandemic from Tuesday, June 30. If you have a news tip or question, email us at news@KUT.org . https://t.co/3z7pr9ahLO #atx #austin #all512",Texas
27,"I made it to the final hour of the final day in June before being invited to a 4th of July bbq. I thought maybe my friends might be being mindful of a global pandemic

“We’re having a bbq, keeping it small. Only 20 people including you. 21 if you wanna bring someone.”

Silly me",0.0,"I made it to the final hour of the final day in June before being invited to a 4th of July bbq. I thought maybe my friends might be being mindful of a global pandemic

“We’re having a bbq, keeping it small. Only 20 people including you. 21 if you wanna bring someone.”

Silly me",California
28,"On tonight’s episode of the Coronavirus Cooking Diaries let’s talk about the beauty and deliciousness of Slow Roasted Pork Shoulder. 

Classic slow roasted pork shoulder is usually a fall/winter specialty but the… https://t.co/yMsth0nxaU",0.0,"On tonight’s episode of the Coronavirus Cooking Diaries let’s talk about the beauty and deliciousness of Slow Roasted Pork Shoulder. 

Classic slow roasted pork shoulder is usually a fall/winter specialty but the… https://t.co/yMsth0nxaU",New York
29,"Lauren Boebert, Gun-Rights Activist, Upsets House G.O.P. Incumbent in Colorado: The political novice, who has defied pandemic restrictions to keep her restaurant open and has spoken approvingly of the QAnon conspiracy theory, challenged… https://t.co/ZbSzzf7onG (vía NYtimes) https://t.co/yCmKpEW6oL",0.0,"Lauren Boebert, Gun-Rights Activist, Upsets House G.O.P. Incumbent in Colorado: The political novice, who has defied pandemic restrictions to keep her restaurant open and has spoken approvingly of the QAnon conspiracy theory, challenged… https://t.co/ZbSzzf7onG (vía NYtimes) https://t.co/yCmKpEW6oL",New York
30,Throw them #gladePlugIns away and get you some real smell goods #organic style #Eucalyptus in real form... perfect #roomsmellgood with all of these #COVID #respiratory dysfunctional elements in the air… https://t.co/7jvZ5tVZXN,-0.04166666666666666,Throw them #gladePlugIns away and get you some real smell goods #organic style #Eucalyptus in real form... perfect #roomsmellgood with all of these #COVID #respiratory dysfunctional elements in the air… https://t.co/7jvZ5tVZXN,California
31,We’re more than 6months in and it seems like we’ve been thru 5years worth of shit!!!! #2020 #Kobe #Covid19 #Lockdown #MurderHornets #BLM #Riots #Karens .........ugh there’s always a delay when posting to other… https://t.co/uEiv7JxHuJ,0.0,We’re more than 6months in and it seems like we’ve been thru 5years worth of shit!!!! #2020 #Kobe #Covid19 #Lockdown #MurderHornets #BLM #Riots #Karens .........ugh there’s always a delay when posting to other… https://t.co/uEiv7JxHuJ,Arizona
32,"@loxtoncellars is uniting my Momma and me tonight despite us being half a country apart. COVID-19 can't keep us down! Cheers, Mom. Love you so much! Love our late night chats about food, politics, news, and all… https://t.co/4opsxEGSJR",0.0,"@loxtoncellars is uniting my Momma and me tonight despite us being half a country apart. COVID-19 can't keep us down! Cheers, Mom. Love you so much! Love our late night chats about food, politics, news, and all… https://t.co/4opsxEGSJR",California
33,Activism in the Age of COVID-19  https://t.co/NZDwoaE3Sn,0.1537012987012987,Activism in the Age of COVID-19  https://t.co/NZDwoaE3Sn,New York
34,"New shirt design!
Check my Facebook for link 
Or google Masta Hanksta zazxle 
#tshirt #wearamask #coronavirus #blm #pandemic #covid19 #zazzle @ Los Angeles, California https://t.co/Mye5zEWgIx",-0.15625,"New shirt design!
Check my Facebook for link 
Or google Masta Hanksta zazxle 
#tshirt #wearamask #coronavirus #blm #pandemic #covid19 #zazzle @ Los Angeles, California https://t.co/Mye5zEWgIx",California
35,"2020 day 182 -night perspective
.
.
.
.
.
#night #perspective #tuesday #boardwalk #socialdistancing #venicebeach #veniceboardwalk #losangeles #california #dank #dankmedia #dankvenice #366photo #abc7eyewitness… https://t.co/SvCIk4SC1v",0.0,"2020 day 182 -night perspective
.
.
.
.
.
#night #perspective #tuesday #boardwalk #socialdistancing #venicebeach #veniceboardwalk #losangeles #california #dank #dankmedia #dankvenice #366photo #abc7eyewitness… https://t.co/SvCIk4SC1v",California
36,European Uber rival Bolt launches electric bikes in Paris: The company claims it hasn't had to make any layoffs to cut costs during the coronavirus crisis — unlike its Silicon Valley counterparts — however it ... https://t.co/bjtzdxORur,0.0,European Uber rival Bolt launches electric bikes in Paris: The company claims it hasn't had to make any layoffs to cut costs during the coronavirus crisis — unlike its Silicon Valley counterparts — however it ... https://t.co/bjtzdxORur,California
