,tweet,sentiment,tweet,location
0,Grateful for technology and strategic partners being flexible and adapting during this season of Covid-19 to move forward with their strategic plans.  Yet I am so excited to be able to do this tomorrow in person!… https://t.co/nN7JqGBwPs,0.5,Grateful for technology and strategic partners being flexible and adapting during this season of Covid-19 to move forward with their strategic plans.  Yet I am so excited to be able to do this tomorrow in person!… https://t.co/nN7JqGBwPs,Arizona
1,"No SoulCycle + No Gym + Coronavirus +CNN + Trump #equal #highbloodpressure #staysafe #america #stayhealthy #vote2020 #trumpsucks #goblue #wave #calilove #selflove #namaste @ Manhattan Beach, California https://t.co/nmoVhJviRE",0.0,"No SoulCycle + No Gym + Coronavirus +CNN + Trump #equal #highbloodpressure #staysafe #america #stayhealthy #vote2020 #trumpsucks #goblue #wave #calilove #selflove #namaste @ Manhattan Beach, California https://t.co/nmoVhJviRE",California
2,"Absoutely! #Film and #tv #television production resumes today, so hopefully #TheWalkingDead #TWD Season 10 finale will air soon after this #CoronaVirus #covid_19 #covid19 #coronavirusoutbreak⚠️ #quarantine! My… https://t.co/ieE3rwujqg",0.0,"Absoutely! #Film and #tv #television production resumes today, so hopefully #TheWalkingDead #TWD Season 10 finale will air soon after this #CoronaVirus #covid_19 #covid19 #coronavirusoutbreak⚠️ #quarantine! My… https://t.co/ieE3rwujqg",Michigan
3,"Support Support “SHOP TODAY” use code: COVID19  for a HUGE 40% OFF your cart! (SALE LAST A LIMITED TIME ONLY)
*Shop link in bio*
#shopsmallbusiness #swag #ootd #thisisamerica #blackbusiness #fashionstyle… https://t.co/jcQOPctC4E",0.10714285714285718,"Support Support “SHOP TODAY” use code: COVID19  for a HUGE 40% OFF your cart! (SALE LAST A LIMITED TIME ONLY)
*Shop link in bio*
#shopsmallbusiness #swag #ootd #thisisamerica #blackbusiness #fashionstyle… https://t.co/jcQOPctC4E",California
4,"#happyretirementMrHogan #32yearsineducation #paloaltoranch #summer2020 #covid19 Last Tuesday, Mr. Hogan had a surprise zoom retirement gathering. 80 plus staff and former students came together to cherished and… https://t.co/w1iBO07Iwy",0.0,"#happyretirementMrHogan #32yearsineducation #paloaltoranch #summer2020 #covid19 Last Tuesday, Mr. Hogan had a surprise zoom retirement gathering. 80 plus staff and former students came together to cherished and… https://t.co/w1iBO07Iwy",California
5,Covid Statue MASK @ Dunder Mifflin Paper Company https://t.co/zGeawki9l4,0.0,Covid Statue MASK @ Dunder Mifflin Paper Company https://t.co/zGeawki9l4,Pennsylvania
6,"We’re headed towards the future from that movie Demolition Man. 

Friendly police force with no violence.  Using force a thing of the past. 

Non-contact high fives. 

Folks living underground (covid related reasons) while the rest of society lives on the surface.",0.057000000000000016,"We’re headed towards the future from that movie Demolition Man. 

Friendly police force with no violence.  Using force a thing of the past. 

Non-contact high fives. 

Folks living underground (covid related reasons) while the rest of society lives on the surface.",California
7,"Gonna be here a lot over the next few months until COVID is gone. This is fun! Indiana Jones 1+3 tonight. (@ Solano 2 Drive-In &amp; Public Market - @westwinddrivein in Concord, CA) https://t.co/eFXtYq4R4A",0.04375,"Gonna be here a lot over the next few months until COVID is gone. This is fun! Indiana Jones 1+3 tonight. (@ Solano 2 Drive-In &amp; Public Market - @westwinddrivein in Concord, CA) https://t.co/eFXtYq4R4A",California
8,"Available! Due to Covid19 we are on Ebay! Safe shopping 🛍 🌴🌺#ebay.com/aliiantiques @ Kailua, Honolulu County, Hawaii https://t.co/hQ5r7zCUPt",0.28125,"Available! Due to Covid19 we are on Ebay! Safe shopping 🛍 🌴🌺#ebay.com/aliiantiques @ Kailua, Honolulu County, Hawaii https://t.co/hQ5r7zCUPt",Hawaii
9,"Pure excitement/happiness when you spend 6 hrs straight in a Covid unit and you fix not one, but two vented patients! Perfect ABG’s after days of looking like garbage! It’s important to… https://t.co/Y0FTVmHZny",0.4660714285714286,"Pure excitement/happiness when you spend 6 hrs straight in a Covid unit and you fix not one, but two vented patients! Perfect ABG’s after days of looking like garbage! It’s important to… https://t.co/Y0FTVmHZny",Maryland
