tweet,location
"I’m pleased to announce our new Coronavirus expert, Doctor Mario. His abilities are beautiful, just beautiful. Fights viruses, never loses, believe me. https://t.co/aT3gQfpTrh",Arizona
"""In Pakistan with high mountains like Switzerland, the spread of the coronavirus is on the rise. We show solidarity with the people of Pakistan and wish them much strength. #hope #Zermatt… https://t.co/r1NXvrznIq",California
I’m so glad to share my #newmusic and #footage with you. Let’s all check on our #lovedones #friends #family #colleagues #neighbors with a phone call if possible. #coronavirus #newyork #StayHome  #journalist #chicago… https://t.co/oWqsViMEp7,New York
"Brain: you’re worthless. 

Me: then why the fuck does this #music keep pouring out of me? Must have some meaning...
.
.
.
#mentalhealth #musician #writer #coronavirus #songwriter #isolation #socialdistancing #piano… https://t.co/RRx885vUVD",California
"COVID-19 update @ Queens, New York https://t.co/NPozUTSKIm",New York
"Covid-19 Quarantine Day #40... Sunday Funday Off... #soulcandymusic🎵🎶 #soulcandyrawks #theskiesthelimitin2020 #coronavirussuxs #theshowmustgoon @ Columbia, South Carolina https://t.co/h75qoo6maQ",South Carolina
"Just Chillin during Covid-19
#covidsucks @ Panther-Training https://t.co/aWiu6JHI4J",Illinois
"It was supposed to be prom this weekend. Obviously it wasn’t happening the way we’d pictured at the beginning of the year.
.
We did prom COVID-19 style: at home. 🏡 Somehow we managed to invite ourselves.… https://t.co/ZBdKkUDE96",Colorado
Where did I see this?!? OH THATS RIGHT!! On @wfaamike for @goprospirit #DriveThru #Banquet #corona #quarantinelife changing the way of life as we speak! @evan3fitzy had an amazing time and now has a new #Family!!… https://t.co/nWqkmImNHR,Texas
"This kind of puts the stay at home order in perspective. #stayhomesavelives  #covid19 #flattenthecurve @ Santa Maria, California https://t.co/FAFeK9GxZk",California
"In the kid-dom of God, diversity does not prohibit you from being welcomed on either side of the communion table. What are your imaginings about some of the ways church will evolve in a post-corona world? Too many… https://t.co/eNwQRL5P1l",California
Another great day of #SocialDistancing with our knees in the breeze!  #Vegas #Coronavirus #Pandemic #QuarantineVibes @ Welcome to Fabulous Las Vegas sign https://t.co/GznF1Cq55K,Nevada
"I'm trynna see something 👀👀👀
#quarantine #coronavirus #aintclappingnocheeks @ New York, New York https://t.co/NKbfTWG5G8",New York
"ICP Director Jason Cha reciprocated the favor and joined George Fox IRC’s mathetes (discipleship) panel on the racialization of covid 19.  Check out the video gfu_irc 
📺📺📺📺
#aaccStatement #imNotAVirus… https://t.co/u5H1vyWBEU",Oregon
"As the world turns

#newportbeach #covid_19 #coronavirus #masks #homeless #monuments #beach #canonphotography #joeduran @ Newport Beach, California https://t.co/4Wu5hdFv2K",California
"I haven't touched my journal since this shit started and first thing I see as I open it, is this... ❤ #staystrong we will beat this fucking #COVID19 @ Aptos, California https://t.co/wXBPTPahfj",California
"Covid doesn’t stand a chance against us. Nick, you will be gone but never forgotten. What will TJ’s do without our resident Kovid Killa? @ Kips Bay, Manhattan https://t.co/iM9EKKycW1",New York
While Trump was golfing in Dec and Jan and ignoring all of the professional doctors and scientists who warned the him that the Coronavirus was coming you Trumptard's are as much to blame for the 51 thousands dead… https://t.co/gxYY8D0gJG,California
"Who wants THIS mask?!!! 😳😳😳
This one might have to be for me. 
😂😂😂 
Do you see the problem, here?  #sewingerrors @ Corona, California https://t.co/hR6Y5bBkMe",California
"Feeling foggy. #coronadelmar #foggyday #fog #dailypainting #artistsoninstagram #art #artoftheday #seascape @ Corona del Mar, California https://t.co/gmYmbgu0mz",California
CORONA CABANA - a new parody by La Bruja to help you laugh and examine truth during these dark times #labruja #caridadelaluz #coronacabana #corona #parody #psa #truth #laugh #think #maracas #chiquitabanana… https://t.co/nAstnFBi0a,New York
"Waves from the same sea... 🌊 🌊 🌊 #china🇨🇳 #Japan #coronavirus #sunmoonandsky #moon #sunshine🌞 #sky #community #humanity #heart #kindnessmatters #compassion @ Lower Haight, San Francisco https://t.co/m4LLrev3tn",California
"Haha! Might as well, every other death is being blamed Rona, SMH, LoL 😅
#coronavirus #quarantine #fatality @ Pasadena, California https://t.co/GWf9i4XIge",California
#Apocalypse #Corona #Denver #hipHop #forever #wavyseal it's #crazy out there try to #stay at #home. I tagged you in this Wayne because you were showing us how Best buy did it. @ Denver International Airport https://t.co/sx7HaMFzJe,Colorado
"According to Lawrence Yun, Chief Economist at NAR, home prices are forecasted to rise. Results from the Existing Home Sales Report note that home sales declined in March due to the coronavirus, but prices are still… https://t.co/cykooTH6A6",California
"GOD PLEASE KILL CORONA VIRUS!! I JUST DISCOVERED HENNESSY.. I WANNA DO HOOD RAT SHIT WITH MY SISTERS AND FRIENDS.  NOT FAIR I BEEN  QUARANTINED FOR THE LAST 7 YRS!! 😛 
DON'T TELL ME HOW TO… https://t.co/5UoTz5gIKk",California
"R.I.P. our Lord and Savior.  You will be missed.  ♡ @ Corona, California https://t.co/zhGxp0SBIk",California
"Covid-19 Is Real. Play Safe. Stop The Virus!!
#officialcuttytv @ Cutty Events Planning &amp; Management LLC https://t.co/KlR700i22U",Maryland
"Senegal developed one of the world's most affordable Coronavirus testing kits, which costs $1 each, $60 3D printed ventilators.

Senegal has one of the highest Coronavirus recovery rates in the world. 283 of its 671… https://t.co/f4Surpp2DK",Maryland
The impact of the Corona Virus on African Americans and low income areas  https://t.co/kAQHqenZjQ,New York
The impact of the Corona Virus on African Americans and low income areas  https://t.co/KVyxc8dAzZ,New York
"""Tuft is my home away from home. I would go every 3 weeks to get a cut before it closed due to Covid-19. My dear friend and owner Miles not only had to close his shop temporarily but also got hit with Covid himself.… https://t.co/HHeAJ5NTfV",New York
Request for health workers involved in COVID-19 management for participating in the survey https://t.co/pwB7PIUnNe,Oregon
The stay at home order will expire later this week.  What does that mean for businesses that have been closed for over a month?  The latest on gooddaycolumbus @wsyx6 @fox28columbus #coronavirus @ Ohio State House Rotunda https://t.co/Iv1eTy12Es,Ohio
"We're starting of our week with our Dazzle Divas. Happy Monday!  ❤️💛💎
.
.
.
#cheerleading #corona #chicagokids #trainlikeagem #allstarcheerleading #dazzle #cheer #leaveitonthefloor #blackgirlscheer #level1 #jump… https://t.co/sUTToS8ChT",Illinois
"My pregnant COVID19 quarantine Soca dance. Wash your 🖐s, stay at 🏠 , move that booty! @ Downtown Jersey City, Jersey City https://t.co/ZVTRwZSkbg",New Jersey
"A flood of business bankruptcies likely in coming months
https://t.co/pB0qS2nYt5",New York
"Yeah! #Nantucket
STAY HOME SAFE LIVES
Coronavirus in Massachusetts
https://t.co/YgKkE1UvgF
#Boston #Celtics #Bruins #RedSox #Patriots #massachusetts #rhodeisland #connecticut #ct #newyorkcity #newyork #nyc #ack… https://t.co/CmI4I3NimB",Massachusetts
"Just another look at this 😍 area during Covid-19..A quiet time 🙏
#inthistogether 
#thegrovela @ The Grove https://t.co/lShqqwLHIF",California
"Pint 1 from the weekend.  I got the scissors for hairdressers &amp; stylists. #mask #covid19 #kavmask #kavanaughmaskcompany #bjornphoto #staycovered #swmi #besafe #handmade #maker #michiganmade #mimade @ Benton Harbor,… https://t.co/rCVKMXSFeL",Michigan
"Print 2, our daughter love these.  #mask #covid19 #kavmask #kavanaughmaskcompany #bjornphoto #staycovered #swmi #besafe #handmade #maker #michiganmade #mimade @ Benton Harbor, Michigan https://t.co/zOs2UxfCX9",Michigan
"Creative Designer &amp; Co-Founder @DifferentRegard 
Baltimore, MD
Thoughts: DIFFERENTREGARD was not prepared for Covid 19 just like many other people &amp; businesses. Our sales declined for three weeks nearly 100% &amp; all of… https://t.co/UIyI7q15SQ",Maryland
Pint 1 from the weekend.  I got the scissors for hairdressers &amp; stylists. #mask #covid19 #kavmask #kavanaughmaskcompany #bjornphoto #staycovered #swmi #besafe #handmade #maker #michiganmade #icmimarlikdergisi @… https://t.co/DPUfW3QrlI,Michigan
"Good Morning. During the current Coronavirus (COVID-19) outbreak, the Township of Ocean Historical Museum will be closed.  We are currently closed through Friday, May 1, 2020.  Please continue to check with us to see if that date has changed. https://t.co/EhhAXnxucc https://t.co/SGaVV80tNT",New Jersey
"a quiet morning the color of rain. and the  gold of a willow. punctuated by bursts of birdsong.

In spite of #covid19 #pandemic and #shelterinplace we recognize that ❤ this too is our reality ❤

#connecticutlife… https://t.co/Zw1VjjTLcg",Connecticut
Corona NY Mon Apr 27th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,New York
"We care about you! In preparation of a 2nd Covid 19 outbreak in the Fall, we have installed a germcidal ultraviolet light system in every classroom, hallway and office in every building on campus.  That's over 30… https://t.co/9W0YItq5KN",North Carolina
"From bandaids to COVID hotspot, local nurse called to New York  https://t.co/vi3cfHFiml",Missouri
"Child Advocacy During COVID-19: Connecting Kids 
During these uncertain times, it can be challenging for court-appointed child advocacy attorneys to find ways to connect with and support our child clients. Read what… https://t.co/a6p9511gqi",District of Columbia
"#Apple #Iphone #Coronavirus Apple to delay iPhone 12 mass production, report says https://t.co/otBUd5eteH https://t.co/Qf2uhNlg2O",Florida
"Old normal : life before COVID-19 #stayhome #staysafe #stayhealthy #throwback  #newyork #newyorkcity #nyc #usa #america #leica #leicam9 #camera #life #lifestyle #journey #streetphotography @ New York, New York https://t.co/j3BO2wZKmg",New York
Scotlandville's list of of boys basketball accomplishments gets a virtual postseason boost https://t.co/XOFzgq2agu @ Scotlandville… https://t.co/2YbcR632HO,Louisiana
"#AprilPhotoChallenge
#Day27
#Band
🎸 
Definitely enjoyed seeing my favourite local band, thechemicallizards, before #COVID19 closures took place. @ Bright Light Brewing Company https://t.co/19dzeUI2D5",North Carolina
What Impact Might COVID-19 Have on Home Values? https://t.co/YIBmw343SY https://t.co/9lO6ULnmbL,California
"This Coronavirus has certainly taken its toll on me... but the ale seems to be helping keep my spirits up.. hic! Hic? Stay happy and Safe everyone! 
#scotland #highlander #feelinghappy #coronadidit @ Federal Hill… https://t.co/Dwj0G2lFPL",Connecticut
"Mathnasium@home addresses both teachers' and parents' concerns surrounding the ""COVID Slide"". Read more by following this link: https://t.co/xrYkYDbe4c @ Upper St. Clair Township, Allegheny County, Pennsylvania https://t.co/12Dcv2blFt",Pennsylvania
"Great news from the USA! Even though #Corona has us all under its control, „A Living Dog“ is still winning around the world.
At the great Miami International Science Fiction Film Festival we received the award for… https://t.co/zhoupvu0Pp",Florida
"Thots from a sunrise quarantined mind. Think on it and follow me on @tiktok_us @ jbiii
.
.
.
.
.

#thotsoftheday #privatearea #tiktok #follow #jbiii #lick #blackboyjoy #followme #quarantine #covid19 #coronavirus… https://t.co/zYwQMHKSOW",Florida
"Bloomfield Pulse Condolences to all the families 
Essex County Coronavirus Cases Updated: Monday, April 27, 2020

• Social distancing, hand hygiene, and other steps to prevent infection must be followed at all times… https://t.co/R2nNxK5A6v",New Jersey
It’s Montuwedthfrisasunday and #FarmerRod checked in on his Covid Container Garden and he was happy. Even the green onions (upper left) that he thought were a bust had funky started to pop through the soil… https://t.co/bLArnkA1I3,Missouri
"Today is the day we find out if we can reopen May 1st. Stay tuned. I’ll post as soon as it’s official. 😊. #instadaily  #mondaymotivation 💕💕
.
.
.
.
.
.
.
.
#crueltyfree #mystinitans #behindthegun @mystinitans #covid… https://t.co/sJkZAPH9Nt",Texas
"Quarantine pictures.
.
.
.
.
#covid_19 #coronavirus #quarantine #exercise #spring #nature #therapy #walking #walks #happybirthdayguy #freshair #flowers #solace #trees #silence #emptystreets #queens #sixfeetapart… https://t.co/0IDTnWHGMy",New York
"Good morning from us! We love you. You are the best. Having you in our lives for years now has meant, even before this coronavirus lockdown, that we are not alone in isolation. We are, I am, grateful. Hang in there!… https://t.co/Qaz0ws7Wxk",California
"Happy MONDAY! Even if we can see you, we would like to sent you a  message today. Enjoy! Kendall Breeze Dental Centers 
#covid-19 #smile #oralhealth #dentalhygiene #kendalldentist #33186 https://t.co/r9xUNU2OGg",Florida
We’d like to take a moment to thank and appreciate our very own Anthony Vasquez! He has been on deployment with the National Guard administering COVID19 tests in Florida. He has not been home or been able to see his… https://t.co/ARcRGBUJTG,Florida
"As our daily lives continue to be altered by the coronavirus pandemic, here are 11 ways you can support Noblesville businesses right now. 

(Link to full pdf here: https://t.co/gpEO8Zu7cR) https://t.co/ZnvsTtZMZK",Indiana
"Thanks Covid..Long Distance is the new norm, but at least we are safe and healthy.. and I still can’t stay stay awake during movies!  (getting out of quarantine can’t come soon enough!!)
.
.
.
.
.
.
.
#love… https://t.co/1gAMioeDte",Massachusetts
"Episode 43 of TMI with Teresa now available online or on your favorite podcast platform. (Link in bio)

This week:

How your plasma can help with the fight against Covid 19. kccommunityblood 

and how to deal with… https://t.co/MBc7OdXk8i",Missouri
"Starting week #6 of the COVID-19 work from home adventure. (@ La Casa in Chandler, AZ) https://t.co/6D83D4sG81",Arizona
"COVID-19 update 
Home???
100-15 204th St, Queens ,NY 11423
 I moved my coffee maker and to my room   Last time I checked it's not a homeless shelter
HRA cityFHEPS voucher 311NYC housing connect home base 
To work???… https://t.co/KCq4d8MAqy",New York
"Want to get away? When things return to normal, #CLTAirport has 178 nonstop destinations. Search for your next adventure at https://t.co/T6EanyiQOl. 📸: @cltairport #InThisTogether ✈️ #PerfectPublicity

#Covid19… https://t.co/hr243kzS9V",North Carolina
"KPop dance and Gavin is in the house, finally recovered from COVID-19! #messysuitcase #mechanicsburgpa #coronavirus #makingthebestofit @ Mechanicsburg, Pennsylvania https://t.co/nqrMkeEJQw",Pennsylvania
#ForSellers #HousingMarketUpdates What Impact Might COVID-19 Have on Home Values? https://t.co/ka4dqySaKO https://t.co/BiIiet16rg,California
Sleepy quarantined kitty #kittylove #cats #lovelife #loveoneanother #catsofinstagram #catlover #animallover #catmom #brothers #lazy #kitties #covid19 #quarantinelife #flattenthecurve #covid #allinthistogether @… https://t.co/hECInF32ce,New York
"#covid_19 #covid #covid19 #spongebobmemes #spongebob #spongebobsquarepants #stayhome #staysafe #handsanitizer @ Salisbury, Maryland https://t.co/Ir9njW0Acq",Maryland
Working from home during COVID-19 be like...Share your experience and let's make it a Monday #funday 💯🌈👌🔥☝#workfromhome #yesplease #bedroomoffice #longasitgetsdone #innovation #worklife #balance #iamsomebody… https://t.co/m6gMna2yQ0,Alabama
