tweet,location
Lockdown day 104: invited to Long Island. Small gathering in big nature is the best! They were so nice to give me a takeout and now I’m having a second party in my room.… https://t.co/izbkJ567tD,New York
"Not good.
-
Where a mask. 
-
Practice social distancing.
——————
#COVID19 #coronavirus #wearamask #socialdistancing @ Los Angeles, California https://t.co/pskXGJ1HyU",California
"We found brilliant examples of the color red in both helenspark and our neighbor’s houstonperennialgarden on this evening’s #dailywalk.  #flattenthecurve #itsbetteroutside #motherdaughtertime @ Houston, Texas https://t.co/1Gu6BHTasz",Texas
"Spent the day social distancing in the Sierra with friends. The nearly 1,000’ climb to  9,000’ elevation almost killed me, but damn, these views are always worth it. 😍 @ Frog Lake and Winnemucca Lake Carson Pass https://t.co/MTrbSGnYVW",California
Can I travel? Covid-19 travel restrictions in each country  https://t.co/aPqqE75m1r,Washington
"Do you know When #corona Will #end pls help ??
.
.
.
.
.
.
.Monday #newweek #love. @ Boston, Massachusetts https://t.co/ECTaG4HVQl",Massachusetts
"July 5th 💥🧨 Shenanigans 📸 on a Moonlit 🌕🌊Stroll
-
-
#july4th #july5th #fireworks #beach #beachlife #southcarolina #covid19 #covidhotspot #pictureoftheday #picoftheday #coolshots #photography #night #nightphotography… https://t.co/FkHRQfIdnV",South Carolina
Broadway Actor Nick Cordero Dead at 41 of Coronavirus: The Broadway actor’s battle with the coronavirus was followed closely by many as his wife chronicled his experience on social media. https://t.co/Cx1kyatffl (vía NYtimes) https://t.co/2sZtAsYUvP,New York
"Uber to Buy Postmates for $2.65 Billion: The ride-hailing company’s core business has struggled in the pandemic, and it is betting on growth of its Uber Eats division. https://t.co/6Nrd4faDBX (vía NYtimes) https://t.co/qQEjPYIFnc",New York
July birthdays should be celebrated everyday especially during COVID &amp; cancer 🧠 #pandemic2020so melanieannparks &amp; I are doing just that 🙏🎉👯#twinsisters #cake everyday #gratefulheart #blessedbeyondmeasure… https://t.co/RYcViJ0J06,California
"Robert Van Scoyoc #6 walks the outfield during the Los Angeles Dodgers first summer camp workout in preparation for the 2020 season due to the Coronavirus Pandemic in Los Angeles on Friday, July 3, 2020. (Photo by… https://t.co/U9hmocqKzo",California
"Pilot Gabe Lopez flying a Sunflower-yellow 1940 Stearman flies over the Rose Bowl with his father and World War II veteran, 96 year-old Edward Lopez during the 94th Virtual AmericaFest due to the Coronavirus Pandemic… https://t.co/QiIY2DPcki",California
Social Distancing 😷 #BransonCognac #Lecheminduroi @ The New CLUB O https://t.co/EGKszfrtDW,Illinois
My parents jkvodesign jbvo2 went tonight! rjs_pub in my hometown of #rochester #rochesterhills #michigan #puremichigan is open again following this whole #CoronaVirus #covid19 #covid_19 #coronavirusoutbreak⚠️… https://t.co/rinpZZs9ir,Michigan
I have been shuddering the early part of the time of the pandemic process because of my vulnerabilities.   Breaking my back hasn’t helped matters where I can’t pick up over 5 pounds.  I got behind at the plot at the… https://t.co/xC8eGL0KpJ,Texas
On 6/27 I finally popped the question. I had the ring since before the pandemic started and I have been scheming and planning how and when I should do this since 2019. With everything… https://t.co/rJkCfWATNS,California
@blendjet #blendeverywhere we can’t get enough of this awesome #blend2go #funtravel #ecofriendly super healthy gadget that gets us through the #quarantine #covid19 days! We love your #postworkout #detoxpower &amp;… https://t.co/2VJeLdOF1e,California
"Feb-May 2020
35mm 🎞
NY 
.
.
.
.
#35mm #analogphotography #photography #analog #mood #nyc  #brooklyn #memories #covid19 #newyork #📷 #nowadays #music #artlovers #artlife #artoftheday #creative #arte @ New York, New York https://t.co/ZIozvMAD5f",New York
"Having a drink with my daughter after her shift at work 🥂 new outfit from.freestyleclothingexchange ❤
Being a Fearless wearing a backless blouse ❤ what y'all think? 

YES we are practicing #socialdistancing ❤ I was… https://t.co/ROHJ2tL7QK",California
"How do I look in my new mask? 🤷‍♀️😷🦋💖💫🙏😜
Btw, Portland Energetic Alignment with social distancing was AMAZING. 💞💥💫
.
.
.
#mask #fashionmask #lifeisweirdsometimes #masklife #socialdistancing #lifeasweknowit… https://t.co/c9jXGMWYd5",Oregon
"Independence Day in Breckenridge topped the list of fun for us!  Who knew Breck was so amazing in the summer even during a pandemic?  Biking, hiking, golf, hammocks, ice cream every… https://t.co/2A6m74vYTM",Colorado
"Between my successful double transplant and the limitations that COVID-19 has placed on each of us and as a country, I am beyond stir crazy. I can only watch so much Netflix, Amazon Prime Video, and Hulu. Network… https://t.co/7IwYHwusjo",California
A #nightclub with very proper #socialdistancing #covid #aftermath #wichita @ Revolution Lounge https://t.co/LssZMUJwGN,Kansas
"2020 Coronavirus House Arrest Day 112 - The temperature kicked up for the end of the long Independence Day holiday weekend, and the fireworks continue on; enough already! I had to buy this bomber bottle because of… https://t.co/vOgAPmgah3",California
"That’s a wrap. Another weekend of social distancing. Proud of my wife for spitting out three kids back to back and getting back to pre-pregnancy size. Her diet of Reece’s Peanut Butter Cups is working. 😁 @ San Diego,… https://t.co/jtaHcKcnOG",California
"Celebrating, social distancing, back stroking and relaxing. Mom's bday weekend ❤️ @ Morongo Casino https://t.co/mRY3s38mDf",California
"Haven’t done one of these Quarantine Cuisines in awhile, but here’s an attempt at trying to get healthy after gaining more weight than I care to think about during the earlier part of the lockdown. 

So, here’s a… https://t.co/KIHdTZWt3f",New York
"Blame Covid19 (Quarentine &amp; Social Distancing) .....but some a y'all laid uP wit one like.....Right now....Right now !! #FrFr💯  keep ya roach spray close like hand sanitizer !! 😊☺😀😁😂😂😔😒😢😥 @ Skid Row, Los Angeles https://t.co/Y3zi0U5hUx",California
"Covid is basically the result of when somebody goes “postal”. If you’re too young to get that reference, there was a time in America when postal workers would be so fed up with their job that they actually shot up random folks. That’s my assumption on why Covid is here now.",Texas
"- **NEW UPDATE** -

- Old Style Shoe Shine-Repair Co., will be Temporarily closed from June 19 - July 12th depending on COVID-19 of course.-

- Old Style will be  Re-Opening July 13, 2020 - Monday - Friday from 11 AM… https://t.co/OcYkPNrJaw",Washington
