tweet,location
"So while in #NewJersey we had 12,500 #coronavirus deaths. Here and in the rest of the #unitedstates we're reopening everything and going back to ""normal"" life.  Then there's the #president of the #DominicanRepublic… https://t.co/yHgIkBXtMG",New Jersey
I've been cooped up in the house another 3 weeks on isolation so I could be cleared of COVID-19 for surgery. Then hospitalized from Monday to Tuesday for surgery. Feeling soooo disconnected and down in the dumps.… https://t.co/4mCVqIDCSF,New York
"There has never been a time when this is more needed. With Covid-19 budgets cuts, hundreds of not thousands of teachers, aids, admin and support staff are being laid off. Thousands more are taking pay cuts. Hundreds… https://t.co/e4eRvu2KkA",California
"https://t.co/wQtvUcpxIm Call us today with all your Real Estate questions at 9092561766 or visit
#sellersagent #realtor #firsttimehomebuyers… https://t.co/tNidaABu2O",California
"When we danced alone. 
📷@photographerAL2 

#lasvegas #dancing #covid #empty #thestrip #Vegas #girl #bliss #covid19 #surreal #tourist @ Las Vegas, Nevada https://t.co/fYwn51q5N0",Nevada
"Day 164 of 2020.
.
.
.
Ellington is our avatar of the moment. 
.
After a LOOOOOOOOONG 3 months of staying at home, Zoom teaching, negative COVID testing and white people waking up to black lives matter-today was the… https://t.co/0cbwoqzaKg",California
Remember life before Covid? 😞,Florida
"Como vamos con el insomnio? #todobienahi ? / How are we doing with insomnia?  #everythingisok ? 😂 #buenasnoches 🌜#zzzz #godnight #coronavirus 🦠 #quarantine @ Sunrise, Florida https://t.co/DC53fwpF8u",Florida
Finally!!! We are reopening June 19th. Please visit our website for our Covid-19 Safety Guidelines before you book an appointment. See you soon. #reopening #chinohillsnails #chinohillssalon #q_nailsspa @ Q Nails &amp; Spa https://t.co/8lL8z8HQas,California
A beautiful day in February 2020 at #libertystatepark - the calm before the #covid19 storm. @ Liberty State Park https://t.co/YMWbP4B4cH,New Jersey
"pretty soon he’s gonna want to drive the real deal 😜 #EnzoTajo #RCcrawler #ElementRC #AxialRacing @ Corona, California https://t.co/ZEe0FUDNEz",California
"houseofgoudeau for your mask 😷 with pocket for removable filter... 
.
.
#covid19 #quarantine #america #blm #blacklivesmatter #lasvegas #oakland #bayarea #northlasvegas #henderson #rainbow #mlk #sanfrancisco #prayer… https://t.co/AjVkCrIGv2",California
