tweet,location
You're welcome! #COVID19 #SocialDistancing #BackItUp @ Cape Cod https://t.co/9vpParWkbk,Massachusetts
"Navigating uncertainty: Q1 2020 VC activity in the context of COVID-19 and market volatility: We recently hosted a webinar with NVCA, Silicon Valley Bank and Carta to look at findings from the Q1 2020 PitchBook-NVCA Venture Monitor and ... https://t.co/XxpPJ3NVYJ",California
"#WhenLifeGivesYouLemons 
We can complain and become complacent or we can improvise and adapt. #StrongerTogether #ThePride @Cam_Cougars 

#covid19 can’t break a team.  We getting in work… https://t.co/YV7veBfB4Z",California
"Stay away, but don’t isolate yourself!! 
.
.
.
.
.
#connect #engage #relate #keeppositive #besafe #pandemic #positivemindset💯 #wecandoit #coronavirus #selfquarantine #mentalhealth #truth #socialdistancing #staysafe… https://t.co/0Y1NJKuavr",New Jersey
"Taco Tuesday! 

#cincodemayo  #lilbusybs  #quarantine #covid19 @ Brookfield, Wisconsin https://t.co/PCZraKsO15",Wisconsin
My Corona costume - my red balaclava for bank robbing and pandemic times.  🦩💥🚀🌈😍 #balaclava #pandemicorona #pandemic2020 #pandemiclife #pandemicpreparedness #bicycleclothing #red #redbalaclava #redface #costume… https://t.co/NqYVnLteYv,Tennessee
"Closed Beach
———————————————————
#Hollywood #HollywoodBeach #Broward #BrowardCounty #Florida #Ocean #SocialDistancing #Beach #Water #Sea #BlueSkies #NoFilter #Pandemic #Covid19 #CoronaVirus @ Hollywood Beach https://t.co/7bPyLuo6yS",Florida
Decisions decisions while quarantining during #covid19 / #coronavirus 2020 in #Bentonville #Arkansas. #outnumbered @ The Briq on 4th Street https://t.co/xWm0ufzfAD,Arkansas
"Internacional Nurses Week 

Now and always the EB Group, Real Estate Advisors appreciate your hard work specially right now for being in the front line battling COVID19
#COVID19 #nevergiveup #nursesweek #nurses… https://t.co/n9TM7HQK3C",California
"Quarantine, May 6, 2020 getting ready for their first virtual party for a school friend. #stayathome #covid #covid19 #lepe #isolationjournals #isolation #artistsoninstagram #art #inspiration #mymuse #photography… https://t.co/xFKHJLrgr9",California
"JOIN US FRIDAY 5/8 11AM-1PM for our 4TH Community Meeting directly with L.A. CountyOfficials about releasing and protecting incarcerated people during COVID19! 🖤🤎🙏🏿🙏🏽

So far, the L.A. County Board of Supervisors,… https://t.co/rLvh4eEouO",California
"It has been tough. We want to hear from you. How are YOU doing?... Really?! ⬇️⬇️⬇️⬇️⬇️ Comment below, tag a friend who has been a little down with something positive to CHEER 🥰 them up ⬆️ .. 
..
..
.. #covid19 #covid… https://t.co/MdmW9aTCjE",Georgia
"A Camerooniaan who lives in Upper Marlboro, Maryland. USA, has died after calling himself Dr.
CORONAVIRUS and systematically ingesting a large dose of a ginger/ garlic Concoctions, he became sick froma condition… https://t.co/Hla5brbplb",Pennsylvania
"Got a few #coasters left from my current run. $5 each plus shipping or free local pick up. Mix and match sets. Covid safe! Sealed in plastic. I know many of you are drinking, why not protect your furniture in style.… https://t.co/ys0b5A93b1",California
"On tonight’s episode of the Coronavirus Cooking Diaries, I just want you to know that I get by with a little help from my friends. I have been craving fish and not going to the supermarket everyday or to a good fish… https://t.co/rYDDl6VI9n",New York
I MISS MY CLIENTS WAITING FOR ME TO OPEN @ 9AM-I WANT TO RE OPEN SOON-FUCKING CORONAVIRUS (COVID-19) GO AWAY FOR GOOD-APOLINAR TAXES! @ Apolinar Taxes &amp; Multi-Services https://t.co/NIjFdVzzqg,New York
