,tweet,tweet,location,Unnamed: 0.1,Confirmed
0,covid nineteen corona virus style everett washington,"COVID-19 corona virus with style!! @ Everett, Washington https://t.co/oR1rFmsgUa",Washington,52.0,10609.0
1,corona virus got like bandana misterbandana wildwildwest maskedman coronatimes coronavirusgotmelike crazytown safe gulf shore alabama,"Corona Virus got me like.  Bandana by misterbandana #wildwildwest #maskedman #coronatimes #coronavirusgotmelike #crazytown #safe @ Gulf Shores, Alabama https://t.co/WUpbt4Dsf4",Alabama,0.0,3563.0
2,sign postbrand ad lajolla california corona la jolla,There are signs everywhere #postbrand #ads #lajolla #california #corona @ La Jolla https://t.co/dYmvFebXDt,California,5.0,22795.0
3,corona got world like atreyu fighting nothing san diego california,"Corona got the world like, atreyu fighting the nothing! @ San Diego, California https://t.co/odupQZulqZ",California,5.0,22795.0
4,corona ca sun apr 12th forecast today chance shower hi sixty-two tonight chance shower lo fifty,Corona CA Sun Apr 12th AM Forecast: TODAY Chance Of Showers Hi 62 TONIGHT Chance Of Showers Lo 50,California,5.0,22795.0
5,resurrection life john eleven twenty-five corona california,"I am the resurrection and the life. (John 11:25) @ Corona, California https://t.co/FOZoEyYNZr",California,5.0,22795.0
6,easter flower brighten house happy easter flower flower daffodil tulip easter home corona california,"Easter flowers to brighten up the house.  Happy Easter!  #flowers #flower #daffodils #tulips #easter #home @ Corona, California https://t.co/akOoswFL2M",California,5.0,22795.0
7,rocky stair corona del mar state beach,Rocky is all about stairs @ Corona del Mar State Beach https://t.co/udGhmC1eHb,California,5.0,22795.0
8,happy easter familia friend thank god blessed day have happyeaster2020 familiaarmas armasfamily chiltonohana corona california,"Happy Easter to my Familia and Friends. Thank God for this blessed day we have! #happyeaster2020 #familiaarmas #armasfamily #chiltonohana @ Corona, California https://t.co/5nw3Dfqs7z",California,5.0,22795.0
9,visit easter bunny today corona california,"Had a visit from the Easter Bunny today! @ Corona, California https://t.co/boB5zjyb7L",California,5.0,22795.0
10,content iparkmusic oobang love family fun hope love smile corona coronavirus ipark music co,Content #iparkmusic #oobang #love #family #fun #hope #love #smile #corona #coronavirus @ IPARK MUSIC CO. https://t.co/aX9mTmFxS7,California,5.0,22795.0
11,grandma aunt stuffed celery pimento cheese jar added spring radish kosher salt side corona california,"Grandma V and Aunt B always made stuffed celery.  Sometimes using the pimento cheese in a jar.  I added some spring radishes with kosher salt to go on the side. @ Corona, California https://t.co/JYsHBNw7LX",California,5.0,22795.0
12,corona ca sun apr 12th pm forecast tonight chance shower lo forty-eight monday chance shower hi sixty-four,Corona CA Sun Apr 12th PM Forecast: TONIGHT Chance Of Showers Lo 48 MONDAY Chance Of Showers Hi 64,California,5.0,22795.0
13,glazed easter ham baby carrot roasted asparagus parmesan corona california,"Glazed Easter ham, baby carrots, roasted asparagus with Parmesan. @ Corona, California https://t.co/K9IFP4Q4wq",California,5.0,22795.0
14,posted photo corona california,"Just posted a photo @ Corona, California https://t.co/B9fxUkWfXl",California,5.0,22795.0
15,lem me yours corona easter2020 outfit los angeles california,"Lemme see YOURS...
#corona #easter2020 #outfits @ Los Angeles, California https://t.co/BNq7PlYjgp",California,5.0,22795.0
16,potato latke topped homemade applesauce latkas potato applesauce homecooking easterdinner easter food corona california,"Potato latkes topped with homemade applesauce.
.
.
.
.
#latkas #potato #applesauce #homecooking #easterdinner #easter #food @ Corona, California https://t.co/Okpo25SqT0",California,5.0,22795.0
17,friday night rona corona flagstaff orpheumtheatre arizona blackandwhite photography amateurphotography friday stayhome stayhealthy staysafe flagstaff arizona,"Friday Night Rona
.
.
.
.
.
.
.
.
.
.
.
#corona #flagstaff #orpheumtheatre #arizona #blackandwhite #photography #amateurphotography #friday #stayhome #stayhealthy #staysafe @ Flagstaff, Arizona https://t.co/6U6WTmbV8F",Arizona,3.0,3542.0
18,little easter fun morning boy easter easteregghunt confetti corona tucson arizona,"A little Easter fun this morning with the boys.

#easter #easteregghunt #confetti @ Corona de Tucson, Arizona https://t.co/kObEXHNX6B",Arizona,3.0,3542.0
19,tucson corona holidazapocalypse proper roble pas,Tucson corona holidazapocalypse proper @ Robles Pass https://t.co/yDzFIZlb4L,Arizona,3.0,3542.0
20,philly man wearing face mask dragged philadelphia bus handled it bbbb corona stayhome quarantine quarantineandchill philadelphia pennsylvania,"Meanwhile in Philly. A
man not wearing a face mask was dragged off #Philadelphia bus. How would you had handled it??                 Bbbb#corona #stayhome #quarantine #quarantineandchill @ Philadelphia, Pennsylvania https://t.co/y0avIIDEjq",Pennsylvania,42.0,22938.0
21,nation groove stayinghome funk alonetogether onenation corona pennsylvania,ONE NATION UNDER A GROOVE #stayinghome FOR THE FUNK OF IT #alonetogether  #onenation #corona @ Pennsylvania https://t.co/jFD9YjHxho,Pennsylvania,42.0,22938.0
22,nation groove stayinghome funk alonetogether da corona covid nineteen pennsylvania,ONE NATION UNDER A GROOVE #STAYINGHOME FOR THE FUNK OF IT #ALONETOGETHER due Da #corona #covid_19 @ Pennsylvania https://t.co/USpxADYeL4,Pennsylvania,42.0,22938.0
23,4yr old fetched beer it ' good day 'll remember forever happy easter easter2020 victoriasway corona quarantine badstreet philadelphia pa,"The 4yr old fetched me a beer. It's a good day. I'll remember it forever. Happy Easter. 

#Easter2020 #VictoriasWay #Corona #Quarantine @ Badstreet, Philadelphia, Pa https://t.co/8KoHaoNix9",Pennsylvania,42.0,22938.0
24,incident 7line 103rd street corona plaza station 42nd street time square station,Incident on #7Line from 103rd Street-Corona Plaza Station to 42nd Street-Times Square Station https://t.co/jdRRJ4jUIR,New York,36.0,189033.0
25,incident 7line 103rd street corona plaza station 42nd street time square station,Incident on #7Line from 103rd Street-Corona Plaza Station to 42nd Street-Times Square Station https://t.co/FPzWEC7Ckt,New York,36.0,189033.0
26,incident 7line 103rd street corona plaza station 42nd street time square station,Incident on #7Line from 103rd Street-Corona Plaza Station to 42nd Street-Times Square Station https://t.co/POkh9I5jUo,New York,36.0,189033.0
27,corona ny sun apr 12th forecast today cloudy hi forty-five tonight partly cloudy lo thirty-one,Corona NY Sun Apr 12th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,New York,36.0,189033.0
28,happy easter everyone easter happyeaster quarantine corona virus abnormalattraction comedy getfuzzy stayhome staysafe bobbypriv leavs16 new york new york,"Happy Easter Everyone!! #Easter #happyeaster #quarantine #corona #virus #abnormalattraction #comedy #getfuzzy #stayhome #staysafe @bobbypriv  @Leavs16 @ New York, New York https://t.co/AUPd6lYNIH",New York,36.0,189033.0
29,went bit walk million podcasts flushing meadow corona park,I went for a bit of a walk. I somehow still have a million podcasts. @ Flushing Meadows - Corona Park https://t.co/2ezf9thCK7,New York,36.0,189033.0
30,fresh air park artmuseum corona art covid nineteen outside staysafe nassau county museum art,Fresh Air in the Park #artmuseum #corona #art #covid_19 #outside #staysafe @ Nassau County Museum of Art https://t.co/ZHCZTN3GyD,New York,36.0,189033.0
31,visiting usp alcatraz bought harmonica knowing entertain son much keepinghimbusy uspalcatraz harmonica corona new york,"While visiting USP Alcatraz I bought a harmonica not knowing that it will entertain my son so much... #keepingHimBusy #USPAlcatraz #harmonica @ Corona, New York https://t.co/bIy2CrRCLb",New York,36.0,189033.0
32,corona ny sun apr 12th pm forecast tonight partly cloudy lo thirty-one saturday sunny hi forty-one,Corona NY Sun Apr 12th PM Forecast: TONIGHT Partly Cloudy Lo 31 SATURDAY Sunny Hi 41,New York,36.0,189033.0
33,goodbye twenty-one wow happy 22nd birthday ryan coronabeer lunch home best corona still delivering delicious food is dessert actually food manhattan love you manhattan new york,"Goodbye 21! Wow! Happy 22nd Birthday Ryan!!!! #coronabeer lunch at home. Best we can do because of #corona ....still delivering delicious food (is dessert actually food?) in Manhattan! Love you! @ Manhattan, New York https://t.co/hW85ZxmLyL",New York,36.0,189033.0
34,corona girl westminster massachusetts,"Corona girl @ Westminster, Massachusetts https://t.co/Kj97oYOPs7",Massachusetts,25.0,25475.0
35,easter breakfast quarantine corona easter indian fishin ' lake,Easter breakfast #quarantine #corona #easter @ Indian Fishin' Lake https://t.co/bC7D1Uj3fd,West Virginia,53.0,593.0
36,bringing outdoors inside since know corona happyeaster corona forsythia hyacinth flower flowersinstagram lincoln rhode island,"Bringing some of the outdoors inside since, you know, corona.  #happyeaster #corona #forsythia #hyacinth #flowers #flowersinstagram @ Lincoln, Rhode Island https://t.co/y3TngDwwYn",Rhode Island,44.0,2665.0
37,sign time corona coronavirus mask bikeride denver colorado cherry creek trail,A sign of the times. #corona #coronavirus #mask #bikeride #denver #Colorado @ Cherry Creek Trail https://t.co/tfgJeKRl2O,Colorado,6.0,7307.0
