,tweet,location,Confirmed
0,im pleased announce new coronavirus expert doctor mario ability beautiful beautiful fight virus loses believe me,Arizona,6725
1,starting week six covid nineteen work home adventure la casa chandler az,Arizona,6725
2,stress covid nineteen endocrine health chronic stress time global pandemic lead increased cortisol hormone level inflammation highly emotional time people…,Arizona,6725
3,covid nineteen apache ‘ twenty thinking face apache trip year success love-you gesturemedium-light skin tonecall me handmedium-light skin tone apache lake,Arizona,6725
4,kitten season swing getting kitten in covid nineteen we 've alter operate rescue including adoption appointment process secures time meet kitty come serve,Arizona,6725
5,`` in pakistan high mountain like switzerland spread coronavirus rise solidarity people pakistan wish strength hope zermatt…,California,44966
6,brain youre worthless me fuck music pouring me meaning mentalhealth musician writer coronavirus songwriter isolation socialdistancing piano…,California,44966
7,kind put stay home order perspective stayhomesavelives covid19 flattenthecurve santa maria california,California,44966
8,kid dom god diversity prohibit welcomed communion table imaginings way church evolve post corona world many…,California,44966
9,world turn newportbeach covid nineteen coronavirus mask homeless monument beach canonphotography joeduran newport beach california,California,44966
10,haven ' touched journal shit started thing open it this red heart staystrong beat fucking covid19 aptos california,California,44966
11,trump golfing dec jan ignoring professional doctor scientist warned coronavirus coming trumptard ' blame fifty-one thousand dead…,California,44966
12,want mask flushed faceflushed faceflushed face me face with tears of joyface with tears of joyface with tears of joy problem here sewingerrors corona california,California,44966
13,feeling foggy coronadelmar foggyday fog dailypainting artistsoninstagram art artoftheday seascape corona del mar california,California,44966
14,wave sea water wave water wave water wave china🇨🇳 japan coronavirus sunmoonandsky moon sunshinesun with face sky community humanity heart kindnessmatters compassion lower haight san francisco,California,44966
15,haha well death blamed rona smh lol grinning face with sweat coronavirus quarantine fatality pasadena california,California,44966
16,according lawrence yun chief economist nar home price forecasted rise result existing home sale report note home sale declined march coronavirus price still…,California,44966
17,god kill corona virus discovered hennessy wan na hood rat shit sister friend fair quarantined seven yr face with tongue don ' tell to…,California,44966
18,lord savior missed ♡ corona california,California,44966
19,look smiling face with heart-eyes area covid nineteen quiet time folded hands inthistogether thegrovela grove,California,44966
20,impact covid nineteen home value,California,44966
21,good morning u love you best having life year meant coronavirus lockdown isolation are am grateful hang there …,California,44966
22,forsellers housingmarketupdates impact covid nineteen home value,California,44966
23,life matcha better covid nineteen ⠀ ⠀ ⠀ ⠀ open takeout delivery doordash ubereats online ordering available google location thank support …,California,44966
24,it monday corona california,California,44966
25,rhyme im thinking about sake civility ill leave head definitely free time corona quarantine pit martial art amp fitness,California,44966
26,wonderful guy crisis cream rise top bless him folded hands hero thankyou…,California,44966
