,tweet,location,Confirmed
0,happy 4th july stay safe covid free socialdistance use mask necessary it ' denton2night dentonnightlife frystnightlife collegenightlife little elm texas,Texas,194932
1,beautiful sunset moonrise daily walk evening gorgeous flower between flattenthecurve itsbetteroutside motherdaughtertime helen ' park,Texas,194932
2,happy 244th day america hopeful chill two hundred and forty-four past worst pandemic century face with medical maskwinking facebeaming face with smiling eyes grand prairie texas,Texas,194932
3,happy 4th july 4ofjuly🇺🇸 besafe useyourfacemask temmybraids socialdistancing arlington texas,Texas,194932
4,wild world pandemic get water travel 4th july cowboy christmas rodeo trail 1st time twenty year didn ' whistle there ' tomorrow poteet texas,Texas,194932
5,omg sleep la coronavirus going you swear there ' going power water parade chihuahua star empire terok,Texas,194932
6,craft service covid nineteen style nomoregoodbyesmovie residence inn marriott bryan college station,Texas,194932
7,celebrate july4th practicing social distancing babycry00 look doin life right shiiiittttt rolling on the floor laughing iloveus 2020belike lifereallybelikethat socialdistancing…,Texas,194932
8,"texas reported eight thousand, two hundred and fifty-eight new coronavirus case saturday setting record second time week bringing total number case one hundred and ninety-one thousand, seven hundred and ninety state reported thirty-three additional death linked to…",Texas,194932
9,good morning response rising number covid nineteen infection city decided temporarily modify service weve decided remove saturday hour notice order…,Texas,194932
10,red white blue weekend know day late pandemic day mixed up hope safe joyful night wish restful rejuvenating sunday xoxo …,Texas,194932
11,grand prairie texas location firefirefirefire taking new client scissors️scissors️ covid nineteen shorthairguru texasgirl beastmode blessedhands godisgood mobhair cutlife launchpad godfavorsme…,Texas,194932
12,status stress control tip covid nineteen pandemic it ' important remember stress common reduces productivity threatens physical mental well being informed developing stress coping…,Texas,194932
13,texas military hosting free covid nineteen testing three different location week july 6th 10th nine five pm appointment arriving appt visit …,Texas,194932
14,“ when walk ” ohboyprince supa hitz ft iamfatpimp movie camera robbrelo world map urban6dallas quarantine face with medical mask face with medical mask people with bunny ears‍female sign️people with bunny ears‍female sign️ big bazaar,Texas,194932
15,covid 19chronicles2020 hunger back face with tears of joy fort bend houston,Texas,194932
16,current rate covid19 spread texas school mid august class scheduled resume education coronavirus texas frisco texas,Texas,194932
17,covid 19chronicles2020 thatvitamindhasdrainedme myinsidesache fort bend houston,Texas,194932
18,covid 19chronicles2020 mood justmakingvideos fort bend houston,Texas,194932
19,throwback corona miss twinpeakslodge calendar shoot past summer twinpeakscalendargirl glamsquad bikiniphoto dallas dallashair bestofdallas…,Texas,194932
20,listen believed pandemic im believing testimony happening territory shall sermonsnippet lionsroar south union missionary…,Texas,194932
21,4thofjuly baking puff pastry berry hand pie bourbon maple drizzle begumnadiyas mocha swirl coffee glaze amyschumers tinto verano jonbon52 eating and drinking quarantine…,Texas,194932
22,15u pool atx lockdown two thousand and twenty-three def austin defender two thousand and twenty-four premier fifty-seven thirty-seven teddy tapken lead charge sixteen win exposurebball,Texas,194932
23,showing red heart️ hometown flattenthecurve maskupdelrio del rio texas,Texas,194932
24,it six month saw mom probably wont six frowning face️ parent high risk covid nineteen it long waiting game u poor quincy visit mimi …,Texas,194932
25,16u pool atx lockdown two thousand and twenty-two def arnold elite two thousand and twenty-three eighty-six sixty-three levi rutledge lit net 23pts tj johnson amp jose waring added nineteen piece exposurebball,Texas,194932
26,"nearly one hundred and thirty thousand people united state died coronavirus two million, eight hundred thousand people infected according center atx austin all512",Texas,194932
27,thank nominated me im trying big thing san antonio covid messing loudly crying face but yall comfort home friend nominated…,Texas,194932
28,long neighborhood dive bar last remember unusual currently closed state covid reason wasn ' patron deliver pizza worked pizza…,Texas,194932
29,no n95 newoldstock vintage neill brown furniture company,Texas,194932
30,mask statue local central market joke wearamaskface with medical mask joke dallas centralmarket covid19 caronavirus dallas texas,Texas,194932
31,safety else smiling face with sunglassesperson tipping handmedium-light skin tone‍female sign️ flattenthecurve fightthevirus safetyfirst safetytips commonsense socialdistance socialdistancing facemask waterchase garden,Texas,194932
32,best social distancing vacation gorgeous day south padre feel ocean water wave breeze enjoyyourlifered heart️ sundayfundaysun️ southpadreisland covid19vacation2020 isla…,Texas,194932
