,tweet,sentiment,tweet.1,location
0,friday night guy bucky decided join grandparent staying safe home practicing social distancing covina hill,0.26666666666666666,"Another Friday night  out with my guy. Bucky decided to join his grandparents. Staying safe at home,  always practicing Social Distancing. @ Covina Hills https://t.co/rNSCVA7bjd",California
1,social distancing photography tale pandemic coming soon photoshoot new advertising billboard stay tuned giveaway southflorida conchasolutions covid19…,0.10606060606060604,"Social Distancing Photography
Tales about a Pandemic coming soon!

#photoshoot for our new advertising #billboard 
Stay tuned! We will be doing some #giveaways for #southflorida 

#conchasolutions #Covid19… https://t.co/Nd6sJpX4rI",Florida
2,drinking livin covid loca yakimacraftbrew craiglandia —,0.0,Drinking a Livin Covid-a Loca by @YakimaCraftBrew @ Craiglandia — https://t.co/2iyULyg7au,Oregon
3,fbf pre covid wedding blast dj sax jam working new song cant wait future weddingdj jam dance uptownfunk sandiegodj san diego california,0.2,"#fbf To a pre-covid wedding where I had a blast doing some DJ - Sax jams. Been working on  new songs and can’t wait to do this again in the future! #weddingdj #jam #dance #uptownfunk #sandiegodj @ San Diego, California https://t.co/GnklMZRVAg",California
4,socialdistancing two thousand and twenty buy jeep mesquitenevada mesquite nevada,0.0,"#socialdistancing #2020                                        Go buy a Jeep!                      #mesquitenevada @ Mesquite, Nevada https://t.co/THXx4HNoLw",Nevada
5,continuing support local business drove berchmans brewing company evening which sadly closing downtown yakima taproom end july pandemic disappointed face purchased grunt…,0.0,"Continuing to support local businesses, I drove to Berchman’s Brewing Company this evening which, sadly, is closing their downtown Yakima taproom at the end of July due to the pandemic 😞 and I purchased a grunt… https://t.co/dZWHazqmLL",Washington
6,big sky cure cluttered covid world nofilter marfa texas,0.0,"Big Sky- the cure for the cluttered COVID world #nofilter @ Marfa, Texas https://t.co/rPzSxemOOP",Texas
7,night jing lasvegas fun night waiter bartender manager wearing mask social distancing table bar yam packed seating limitation observed …,0.0,"Last night, jing_lasvegas was a fun night, waiters bartenders and managers where all wearing masks. There was social distancing at the tables and the bar. It was not yam packed and seating limitations where observed.… https://t.co/iw9nl1W428",Nevada
8,black oak trail landscape twenty-two lovely social distancing walk landscapelovers landscapelover californianativelandscape californianativeplants blackoaktrail blackoaktrailloop kennedygrove…,0.6125,"Black Oak Trail Landscape 22
~  a lovely social distancing walk ~
~
~
#landscapelovers #landscapelover #californianativelandscape #californianativeplants #blackoaktrail #blackoaktrailloop #kennedygrove… https://t.co/lQqqyQc8rY",California
9,mask on he great day cousin stayed 6ft away everybody hand sanitized errthing staysafe summertime fun summer family love blessed july quarantine fortnite party…,0.12222222222222225,"With mask on...he had a great day with his cousins. We stayed 6ft away from everybody else and hand sanitized errthing!

#staysafe #summertime #fun #summer #family #love #blessed #july #quarantine #fortnite #party… https://t.co/klDv1ulH9R",Georgia
10,black oak trail landscape twenty-two amp lovely social distancing walk landscapelovers landscapelover californianativelandscape californianativeplants blackoaktrail blackoaktrailloop kennedygrove…,0.1,"Black Oak Trail Landscape 22, B&amp;W
~ a lovely social distancing walk ~
~
~
#landscapelovers #landscapelover #californianativelandscape #californianativeplants #blackoaktrail #blackoaktrailloop #kennedygrove… https://t.co/2tUlfWly5U",California
11,funfamilyday practicing socialdistancing staysafe taking beauty nature thehuntington botanicalgardens yari lupe valentinagracedelacruz family…,0.12222222222222225,We had a #funfamilyday practicing #socialdistancing to #staysafe while taking in the beauty of nature at @TheHuntington #botanicalgardens with yari_lupe and valentinagracedelacruz #family… https://t.co/QqqCpJOGzw,California
12,sold listed home beginning pandemic owner nervous idea going happen market weren ' sure it got ta …,0.0,Sold! We listed this home at the very beginning of the pandemic. The owner was nervous as we had no idea what was going to happen with the market. We weren't even sure how we would show it... Sometimes you gotta… https://t.co/lwErFZvZ3G,California
13,think pandemic it safe amare amazing birthday party course got girl red heart️smiling face with heart-eyes huntington west virginia,0.25,"I think even during a pandemic it’s safe to say Amare had an amazing birthday party, and of course I got to see my girl ❤️😍 @ Huntington, West Virginia https://t.co/sffz7lQ01j",West Virginia
14,phase three low slow fifteen hour corona del mar california,0.55,"Phase 3: low and slow. See you in 15 hours @ Corona del Mar, California https://t.co/BFTWbni4Wz",California
15,arttherapy weekendfun saturday maskup socialdistancing painting twist,-0.15000000000000002,#arttherapy #weekendfun #saturday #maskup #socialdistancing @ Painting with a Twist https://t.co/6d8NSR0E5s,Texas
16,justo ante la pandemia del covid nineteen rusty pelican restaurant miami,-0.041666666666666664,Justo antes de la pandemia del covid-19. @ The Rusty Pelican Restaurant in Miami https://t.co/3jn1hVQ4yd,Florida
17,stoked shooting season two thrilled hollywood getting work on set doctor covid wrangler explained studio safest place world right on…,0.24545454545454545,Stoked to be shooting Season 2 and just as thrilled to see Hollywood getting back to work! As our on-set Doctor/Covid wrangler explained our studio is one of the safest places in the world right now as everyone on… https://t.co/CDR8DpIupM,California
18,black oak trail landscape twenty-three lovely social distancing walk landscapelovers landscapelover californianativelandscape californianativeplants blackoaktrail blackoaktrailloop kennedygrove…,0.3,"Black Oak Trail Landscape 23
~  a lovely social distancing walk ~
~
~
#landscapelovers #landscapelover #californianativelandscape #californianativeplants #blackoaktrail #blackoaktrailloop #kennedygrove… https://t.co/9t6aiY4cwn",California
19,lockdown spicy veggie soup fire veggie lover red heart️ delicious enjoy iso iso uptoyou rule easy adapt fridge really chop…,0.0,"Lockdown Spicy Veggie Soup 🔥
.
.
.
This one is for my Veggie lovers ❤️
.
.
A delicious one to enjoy in ISO or out of ISO #uptoyou
.
.
No rules and very easy to adapt to what you have in the fridge really!
.
.
Chop… https://t.co/6IbEIyvgFc",Texas
20,and thought therona couldn ' worse corona why that mames güey coronavirus2020 coronapalooza2020 coronabeer cervezacorona seltzer porqueria theendisnear west…,0.5533333333333333,"And, just when you thought #therona couldn't get any worse...@corona why? Why would you do that? No mames, güey! #coronavirus2020 #coronapalooza2020 #coronabeer #cervezacorona #seltzer #porqueria #theendisnear @ West… https://t.co/Br0N4z0HGg",California
21,catch tonight brilliant sunset like it forever cloud beautiful light sunset think pandemic bit depression week …,-0.2375,Did you catch tonight’s brilliant sunset?  It seems like it’s been forever since we had clouds and beautiful light at sunset. I think that and the pandemic had me really in a bit of depression for the last few weeks.… https://t.co/9cC1VCbnGx,California
22,black oak trail landscape twenty-three amp lovely social distancing walk landscapelovers landscapelover californianativelandscape californianativeplants blackoaktrail blackoaktrailloop kennedygrove…,0.1875,"Black Oak Trail Landscape 23, B&amp;W
~ a lovely social distancing walk ~
~
~
#landscapelovers #landscapelover #californianativelandscape #californianativeplants #blackoaktrail #blackoaktrailloop #kennedygrove… https://t.co/HCZxf1COBL",California
23,elk country rv campground happycamper covid backtonature july4th2020 rvthereyet escapethepandemic friendswhobecomefamily trinidad california,-0.10000000000000002,"Elk Country RV Campground
#happycamper #f*covid #backtonature #july4th2020 #rvthereyet #escapethepandemic #friendswhobecomefamily @ Trinidad, California https://t.co/GZdJC2gFgL",California
24,neighbor watch come home work cat face california chico redding redbluff oroville paradise northvalley cat cat catsofinstagram neighbor neighbor neighborsofinstagram …,-0.0375,"My neighbor always watches me when I come home from work... 🐱
.
.
.
.
.
#California #Chico #Redding #RedBluff #Oroville #Paradise #NorthValley #cat #cats #catsofinstagram #neighbor #neighbors #neighborsofinstagram @… https://t.co/HLXnK5fKgc",California
25,hugo think little pug named hugo super happy pandemic home get hang u weather recovering sparklesraising handsmedium skin tonesparkles love him hugo dog…,0.0,"WHAT HUGO THINKS...
Our little #pug named Hugo it is super happy with this Pandemic. We are at home and he gets to hang out with us. He is being under the weather, but now recovering. ✨🙌🏽✨ We love him!
#Hugo #Dog… https://t.co/E7UwBnEFHK",Arizona
