,tweet,location,Confirmed
0,soulcycle gym coronavirus cnn trump equal highbloodpressure staysafe america stayhealthy vote2020 trumpsucks goblue wave calilove selflove namaste manhattan beach california,California,146659
1,gon na lot month covid gone fun indiana jones one three tonight solano two drive in amp public market westwinddrivein concord ca,California,146659
2,stillworking quarantineweightgainisreal lovetobeapharmacist lauderfamilyfarm happyopeningweekend covid19 salina california,California,146659
3,gun ' rose drummer matt sorum enjoys spending time home coronavirus pandemic,California,146659
4,covid nineteen pandemic needed blood donation decreased aid collecting donation beverly hospital proud hosting blooddrive americanredcross tuesday june thirty two thousand and twenty 9am 4pm help save life,California,146659
5,medicallytailoredmeals packaged ready delivery client alamedacounty sanfrancisco foodismedicine covid19 pohat35 project open hand,California,146659
6,covid nineteen economic slump closing coal plant science,California,146659
7,imasks inc ready fifteen day prototype ready manufacturing readyforspike coronavirus staysafestayhome razzi agency,California,146659
8,visiting friend two thousand and twenty covid19 orange california,California,146659
9,beeerfish favorite restaurant opening today covid friendly seating outdoor patio stop in stay while beerfish,California,146659
10,uninsured think covid nineteen need medical advice ca dept health care service medi nurse available one eight hundred and seventy-seven four hundred and nine nine thousand and fifty-two medinurse callanurse city lynwood ca government,California,146659
11,thank tahoe outdoor trail cycling family stayconnected realitycheck friend nature naturephotography tahoecity photography covid19 goodthings nodistractions tahoe city california,California,146659
12,coronavirus got down alone,California,146659
13,recording session covid producer engineer 6ft apart mask artist singing safely glass los angeles california,California,146659
14,bailey boo donates martial art history museum re open today three month closed covid nineteen baileyboo mahm sumoamericus martial art history museum,California,146659
15,corona ca fri jun 12th pm forecast tonight clear lo fifty-four saturday sunny hi eighty-three,California,146659
16,beach coronavirus beach america,California,146659
17,friday mayor presser georgefloyd covid19 los angeles city hall,California,146659
18,happy 30year hanstaekwondo anniversary master dave bakersfield missed class pandemic haha han ' taekwondo academy bakersfield california,California,146659
19,gone dog studiolife covid19 covidhair composerlife doyoulikedags los angeles hollywood california,California,146659
20,covid statue mask dunder mifflin paper company,Pennsylvania,82481
21,past 3yrs gave me gave right back ' sorry love you go getreal goretro covid19 retro fitness east norriton pa,Pennsylvania,82481
22,plain black mask cause ' sad steampub coronavirus kitchenbandits cheflife chefsofinstagram sad food buckscountypa steam pub,Pennsylvania,82481
23,newest service perfect office salon restaurant church more single ongoing service available safework disinfecting covid19 easton pennsylvania,Pennsylvania,82481
24,phillladelphia soundtrack raimundos reflecting new world covid riot injustice that ' rant langhorne pennsylvania,Pennsylvania,82481
25,lucky live central park year nyc newyork nyc centralpark midtown ny green summer covid19 quarantine cityview lifestyle central park,New York,381714
26,look covid hair cut week covidhair tarrytown new york,New York,381714
27,running emotional health time covid nineteen,New York,381714
28,coronavirus kill host college,New York,381714
29,corona ny fri jun 12th forecast today cloudy hi forty-five tonight partly cloudy lo thirty-one,New York,381714
30,thank mtanyctransit nyc covid19 phaseone columbus circle,New York,381714
31,coronavirus consequence tourist visiting kilimanjaro,New York,381714
32,race coronavirus vaccine run horseshoe crab blood smart news smithsonian magazine,New York,381714
33,ayana platform gallery adapted lockdown launching online exhibition visitor,New York,381714
34,pandemic happy place coneyisland brooklyn newyorkcity nyc coney island usa,New York,381714
35,day school present bobafett starwars blackseries lastdayofschool weallneedmasks covid19 clifton park new york,New York,381714
36,major checkpoint workplace operation return post covid new blog post workplacedesign workplaceexperience workplacestrategy podcast blog,New York,381714
37,pandemic pastime apartmentgardening inspired badtz281 basil tomato lower east,New York,381714
38,morning guy getting food need it new covid nineteen case decline economic situation going on look another bronx new york,New York,381714
39,owen grove argues covid nineteen pandemic offer unique opportunity economic change address persisting inequality uk,New York,381714
40,batch pandemic lucha libre mask stock fourteen ninety-nine rock fantasy,New York,381714
41,twenty mile ride today eastern parkway utica ave unisphere corona queen today fella flushing meadow corona park,New York,381714
42,sean jones abc news talking jazz era covid nineteen,New York,381714
43,trackbike flushing meadow corona park,New York,381714
44,batmantimessquare batman pandemic time square new york city,New York,381714
45,trump covid19 themed shopfront display saugerties new york,New York,381714
46,wearing mask pandemic masklife emoforever pandemic covid19 covid19life coronavirus coronalife bronx thebronx bx boogiedown emo startrek bronx new york,New York,381714
47,week ago lot art community neighborhood walkingthedog art streetart brooklyn covid nineteen brooklyn new york,New York,381714
48,hey bar bathroom octopus missed so covid lifeinthetimeofcovid quarantinelife imfree patiolife dansbirthday dinosaur bbq,New York,381714
49,monday went covid nineteen antibody test at citymd bay ridge brooklyn ny,New York,381714
50,ilovenewyork ilovequeensny gothamcity missliberty paradisecity mysecretnyc hudora230 hudora xperiaxz1compact flushing meadow corona park,New York,381714
51,lol facemask quarantine coronavirus covid19 new york new york,New York,381714
52,eveyone ny tryna rid covid 'cept man smh breakfromreality duckingthatcorona new york new york,New York,381714
53,covid nineteen update worked got paid compare support81worldwide support81longisland support81newyorkcity wellsfargobank gristedes supermarket fifty-nine,New York,381714
54,volunteer coronavirus trial vacine united state,Kansas,10973
55,great video dechambeau link idea spend corona quarantine united state,Kansas,10973
56,travel memory june two thousand and thirteen flower mfaboston superb collection canberragardener travelmemories armchairtravel covid19 museum fine art boston,Massachusetts,105059
57,covid nineteen update hot diggity,Massachusetts,105059
58,fav place outside boston deserted quiet different energy covid19 `` new normal '' bring change an opportunity create amazing beach nantasketbeach tranquility deserted socialdistancing quarantinelife photography minimalism,Massachusetts,105059
59,fav place outside boston deserted quiet different energy covid19 `` new normal '' bring change an opportunity create amazing beach nantasketbeach tranquility deserted socialdistancing quarantinelife photography minimalism,Massachusetts,105059
60,boston noon friday june 12th pandemic time boston massachusetts,Massachusetts,105059
61,model selfless leadership midst pandemic gon na miss terribly chiefresidents bmcimres boston medical center,Massachusetts,105059
62,several month covid19 quarantine happy new face inflatable unicorn concord massachusetts,Massachusetts,105059
63,covid nineteen houstoncolorist houstonsalon houstonhairstylist pamelaraye bookme stylseat avlon avlonproducts avlon desired image ii salon,Texas,84927
64,nurse coronavirus cancer facemask bellavfsalon 3047woodlandhillsdrive kingwoodtx kingwoodhospital doctor bella vf salon nail day spa,Texas,84927
65,here ' latest news covid nineteen central texas thursday june eleven news tip question email news kut org atx austin all512,Texas,84927
66,here ' latest news covid nineteen austin area friday june twelve news tip question email news kut org atx austin all512,Texas,84927
67,here ' latest news covid nineteen central texas thursday june eleven news tip question email news kut org atx austin all512,Texas,84927
68,austin symphony july 4th concert firework event auditorium shore canceled year covid nineteen concern austin symphony atx austin all512,Texas,84927
69,now this week corporate jargon covid nineteen hope laughing covid19 corporatejargon zoom nomorezoom camera video homeoffice fridayfunny smile htx,Texas,84927
70,floor nice clean covid nineteen away online in store link bio mop janitorial janitor clean spotless sanitize kitchen essential essential packaging food service supply,Texas,84927
71,texas standard coronavirus outbreak began health care worker ninety-five mask glove once disposing prevent cross atx austin all512,Texas,84927
72,pandemic over paid ice need happen,Texas,84927
73,hair covid nineteen mod pizza,Texas,84927
74,austin travis county seen day triple digit increase number new coronavirus case week friday seventy-six case atx austin all512,Texas,84927
75,austin symphony july 4th concert firework event auditorium shore canceled year covid nineteen concern austin symphony atx austin all512,Texas,84927
76,covid shit man,Texas,84927
77,got hang virtually christaonair 21wfmj talk jccyoungstown camp fun age coronavirus jewish community center youngstown,Ohio,40424
78,day eighty-nine exile covid nineteen hair brings eye brave haircut let roll socialdistancing amiculus northern wood,Ohio,40424
79,cantonohio covid19 coronavirus stadium park canton ohio,Ohio,40424
80,dinner covid batuqui cleveland oh,Ohio,40424
81,post covid life here it ' gone not batuqui cleveland,Ohio,40424
82,family strain pandemic,Ohio,40424
83,good morning current coronavirus covid nineteen outbreak township ocean historical museum closed currently closed monday july six two thousand and twenty continue check date changed,New Jersey,166164
84,hoboken quarantine hoboken coronavirus socialdistancing quarantine hoboken new jersey,New Jersey,166164
85,friday hold protest work strike rest caring safe well wish strength comfort joy fridaysforfuture covid nineteen blm health future north end,Idaho,3353
86,tamarack resort want help couple cancel wedding covid nineteen,Idaho,3353
87,got question covid19 answer testing information amp durhamhealthnc ' confidential hotline,North Carolina,41417
88,woohoo covid compliant yes stil open truly blessed white rose manor bed amp breakfast,North Carolina,41417
89,downtown newton disaster business stabilization grant downtown newton development association accepting application grant funding downtown business affected ongoing pandemic,North Carolina,41417
90,wearamask covid19 wsnc getoutside winston salem north carolina,North Carolina,41417
91,watch demand june twelve meeting durham covid19 recovery amp renewal task force advising mayorschewel durhamcounty chair jacobsfordurham safely amp successfully re open durham,North Carolina,41417
92,catching keeping social distance coronavairus covid19 staysafe coveryourmouth washyourhands friends4life pandemic genghis grill,North Carolina,41417
93,application covid nineteen surveillance associate roster nepal,Oregon,5377
94,latest kickstarter treasure cthulhu coaster quarantine covid nineteen lovecraft portland or tigard oregon,Oregon,5377
95,buddy cthulhu got positivevibes you friday 3dprinting dogma covid nineteen quarantine thankyou ryandalling surprise gift turned shit day ok portland or tigard oregon,Oregon,5377
96,tada covid project picture tigard oregon,Oregon,5377
97,lalab furloughed received federal payment 2millionstrong floridaunemployment coronavirus schnauzersofinstagram hot mess central,Florida,70971
98,2millionstrong floridaunemployment coronavirus state florida,Florida,70971
99,unemployment update submitted issue intake form office senator jason pizzo submitted six twelve twelve 43pm 2millionstrong floridaunemployment coronavirus state florida,Florida,70971
100,cooking home recipe spice life local chef fortlauderdale ftlauderdale solauderdale chefscorner food foodie recipe cookingfromhome cookfromhome chef athome covid19 southflorida restaurant,Florida,70971
101,went ty park long break away exercise pandemic laziness lot work do park hollywood fl,Florida,70971
102,slack workfromhome coronavirus slack finally realized slack make permanent remote work possible,Florida,70971
103,coronavirus update june twelve two thousand and twenty osceola backtowork noticias news orlando kissimmee poinciana buenaventuralakes campbell stcloud celebration yeehawjunction orlando ocoee winterpark doctorphillips osceolastar,Florida,70971
104,like florida place covid19 rise care yourselves everyone kosharekart saint petersburg florida,Florida,70971
105,wear face mask people,Michigan,65672
106,wotsmqt recent update importance face mask,Michigan,65672
107,journey leading covid nineteen world,Michigan,65672
108,use `` key '' door handle amp press keypad safely touchless covid19 spartan promotional group,Minnesota,29795
109,covid combover pic four inbound brewco,Minnesota,29795
110,let tell year june two thousand and twenty regardless coronavirus pandemic pumpkin season here spring hill tennessee,Tennessee,29118
111,effort clarify uncertainty wearing mask covid nineteen doctor northcrestmc informational video english spanish view video learn wear mask fit more,Tennessee,29118
112,living covid life albuquerque new mexico,New Mexico,9526
113,covid screening setup micro center,Missouri,15997
114,nice player stopping by 3rd season lion covid cancelled season jordanjamahl7 tony glavin soccer club,Missouri,15997
115,corona wuhan2020 conquest surf fishing beach,Delaware,10173
116,kmackcomedy quarantinelife coronavirus wilmington delaware,Delaware,10173
117,gallatin county add six covid nineteen case,Montana,573
118,ap montana ten new covid nineteen case inmate test inconclusive,Montana,573
119,gallatin county eye coronavirus reimbursement state program,Montana,573
120,this guy,Maryland,60613
121,baseball practice time covid wheaton maryland,Maryland,60613
122,new orleans louisiana,Louisiana,44995
123,kinda corona friday night camp pleasant new orleans la,Louisiana,44995
124,covid nineteen inequity universal basic income answer,District of Columbia,9654
