,tweet,sentiment,tweet.1,location
0,happy father ' day got father lunch father ' day red robin it ' time 've seen outbreak covid nineteen anchorage alaska,0.35000000000000003,"Happy Father's Day. I got to take my father out to lunch for Father's Day at Red Robin.

It's also the first time I've seen him since the outbreak of COVID-19. @ Anchorage, Alaska https://t.co/WRxBP8XSk8",Alaska
1,wonderful father day enjoying love food having son day red heart️ got forty fortnite buck face with tears of joy tin670 got ultimate dad sandal grinning face with smiling eyes corona california,0.05,"Had a wonderful Father’s Day enjoying my love’s food and having my son over for the day ❤️ He got me $40 in Fortnite V-Bucks 😂 and tin670 got me the ultimate Dad sandals 😄 @ Corona, California https://t.co/1O0ps92NPX",California
2,goofball posing near white gold aka toiletpaper aisle it wild thing went zero corona quickly im little worried resurgence disease and…,0.5,Being a Goofball and posing near the white gold aka #toiletpaper aisle.  It’s really wild how things went from zero to Corona so quickly.  I’m a little worried there will be a resurgence of all this disease and… https://t.co/YzoARpzryL,Texas
3,celebrating socialdistancing father day steak wine loursing amp maddy mar vista,0.003125000000000003,Celebrating a #socialdistancing Fathers Day with steaks and wine. Than you so much loursing &amp; Maddy. @ Mar Vista https://t.co/8L197PbcA8,California
4,shoutout best dad world thank family heart suit️ happy fathersday dad itsthelittlethings dad itsdjlimitless limitless family fambam sundayfunday corona california,0.0,"Shoutout to the best dad in the world! Thank you for all you do for me and our family! ♥️ happy #fathersday dad! #itsthelittlethings #dad #itsdjlimitless #limitless #family #fambam #sundayfunday @ Corona, California https://t.co/ifls50UuLQ",California
5,dont report yall wont trumplogic,1.0,Just don’t report them and y’all won’t have ANY #TrumpLogic https://t.co/7g0ehihl8d,California
6,took dad outback steakhouse father day lunch nice usually travel june blessing able celebrate father day him covid precaution social…,0.25,I took Dad to Outback Steakhouse for his Father’s Day lunch. It was nice since I usually travel during June so it was a blessing being able to celebrate Father’s Day with him. The Covid precautions were social… https://t.co/idz6b4CmVv,Hawaii
7,dear ₽otus middle fingerlight skin tone,0.22083333333333333,Dear ₽OTUS: 🖕🏻 https://t.co/814bTpYMIR,Virginia
8,ye ol twelve shoulder shoulder bros care following rule help slow spread covid wineetcetera apparently mission district,0.0,Ye ol’ 12 top of shoulder to shoulder bros. Who cares about following rules to help slow the spread of COVID? Not @WineEtcetera apparently @ Mission District https://t.co/CEhZBSnolh,California
9,whats look like window sunset blaze pandemic skyspacela cloud intercontinentaldtla cloud interconla covid19 cloudy cityscape wilshiregrand covid nineteen building chasingsunsets california…,0.062499999999999986,What’s it look like out your window? #sunsets #blaze #pandemic #skyspacela #cloud intercontinentaldtla #clouds @interconla #covid19 #cloudy  #cityscape #wilshiregrand #covid_19 #building #chasingsunsets #california… https://t.co/cUmIKkfJ9j,California
