,tweet,sentiment,tweet.1,location
0,happy may coronavirus outdoor activity running sun shopping suspended hoe study habit month tracker trackclubbabe…,0.4375,"Happy May! 

Now Due to the coronavirus. All of the outdoor activities except running on the sun and shopping are suspended. So In the hoe I should study my habit on the month tracker. 

Here is trackclubbabe… https://t.co/HRp1T7ubqk",California
1,took drive morn home motley lovely lake shamineau home ninety-four mile maple grove went covid bag glove mask amp disinfectant spray u crossing finger amp …,0.690625,"Took a drive this morn to show a home in Motley, a lovely Lake Shamineau Home 94 miles from Maple Grove! Went in with my covid bag, gloves, masks &amp; disinfectant spray for all of us! We are crossing our fingers &amp;… https://t.co/PgKWTtcTs6",Minnesota
2,feel yalls pain workingmom family covid19 lockdown sipwine thestruggle thestress iwantout butdontwantthisflu cheer san jose california,0.0,"I feel y’alls pain. #workingmom #family #covid19 #lockdown #sipwine #thestruggle #thestress #iwantout #butdontwantthisflu #cheers @ San Jose, California https://t.co/tW90kZydmC",California
3,here five one twenty daily covid nineteen update county ventura nine new case five hundred and forty-four total case three hundred and eighty-five recovered case twenty-five hospitalized five long term care facility patient cared hospital protect…,0.021590909090909088,"Here’s your 5/1/20 daily COVID-19 Update from the County of Ventura.

9 new cases
544 total cases
385 recovered cases
25 hospitalized (5 are long term care facility patients being cared for at the hospital to protect… https://t.co/ixNk5DT4v3",California
4,`` due shelter place covid nineteen mandate restaurant closed location however starting open to go order large homeless encampment sprouted we 've closed three `` mission d9,-0.01845238095238096,"""Due to the Shelter in Place-Covid 19 mandate, our restaurants have been closed at this location. However, we are starting to open up again for to-go orders but a large homeless encampment has sprouted since we've closed. It is around 3-..."" (Mission, D9) https://t.co/Crf2eooFSn",
5,covid nineteen god work wrath people people nation leader people position messed up bad right …,-0.29464285714285704,"COVID-19 IS NOT GODs Work OR Neither His Wrath on His People! 

This Is US as a People... As a Nation... As Leaders... As People in Position! 

WE HAVE MESSED UP... BAD! 

We Have Not Done Right By Ourselves in A… https://t.co/DbXHEf2UD4",Arizona
6,corona bingo achieved sugar rainboww dyed me hilighters love hair hairdye dyed neon partytime friyay iphonexs lightroom hella bright haight ashbury,0.6000000000000001,Corona bingo achieved! sugar_rainboww dyed for me. Hilighters in love. #hair #hairdye #dyed #neon #partytime #friyay #iphonexs #lightroom #hella #bright @ Haight-Ashbury https://t.co/J2bgCCMJUL,California
7,covid nineteen update white house irs doesn ' know white house irs know city hollis city town hall queen new york,0.12159090909090907,"COVID-19 update 
 The White House or IRS doesn't even know my full name and The White House or IRS should know there is no to city as hollis find the city or town hall @ Queens, New York https://t.co/2PP7bjgOjf",New York
8,“ the gipsy ” “ la gitanilla ” ipadproteam sketchesapp digitalart covidartgallery artcur corona time painting time learning new skill somuchtomearn lilianabenzaquenart many…,0.3181818181818182,"“The Gipsy” “La Gitanilla” ipadproteam #sketchesapp  #digitalart covidartgallery @artcur_ using Corona time for painting, time for learning new skills. #somuchtomearn https://t.co/879op1s3nz lilianabenzaquenart the many… https://t.co/6tbJ2MeVdx",Florida
9,sure shopping drove today ohio reopened bank omg thought selling ninety-nine bigmacs sumn let week brings covid19 coronatimes face with rolling eyes cleveland ohio,0.5,"They sure were out shopping in droves today, as #Ohio reopened... and the banks!!!! #OMG! Thought they were selling .99 #BigMacs or sumn... let’s see what next week brings! #covid19 #coronatimes 🙄 @ Cleveland, Ohio https://t.co/8IjKLtec4q",Ohio
10,ready kill fight sandwich two plyperson facepalmingmedium skin tone‍male sign️rolling on the floor laughingrolling on the floor laughingrolling on the floor laughing covid19 coronavirus tissue chicken paranoid crazy deranged insane follower trendingtopic socialmedia viral calmdown chill…,-0.5,"Ready to kill, fight and cry over a sandwich and some 2 ply🤦🏽‍♂️🤣🤣🤣#covid19 #coronavirus #tissue #chicken #paranoid #crazy #deranged #insane #followers #trendingtopic #socialmedia #viral #calmdown #chill… https://t.co/CV113G12V2",Georgia
11,covid silver lining alert parent travelled time play game kid this dutch blitz oldest daughter drove cornell upper state ny cross 10…,0.06666666666666668,Covid Silver Lining Alert: For all the parents who travelled so much they never had time to play games with the kids...this is Dutch Blitz with my oldest daughter who drove from Cornell in upper state NY cross 10… https://t.co/DfvjYj9t1C,California
12,stay tuned update coming soon them red heart️ • • loveavedamemphis coronavirus backtobusiness downtownmemphis teamneill rachel ' salon amp day spa,0.0,"STAY TUNED!  
Updates will be coming as soon as we have them!❤️
•
•
#loveavedamemphis #coronavirus #backtobusiness 
#downtownmemphis #teamneill @ Rachel's Salon &amp; Day Spa https://t.co/V5g3uxAIeD",Tennessee
