,tweet,location,Confirmed
0,covid nineteen update queen new york,New York,354370
1,hero ' covid 19diaries social distancing stayhome lockdown brooklyn new york,New York,354370
2,covid nineteen update new filter ordered gas biohazard mask eight hour starch month sixty zero set queen new york,New York,354370
3,covid nineteen spread air conditioning,New York,354370
4,channellock launch online learning tool student amid covid nineteen crisis,New York,354370
5,coronavirus diary day sixty-nine skittish soon,New York,354370
6,corona ny wed 20th forecast today cloudy hi forty-five tonight partly cloudy lo thirty-one,New York,354370
7,away family celebrating them love firstborn covid19 amazingthingarehappeninghere nyphospital newyork presbyterian columbia university medical center,New York,354370
8,ready work guy field trip actually happy field covid nyc quarantine2020 hell ' kitchen manhattan,New York,354370
9,thought eighty `` hand sanitizer '' hmmmm coronavirusnyc coronavirus stayhome wearamask brooklynny shoprite,New York,354370
10,king king covid19 manhattan new york,New York,354370
11,rent damn high anyway akiraruizphotography 34st newyorkcity bestnyphoto covid19 coronavirus macy ',New York,354370
12,ray sunshine break gray stormy cloud covid19 itsthelittlethings upper west,New York,354370
13,learn appointment grubb ' southeast historic anacostia offering free covid nineteen drive testing,New York,354370
14,staysafe covid nineteen world,New York,354370
15,brian christine play covid nineteen quarantine catch up episode one hundred and sixty-three,New York,354370
16,akiraruizphotography arvision newyorkcity bestnyphoto covid19 coronavirus new york new york,New York,354370
17,covid convo three gun hill brewing,New York,354370
18,got citibike account now gon na start exploring more explore newyork newyorkcity pier84 ussintrepid quarantinelife quarantine covid19 manhattan new york,New York,354370
19,afternoon exercise covid19 quarantinelife nyc queen flushingmeadows lakeview imissobama ariza2 ariza slowthespread wearamask new york new york,New York,354370
20,covid antibody testing available fee one hundred and five zero lab fee forty-seven zero or use insurance lab fee dr david ore,New York,354370
21,car five nyc newyork newyorkcity coronavirus covid nineteen manhattan new york new york,New York,354370
22,advice bedford during covid19 brooklyn height,New York,354370
23,progressive pushing policy pandemic npr,New York,354370
24,santa sick rona coronavirus corona wearamask santa wereallinthistogether mask stopthespread staypositive randombuttrue smile wearing facemask new york new york,New York,354370
25,corona ny wed 20th pm forecast tonight partly cloudy lo thirty-one saturday sunny hi forty-one,New York,354370
26,covid nineteen update queen new york,New York,354370
27,covid antibody testing available office three minute blood sample dr david ore,New York,354370
28,enrolled coronavirus contact tracing academy wired,New York,354370
29,clapbecausewecare clapbecausewecarenyc essentialworkers healthcareworkers openthecountry coronavirus covid19 covid nineteen newyork newyorkcity manhattan new york,New York,354370
30,exit strategy covid19 time square new york city,New York,354370
31,quick sweatcheck godson iprollydidit workout two noexcuses bebetter quarantinecollege coronavirus quarantine east harlem,New York,354370
32,know drill love er doctor melba taylor round amp thing covid19 9pm est tonight corona doctor coronavirus fitness health new york new york,New York,354370
33,silver lining covid opportunity new beginning heather desantis,New York,354370
34,silver lining covid opportunity new beginning heather desantis unscripted cr,New York,354370
35,unseen war covid 19diaries social distancing stayhome lockdown new york new york,New York,354370
36,kitty physicaldistancing socialdistancing time covid19 chicago catsofinstagram portage park,Illinois,100418
37,nuevayorknico one you iloveny coronavirus covid19 staysafe oneworld wereallinthistogether midlothian illinois,Illinois,100418
38,read recent scy policy update today illinois state senate convene short session narrow focus `` covid nineteen disaster `` we 'll know mean scychicago policyupdate twill,Illinois,100418
39,paloma got cut blow dry today dog groomers work illinois covid19 chowchow chowchowlovers wag willow,Illinois,100418
40,corunastreak day seventy-two pink parkway tree finally blooming also covid nineteen antibody testing time gone gregg ' landing vernon hill,Illinois,100418
41,hawaii governor ige extends travel quarantine june 30th maui hawaii quarantinetravelchallenge hawaiitravelquarantine covid19 coronavirus mauinews quarantinelife hawaiinews quarantine island maui,Hawaii,643
42,want know buy home covid listen wednesday 2pm san francisco california,California,85997
43,we 're together people profit covid19 quarentine hanginthere melrose avenue,California,85997
44,harry ' `` price point '' get mention today sailing illustrated lbyc ' covid nineteen postponed congressional cup two thousand and twenty downunderracing sailingillustrated long beach california,California,85997
45,epic bedhead jaggermax quarantine quarantinehair quarantinefashion covid19 culver city california,California,85997
46,covid nineteen grappling class covid19 training grappling bjj class too funny westhills westhillsmartialarts dragonsmartialarts dma freestyle west hill california,California,85997
47,selling product service online here ' tip shopifypartners optimize ecommerce store success post covid nineteen shopify ecommerce onlinesales covid19,California,85997
48,corona ca wed 20th forecast today sunny hi seventy-nine tonight clear lo fifty-four,California,85997
49,bare throw scrap away cartabellapaper line flower market card further blue truck corona california,California,85997
50,leave here 'all know are entitled quarantine covid thinkaboutit commerce california,California,85997
51,na na na somethingfor listen pandemic niggasaintshit musicpodcast spotifyplaylist spotlight artistsoninstagram bomdia coronavirus pandemic dc bossbabe malemodel fuck hollywood,California,85997
52,taking stroll 1st shopping mall reopen covid19 yuba sutter mall,California,85997
53,and business corona del mar california,California,85997
54,feel good beginning climb happens eighty-nine mile left covid two hundred one foot other santa clarita california,California,85997
55,new web project work smoker lit pork marinated cheeseboard check new wine text delivery check winetext winelibrary manananonas corona california,California,85997
56,posted photo palo corona regional park,California,85997
57,posted photo palo corona regional park,California,85997
58,posted photo palo corona regional park,California,85997
59,honey siracha smoked pork loin turmeric rice veggie manananonas corona california,California,85997
60,corona ca wed 20th pm forecast tonight clear lo forty-nine thursday sunny hi eighty-seven,California,85997
61,presser mayor losangeles covid19 cavemanmusic caveman vintage music,California,85997
62,posted photo palo corona regional park,California,85997
63,posted photo palo corona regional park,California,85997
64,posted photo palo corona regional park,California,85997
65,covid19 life corona california,California,85997
66,title covid home haircut pimple north hollywood california,California,85997
67,fear got tongue covid19 fear death love pandemic church el cajon california,California,85997
68,driving golden gate bridge traffic sanfrancisco goldengatebridge home happy notraffic coronavirus excelagent golden gate bridge,California,85997
69,sign time covid19 business mental health weedlife stayhome socialdistancing community addiction exercise losangeles los angeles california,California,85997
70,urban permaculture farm taking shape update urban permaculture living covid nineteen permavandan changed name upcycling victorygarden urbanpermaculture oakland california,California,85997
71,view unfortunately named corona height spectacular today corona height san francisco,California,85997
72,coronavirus killing middle class new yorker,California,85997
73,daily walk covid nineteen beauty quarantined hillsboro oregon,Oregon,3801
74,historic health assembly end global commitment covid nineteen response,Oregon,3801
75,covid19 testing facility shed dean dairy sharpsville pennsylvania,Pennsylvania,68126
76,great trip morning gentleman wearing ppe correctly walmarthelp walmartkop coronavirus at walmart supercenter king prussia pa,Pennsylvania,68126
77,start work week let benjamin cheflife chefsofinstagram kitchenbandits coronavirus steam pub,Pennsylvania,68126
78,let ' talk home buying living mean post covid nineteen economy harrisburg pennsylvania,Pennsylvania,68126
79,precaution sun covid19 notgettingme philadelphia pennsylvania,Pennsylvania,68126
80,victoria ' secret parent brand sale tumble thirty-seven store shut coronavirus pandemic cnbc,Pennsylvania,68126
81,yup covid west millcreek pennsylvania,Pennsylvania,68126
82,selfie mask covid19 coviddiaries greenfield,Pennsylvania,68126
83,snack snack cositasdulce yummy cositasdulces spicycandy dulcesenchilados corona refreshing coronaseltzer blackberrylime seltzer thatswhyimfat snacktime yum noh8 midnightsnack fort worth texas,Texas,51673
84,thankful harbor freight appreciative frontliners thankyou covid19pandemic pandemic covid19 frontliners rn harbor freight tool,Texas,51673
85,we 'll updating story day wednesday latest local news coronavirus pandemic you ' like roundup atx austin all512,Texas,51673
86,we 'll updating story day tuesday latest local news coronavirus pandemic you ' like roundup atx austin all512,Texas,51673
87,21stcenturydynasty popupsheezy earlybeezypeezy covid19 mc boyzworkn batmanboatremix ready show crank up alief,Texas,51673
88,james clarkson trust covid nineteen piss football please asking friend two dashtfon holditdown woodland texas,Texas,51673
89,austin public health leader hosting live question and answer session medium city ' response coronavirus wednesday atx austin all512,Texas,51673
90,join today dynamic group guest discus entrepreneurship unprecedented time covid19 entrepreneurship smallbusiness naacp naacp houston branch,Texas,51673
91,we 'll updating story day wednesday latest local news coronavirus pandemic you ' like roundup atx austin all512,Texas,51673
92,we 'll updating story day wednesday latest local news coronavirus pandemic you ' like roundup atx austin all512,Texas,51673
93,we 'll updating story day wednesday latest local news coronavirus pandemic you ' like roundup atx austin all512,Texas,51673
94,austin public health leader hosted live question and answer session medium city ' response coronavirus wednesday atx austin all512,Texas,51673
95,barring unforeseen breakthrough covid nineteen testing treatment austin public health official say it ' unlikely large scale event like acl fest atx austin all512,Texas,51673
96,barring unforeseen breakthrough covid nineteen testing treatment austin public health official say it ' unlikely large scale event like acl fest atx austin all512,Texas,51673
97,went meal covid shutdown great fish meal gave jethro chance start getting normal routine redfish fisherman ' wharf,Texas,51673
98,coronavirus covid19 test woodsedge community church spring tx,Texas,51673
99,tiziano thanks covid bunny maskedup chasetherabbit atiziano premium quality fashion urbanstylez two hundred and fourteen dallas numberone swagshop urban stylez,Texas,51673
100,long spring gave good three week bad coronavirus messed up spring texas,Texas,51673
101,"free covid nineteen testing eight hundred and thirty-two nine hundred and twenty-seven seven thousand, five hundred and seventy-five houston texas",Texas,51673
102,court longer blocking landlord evicting texan struggling pay rent amid economic instability covid nineteen pandemic now atx austin all512,Texas,51673
103,we 'll updating story day wednesday latest local news coronavirus pandemic you ' like roundup atx austin all512,Texas,51673
104,court longer blocking landlord evicting texan struggling pay rent amid economic instability covid nineteen pandemic now atx austin all512,Texas,51673
105,covid game miller style terry hershey anthill,Texas,51673
106,coronavirus covid nineteen san antonio texas audience san antonio contact center team member working onsite want inform confirmed case food poisoning,Texas,51673
107,we 'll updating story day wednesday latest local news coronavirus pandemic you ' like roundup atx austin all512,Texas,51673
108,new mask spn coronavirus two thousand and twenty walgreens,New Mexico,6317
109,poor ball tested positive covid nineteen social distance them hack albuquerque new mexico,New Mexico,6317
110,making cute mask today newmexico facemasks covid19 mask stayhome stayhealthy roswell new mexico,New Mexico,6317
111,want year with losing good people fuck coronavirus coronavirus rihanna depression sad hurt inside pray pawtucket rhode island,Rhode Island,13356
112,fiesta corona forevah at chili grill amp bar lincoln ri,Rhode Island,13356
113,coronavirus socialgood health six way help senior state relax coronavirus restriction,Florida,47471
114,uk fundraising coronavirus one hundred year old veteran get knighthood raising thirty million healthcare worker,Florida,47471
115,kapo ready new normal miami coronavirus covid nineteen covid19 miamibeach miamilife miamibeachlife kapo jkapo realkapo kapoeskapo miami beach florida,Florida,47471
116,morning beach pre covid19 thegoodolddays thatdaywillcomeagain clearwater beach,Florida,47471
117,escooter coronavirus tech scared ride scooter drive cleaned,Florida,47471
118,decision covid19 vaccine government help control tampa bay florida,Florida,47471
119,daily walk hoping image distant memory covid19 dailywalk southflorida whattheheckhappened pinecrest florida,Florida,47471
120,life corona like run fort pierce florida,Florida,47471
121,tell happy corona virus safe,Florida,47471
122,day three office reopened post covid lizz ayee amp busy working today commercial design presentation tomorrow teamworkisdreamwork interiorspaces interiorsbystudiom studio inc,Florida,47471
123,visit link bio detail covid19 hardmoney lender mmprivatelending mortgagebrokers openforbusiness update amp private lending group llc,Florida,47471
124,covid quarantine livewhereyouvacation clearwater beach,Florida,47471
125,prepping business new covid nineteen procedure stressful challenging piece career,Florida,47471
