,Province_State,Confirmed
0,Alabama,26272
1,Alaska,663
3,Arizona,36844
4,Arkansas,12917
5,California,155726
6,Colorado,29284
7,Connecticut,45235
8,Delaware,10340
10,District of Columbia,9799
11,Florida,77326
12,Georgia,58414
15,Hawaii,736
16,Idaho,3399
17,Illinois,133016
18,Indiana,40430
19,Iowa,24082
20,Kansas,11319
21,Kentucky,12647
22,Louisiana,47172
23,Maine,2810
24,Maryland,62032
25,Massachusetts,105690
26,Michigan,66085
27,Minnesota,30693
28,Mississippi,19799
29,Missouri,16611
30,Montana,609
31,Nebraska,16851
32,Nevada,11315
33,New Hampshire,5345
34,New Jersey,167103
35,New Mexico,9845
36,New York,383944
37,North Carolina,45114
38,North Dakota,3101
40,Ohio,41576
41,Oklahoma,8417
42,Oregon,5820
43,Pennsylvania,83589
45,Rhode Island,16093
46,South Carolina,19378
47,South Dakota,5928
48,Tennessee,31004
49,Texas,90211
50,Utah,14608
51,Vermont,1128
53,Virginia,54886
54,Washington,26158
55,West Virginia,2322
56,Wisconsin,22932
57,Wyoming,1079
