tweet,sentiment
"👙COVID-19 update, 😎 for Miam residents, the 🤩news is that the city’s 😍beaches wouldn’t🍹 reopen before 🍾early ⛱June. So for all you party 🏖animals hunker down🏝 and stay safe. Very 🌊soon we're gonna get 🏝this party… https://t.co/N1cr1KtAK3",0.1611111111111111
"Today, Ary (aka, arya._.underfoot) had his first back-alley social-distancing exam, visit, checkup, vaccinations, and boosters (things got interrupted with Caesar and the whole #covid19 thing) and he handled it like… https://t.co/PDQ6hKlnWz",0.225
"https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Monday with the latest local news on the coronavirus pandemic. If you have a news tip or question, email us https://t.co/q0q13whFGC #atx #austin #all512",0.25
"Analysis Shows Santa Clara County COVID-19 Cases Concentrated In Poor San Jose Zip Codes: ... and lack of care for our working class citizen, in particular our service industries,” said President of the NAACP of Silicon Valley Pastor Jethro Moore. https://t.co/p2nxOXgJhQ",-0.11666666666666667
SWorkout lunch. Big Boi here changed into his s.p.o.r.t._fitness shirt (bought when made available last month to support the good folks there during this Covid-19 era - you might remember some of my pics of… https://t.co/w7kkUrjnB4,0.275
"#comedy #COVID19 #snitchesgetstitches @ Knoxville, Tennessee https://t.co/kaYtmmXRFK",0.0
"“I meditate on your precepts and consider your ways.” ~Psalm 119:15
~~~~~~~~~~~~~~~~~~~~~~~
#jesus #jesuschrist #christ #bible #holy #scripture #holyspirit #psalms #psalm119 #1samuel #studygram #covid19 #covid… https://t.co/qpZKWLrX2s",0.0
"Now that my wife and I are well and basically covid19 unemployed, we started delivering for Postmates as a team. I drive and she does all the heavy lifting. Lol. 
As of today, our 5th 10-hour day, 112 deliveries,… https://t.co/LPFHHaLN2h",0.30000000000000004
@trapfuego “GOONZ” prod x @jayv411411 is about to drop 🔥🔥🔥🔥 who ready for it drop a 💯. #Trapfuego #Spotify #Itunes #Trending #Viral #Goonz #Hilodamobb #NewRelease #coronavirus #sony #Dababy #lilbaby @ Trapfuego World https://t.co/MLTQl2vXjQ,-0.2
"Blueberry pie for the Coronavirus blues. Made by @rahbean and yours truly. For a long time we couldn’t figure out why our pie was like soup. We finally got it! 👏🏽 
_
For retouching or virtual photo sessions, dm or… https://t.co/VgHw6jmYVC",0.25
"Turning one in days of covid makes you want to smash your cake... @ Ferndale, Washington https://t.co/nZzWJKGGtr",-0.025
"A talented group of folks got interviewed by @milwaukeemag about responding to COVID-19 and i was lucky enough to be included. 
.
👆Read the whole article link in bio👆
.
#art #artists #covid_19 #quarantine… https://t.co/PfHbMJDlRB",0.0
".potus cut funding to THIS 2 WEEKS AGO!
@realdonaldtrump is ACTIVELY failing at all things #COVID-19 @ The White House https://t.co/4hOx4HwEaG",0.3083333333333333
I feel like the South and Midwest are not gonna have a very good summer. https://t.co/GuHzlhrji2,0.3
"Picnicked with burritos then wrapped up into one! 🌯 @ Corona del Mar, California https://t.co/tqsTzQtnbe",0.91
Ok I know that the corona virus is bad but when it gets better if you want to travel to key west here is my group #travel #travelphotography #photography #nature #travelgram #love #photooftheday #instagood… https://t.co/iqHwg4U18z,0.35
https://t.co/q1bIRBjDj8 A coalition of voters and civil rights groups opened a new front Monday in the legal wars over mail-in voting in Texas during the new coronavirus pandemic. https://t.co/zHeRYPCXhh #atx #austin #all512,0.011666666666666659
"The first self tanner that doesn't irritate my skin! I LOVE IT!!!!!!!! 
Who else is ready to get out of town and go lay out under the sun 🌤️ (with sunscreen, #noskincancer) on the beach with a Corona... Scratch that… https://t.co/Z2HJqQlz5C",0.15757575757575756
"COVID Cooking - every dish, every pan, every day...  will we ever finish? 🙃 🍽🍴🥛 @ San Diego, California https://t.co/VOn0su8Qkd",0.78125
"#series #tnt #tv #covid19 #cuarentenatv @ The Hammocks, Florida https://t.co/LBwDxdMkcn",0.0
"B A R B E R S H O P P O P™
***COVID-19 SPECIAL***
#Barberlife #BarberLOVE 
#icutPRO #MASTERBARBER #fadegameproper #BarbershopConnect #barbersinctv #PERSONNA #andis #BarbershopPop 
GO FOLLOW MY🆕
#YouTube… https://t.co/JuLUOUR9Lr",-0.1
"B A R B E R S H O P P O P™
***COVID-19 SPECIAL***
#Barberlife #BarberLOVE 
#icutPRO #MASTERBARBER #fadegameproper #BarbershopConnect #barbersinctv #PERSONNA #andis #BarbershopPop 
GO FOLLOW MY🆕
#YouTube… https://t.co/gSl3iiQ5cw",-0.08928571428571429
"Matamoska B.C. (Before corona) #eastLA #flex #ska #punk #livemusic #memes @ East Los Angeles, California https://t.co/2Y3gXoOii0",0.35714285714285715
"COVID-19 SFPD ALERT deployment again today. #stayhome  #sfpdalert  #sfpdcares @ San Francisco, California https://t.co/Fza26KXj8D",0.0
"I’m ready, ready!!! COVID-19 CERTIFIED!!! •••••••••••••••
Follow my lifestyle blog
IG••Facebook••Twitter••Pinterest 
@clippercutqueen
Subscribe to:
Clipper Cut Queen on… https://t.co/uSOwYNSEqH",0.0
Our greedy AF Government wanting to reopen before we even peak at all anywhere. Absolutely nobody anywhere in the World has even plateaued from the Coronavirus at all yet. Reopening is… https://t.co/7DparMezo5,0.0
"Wanna know what I've really been up to since the Covid hit? Gonna have to check the YouTube link to find out! https://t.co/svBedu7neX @ Cleveland, Ohio https://t.co/dPBOONMQgb",0.2
"#Repost @ajapopfilms
•  •  •  •  •
Ramses is an up and coming multi-disciplinary artist whom is also my finance. We made this video in between my Corona panic attacks. Please enjoy. @… https://t.co/UghgXpePOO",5.551115123125783e-17
"Do you remember all the plans you had for 2020? How’s it going so far?   
Do you wish you can skip 2020? 

.
.
.
.
.
#travel #artist #fashion #coronavirus #instagood #music #art #picoftheday #instagram… https://t.co/VDDDXn7zd8",0.4
"Did you know? FYI, especially during Corona-time Pandemic. #stretches #excercise #fitnessmotivation #feelbetter #covid19 #shelterinplace #quarantine @ Lower Haight, San Francisco https://t.co/SOSGPlzdxt",0.11666666666666665
"#ICYMI: ""I think people will appreciate each other more and be more aware of how we are all connected."" -- @heeeybattabatta, @ssletters &amp; @SSTimebank // @PhotoJonna 

READ MORE: https://t.co/fajkumP8dx

#SilverSpring #DTSS #COVID19 #Coronavirus https://t.co/sEzWrgUPLw",0.7749999999999999
"#Double #Rainbow through the #trees of #DavisCA, on the day that the original viral #doublerainbow guy, #YosemiteBear, passed away due to #COVID19. #YOLO @ West Davis, Davis https://t.co/1B1c3tN92g",-0.08333333333333333
"More COVID-19 cuisine for my followers. Take a can of albacore tuna (I prefer it in water, but if you like the kind in oil, go for it), open it up, drain the excess liquid/oil and put on a plate. Eat. Easy peasy.… https://t.co/caG68c510B",0.7
"Covid or not I still need my Musubi Mondays #maskon @ Irvine, California https://t.co/dXruBzC46R",0.0
"🇺🇲 p. @realdonaldtrump  claimed that anyone in the United who wants covid-19 test can get one voanews
➡️  know matter how hard the situation is, claimed yourself as the winner that's what @realdonaldtrump meant and… https://t.co/lZAJSn6DDP",0.0
"“FRAT BITCH” OFFICIAL MUSIC VIDEO OUT NOW, LINK IN BIO‼️👩🏽👩🏻‍🦰👩🏽‍🦱👱🏻‍♀️💞💞
.
.
.
.
.
.

#StevieBryant #TrapStarPrince #FratBitch #coronavirus #virus #MotionFlare #videography #video #2020 #explore #worldstar… https://t.co/VYorPUCeE6",0.0
"Open the damn gym already!!! 🤬🤬🤬
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#gym #gymtime #gymmotivation #covid_19 #corona #coronavirus #iam1stphorm #legionofboom #fit #fitness #fitfam #lift #lifting #health #healthy… https://t.co/lkGNxsxGW7",0.0
"Happy Birthday, to my NeNe!  I cherish the days that you stayed with me this past year. I wish the time never came to an end. But, you have more adventures to live and I love that about you.  Happy Covid Birthday!  I… https://t.co/66lSMzY3O0",0.0
Life in our #stayhome #coronavirus #strangedays. I discovered my dog Rennie likes @freearcadia more and more and more everyday. #mansbestfriend  Matt and I spend a lot of time gardening everyday even with his… https://t.co/BUVZL64EGx,0.0
"COVID-19 update @ Queens, New York https://t.co/NLNzpkIfhG",0.0
