tweet,location
We’ve tuned into #mansBestFriend. #Dogs #corona #covid19 @ Where Else? https://t.co/5GRnc9nUEU,Oregon
"Thank you Uncle Sam! The irsnews wasn’t playing out paying up this week. #irs #stimuluscheck #corona @ South Columbus, Groveport, Ohio https://t.co/24xZPiOQfQ",Ohio
Black Movies streaming during the Corona Pandemic  https://t.co/G833YhPVYP,New York
Black Movies streaming during the Corona Pandemic  https://t.co/6yk7vjbqjZ,New York
"I miss taking the undergrounds and subways of this world and look at un-pixelated people.

Picture by fabian.riediger 
Thank you, my Dortmunder Jung!

#underground #corona #newyork @ New York, New York https://t.co/zk3sMDSJml",New York
"Follow @DaddyDaughterTi for #DailyFunnies
👆🏾ClickFollow &amp;/or a “😂”👆🏾 
.
#bruh #1200 #coronacash #ronamoney #coronamoney #coronamemes #corona #donaldtrump #donaldtrumpmemes #tweets #tweet 
.
Upcoming Shows:
-They are… https://t.co/ytQRbpSDQx",District of Columbia
What defines your life // corona times  https://t.co/nRNlA1Mg0X,New York
"It's #Corona Time! @ IRS National Office, Washington DC https://t.co/jhPqrroYux",District of Columbia
"You know where i go when I’m dancing, handshakes in the Hampton’s not getting corona with youuuuuuu @ Hampton Beach, New Hampshire https://t.co/gHDl3IwOnx",New Hampshire
Corona NY Wed Apr 15th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,New York
"Flattening the curve!
.
.
.
#parkavenue #coronavirus #corona #virus #isolation #COVID19 #emptystreets #emptynyc #nycshutdown #quarantine #quarantinelife #staysafe #covid_19 #stayhome #quedateencasa #staypositive… https://t.co/XWcScKS0EM",New York
"Bruh 🤦🏽‍♂️ someone arrest this idiot out here spreading the corona 🤦🏽‍♂️😷 @ Miami Beach, Florida https://t.co/g7LecS1A0z",Florida
"#quarantine #atelier_crashcup. #studio #isolation #stayathome #corona #arts @ New Rochelle, New York https://t.co/YKwjncDBFB",New York
Are you praying for REVIVAL‼️ #bethechange #church #corona #covid #multiply #worship #pray #godisincontrol #hiswaysarenotourways #ministry #revival #family #life #change #christianity #everykneeshallbow… https://t.co/bU35POFObv,Texas
"#Good #Morning #NewYork #Disinfecting #Nyc #Grafitti #Ny #Slaps #freedom #Corona #Virus #K #Lysol #Art #Tunnel #Vision #ArtAddict #DavesHouseOfThrill #Stealth #Health #Wealth #TheUberShoppe @ New York, New York https://t.co/YysBS7nOSY",New York
"SHAMIRMUZIK ft KRIS PAYNE - 2Steppin

TBT: 🔥 #RealMusic #NYC #LI
“When we use to be able to hit the clubs without Corona..” 
yo joeymhz you had me lit on this one.. salute to exoticyesenia @shamirmuzik… https://t.co/8rsHJWZIVK",New York
"I join Mayor Brainard and strongly recommend that everyone, that means, EVERYONE, wear a mask when out-and-about.  Let’s Kick Corona’s Ass!
#Carmel #wearmasks #CarmelCares @ Carmel, Indiana https://t.co/bRmUGUCZYn",Indiana
"Due to the regulations from New Jersey regarding the Corona Virus. Go HERE &gt;&gt;&gt; https://t.co/0pq4HS3amH to see our sermons livestreamed, get connected or share a need with us. @ Beth… https://t.co/kocRNwNmqA",New Jersey
"Yessir Fly Shit Only, Loft Vibes This Friday!!! (Bring You Gas, Mask, &amp; Gloves) #SuperClean #InviteOnly #NoNewFriends #FemalesOnly #LoftParty #DJEazzyBankz @ Club Corona https://t.co/5jXHA3tHLg",Texas
"https://t.co/OqTHN8MvWY

Viral Disinfection kits Are In! 

EPA Approved - Effective Against Contagious Viral &amp; Bacterial Pathogens Including: Human Corona Virus, Influenza,  H1N1, SARS,… https://t.co/vF84gYGNdA",Florida
"Woke up this morning and found this on my bed (video coming later) Do to this corona the festivities 🥳 around the book drop is a little different. So I encourage you all mother, fathers,… https://t.co/E49MlBZmN8",District of Columbia
"Dates in the time of corona @ Henrietta, New York https://t.co/aTqFFzWqn2",New York
"🚨 Do you identify as a ""people-pleaser""?⁣ 😬
⁣
People-pleasing is as much of an epidemic as corona. It fuels #codependent patterns and compels self-abandonment. It's masked as care for others when actually it's a… https://t.co/uRuOsADNFW",California
Corona CA Wed Apr 15th AM Forecast: TODAY Mostly Sunny Hi 80 TONIGHT Mostly Clear Lo 51,California
My corona hair. #coronahair #coronadiaries #robordonez #nycactor #timeoutnewyork #artonlink @ Rob Ordonez Photography https://t.co/Sww2SBIUHU,New York
Corona hair. #coronahair #coronadiaries2020 #stayhome #quedateencasa #timeoutnewyork #artonlink @ Rob Ordonez Photography https://t.co/v8PcsPLm2m,New York
"Oh, yes! We had boxes of masks in our hurricane stash in our shelter!!!!! Amen! 🙏🏻👍🏻😷😷#instamasks #corona #coronavid19 #coronavairus #pandemic2020 #blessed #gratefulthankfulblessed #normaythedietdiva @ Indian Harbour… https://t.co/1tdRRT301U",Florida
"🥀corona know you're driving me crazy
#makeup #quarentena em Area 51 https://t.co/xrueXaohql",New Jersey
My grandma has corona.. she’s in the hospital and I called her to thank her for my birthday card and she sounded terrible...,Michigan
PC📸: corona_in_nyc for this great shot 👌 and #nyc #corona photography. || Starting the day right by feeding our #firstresponders first. ❤️🚑 Days are blending for us all but our #nyc #heros are #fighting just as hard… https://t.co/UYvPrKiVSL,New York
"#womencrushwednesday You all remember JEILYSA for Halloween? JEILYSA has gotten really bored so she came out with a song called ""LA Corona"" Enjoy! @ Miami Beach, Florida https://t.co/5M5DURUgUu",Florida
"Blu getting ready to do some essential shopping... CDC recommends wearing a mask it public.  Be a responsible hooman, stay healthy and safe. 
.
.
#bostonterrier #hooman #covid #corona #cdc @ Lees Summit, Missouri https://t.co/qES7B15qgZ",Missouri
"I am getting more #responses than I expected from second lot of mailing #survey. Probably because people have nothing to do due to corona virus pandemic. So, they are filling survey and sending it back to me. Thank ya’ll for those who participated! #OSUResearch #PhDResearch #OSU https://t.co/bGvtxoV7RG",Oklahoma
Who got that corona check i wanna see wha it looks.. @ New York https://t.co/hTUtYoEnfc,New York
"Investing during the Corona Virus Crisis – COVID-19

https://t.co/ZV3d1JAg9g

#investing #financialplanning #retirementplanning #financialadvising #recession #depression https://t.co/MyqWhCvQYh",Arizona
