tweet,location
"According to a recent update from ShowingTime, “The March ShowingTime Showing Index® recorded the first nationwide drop in showing traffic in eight months as communities responded to COVID-19. Early April data show… https://t.co/ma2DesAYrH",Florida
✨Post hours production🎶 (had to throw another at you 😜) The 2nd shot is for my hardcore fans 😂 P.S. @lacunakavabar is still serving to-go drinks during #corona 🥥 Can’t wait to play there again when we open up… https://t.co/oCEYquxvhR,Arizona
"Fresh flowers are definitely a mood changer! #Flowers #Roses #bright #coronavirus @ East Garfield Park, Chicago https://t.co/DEiLEwtrNI",Illinois
"According to a recent update from ShowingTime, “The March ShowingTime Showing Index® recorded the first nationwide drop in showing traffic in eight months as communities responded to COVID-19. Early April data show… https://t.co/KQKs7KAFUC",Florida
COVID-19 is Killing Nursing Home Residents Across L.A. County; Infection Control Violations Are to BlameJonathan Giovanazzi https://t.co/r44bUILQg5,New York
"Some of you may know, We went through some crazy stuff earlier this month and I was diagnosed with Covid-19. It was a very long 17 day battle with fevers, cough, shortness of breath, horrible headaches, GI issues,… https://t.co/QmJ6OwN88o",Georgia
Please join us later this week for a special COVID-19 video update! (time to be determined) We will be sharing with you our vision and plan for a safe opening of our restaurant at the Edmond Railyard as well as our… https://t.co/YXxrR3ns4A,Oklahoma
"The Thomas Jefferson Health District (TJHD) COVID19 dashboard is now online. (Thank you, Lloyd Snook.)

264 total cases 
59 total hospitalizations 
12 total deaths
66.7% of deaths were people 80+ years old

Analyze… https://t.co/bVe20M1D79",Virginia
"FEEDING AMERICA: COVID-19 SOLIDARITY RESPONSE FUND

The world is facing an unprecedented challenge with communities and economies everywhere affected by the growing COVID-19 pandemic . The world is coming together… https://t.co/4aV9VZQU4M",North Carolina
"It's surreal! 
Crowds in downtown Manhattan thinned last week as officials sounded alarms about the spread of the coronavirus.

#internet #coronavirustravel  #nyc #newyork #inkahustler #pointhustlers #ccpm #cc… https://t.co/mrkTAt4GdN",New York
"🤔🤔🤔 things that make you go hmmmm... 😂 #damn #coronavirus #tacotuesday #cincodemayo #twilightzone @ Long Beach, California https://t.co/0cC98r1LPi",California
"In the lab coming up with a master plan
  7 streams will be in place before 2021 comes.  Covid has changed my mindset but my grind is consistent.  Let me know if I can assist. 7044920069 @ QC INFO Broker https://t.co/g1mcEnMJA0",North Carolina
"This is a really good explanation of a complex topic that has scary words for some people, but just might save their lives!

“Coronavirus: How to Do Testing and Contact Tracing” by Tomas Pueyo...

https://t.co/sLgEAWNIs2",District of Columbia
IF YOU GUYS WANNA SEE THE CHAOS THAT UNFOLDED DOWNTOWN TONIGHT!! Swipe left! I spliced the whole video!! 😂😂🙌 Shit was crazy! #Covid #Corona2020 #CabinFever #PeopleGoinCrazy #DownTownLosAngeles #LA #Lapd #ShitGotReal… https://t.co/xSzkrVn92P,California
"Geena is a new nurse! God bless my cousin for the courageous and hard work she is doing at her first job, working in the Covid unit at Hackensack Hospital. Stay safe and thank you Cuz! xoxo @ Hackensack University… https://t.co/l9ls2mr0FI",New Jersey
"With the #world getting #ready to #open back up, we're #burning the #midnight #oil to make sure our #clients are taken care of.
As always, #discretion and #confidentiality are absolute #musts. 

#covid19… https://t.co/q26fRUWXSI",Pennsylvania
"It’s crazy when you think of how many of us can’t work right now because of covid regulations and how many others have been out there the whole time, working even harder then usual to keep things going for everyone!… https://t.co/23UX14pkGW",California
"#covid_19 #coronavirus #satan #foundonlinehadtoshare @ Bay Ridge, Brooklyn https://t.co/8lAPkkDZx0",New York
"The COVID-19 pandemic is the most interesting thing I have ever observed and experienced!

“Tradicion Del Suelo Mio”
THE NEW YORK CITY MARIACHI INC.®
Mariachi Master Apprentice Program &amp; Union 

-The New York City… https://t.co/ZurnuyBxhy",New York
Gallery Loupe has invited 40 Artists to respond to Covid-19. The result is an online exhibition of pendants inspired by the current pandemic. Welcome to have a look here: https://t.co/McoiCV59cb… https://t.co/9NDShR6Did,New Jersey
"The COVID-19 pandemic reminded us of how life was before vaccinations!

“Tradicion Del Suelo Mio”
THE NEW YORK CITY MARIACHI INC.®
Mariachi Master Apprentice Program &amp; Union 

-The New York City Mariachi School
-The… https://t.co/Imlt27UOiP",New York
"Explosive new Health Ranger presentation streams live May 15 - 16: The Depopulation Trifecta: Coronavirus, vaccines and 5G https://t.co/DJqBGCF6w1 https://t.co/uK3pUi5anS",California
Diabetes Can Increase Complications of COVID-19 https://t.co/GX0YjPKZAy https://t.co/aFZuk7BYRQ,California
The Black Doctors Covid 19 Consortium is showing up where are governments should be. More info and details on registering and qualifications for free testing can be found on @alastanford page. The Go Fund Me link is… https://t.co/L69eWMxIro,Pennsylvania
“We had church. Now we are being the church.” African Americans are being diagnosed at a disproportionately higher rate than other groups and are dying from coronavirus at a higher rate than other groups. To address… https://t.co/l08H7FKZ2s,Pennsylvania
#LateShowWithStephenColbert #JaredKushner #Coronavirus Stephen Colbert rips into Jared Kushner's attempt to spin 1 million coronavirus cases as 'a great story' https://t.co/qq93HvzhVV https://t.co/Pwnwv07J5L,Florida
My heart breaks for the family of this wonderful man Domingo Gonzaga Tlantenco who was such a dedicated  team players @cafebouludny for 10 years and we we lost him to COVID-19 this week and also my warm condolences… https://t.co/aPw4oKnQYw,New York
"#covid19 Closed our playgrounds and public parks. ⚫️ @ Miami, Florida https://t.co/vgLXaxfjIL",Florida
"Downtown San Antonio April 30th 2020
#Covid19 #quarantine #SanAntonio #Texas #DownTown #GhostTown #BlackandWhite #Epidemic @ Downtown San Antonio https://t.co/CC300XjBkT",Texas
"Good News! #Hallelujah
 https://t.co/iYiUf1Pl3L @ Los Angeles, California https://t.co/sARkcZCSQc",California
