tweet,location
We are going paperless/touchless during these Coronavirus times. These QR codes will be displayed at both locations. #crossfit #crossfitoahu #committedtocrossfit @ CrossFit Oahu https://t.co/OEKaK4OQKy,Hawaii
"New blog post is up now on our site from your cofounder sergiosvac 

Click the link in our bio to read now! #blog #pspoets #covid19 @ Los Angeles, California https://t.co/P69NH1bKOM",California
"https://t.co/q1bIRBjDj8 This post has local news on the coronavirus pandemic from Tuesday, July 7. If you have a news tip or question, email us at news@KUT.org . https://t.co/gFMKT88bOv #atx #austin #all512",Texas
"Found some of our social distancing our floor vinyls at McCully Shopping center. Stay safe.
•
•
•#proimagehawaii #floorvinyl #socialdistancingsignage #largeformatprinting #keephawaiisafe @ McCully Shopping Center https://t.co/seAdaevWQu",Hawaii
Mini getaway Covid edition !! ✌🏼☀️😎 #imagine #howmanydamnkids #family #tahoe2020 #goodtimes @ Harrah's &amp; Harveys Lake Tahoe https://t.co/pv3FwZ6Qe3,California
52 #Thoroughbred #Horses need rescuing in #Bakersfield #California Call Ashley #ASAP at 219-730-3876. Owner passed away from #Covid and son wants nothing to do with these poor helpless animals. All will be… https://t.co/1hUdf48giJ,California
"The City of Brownsville has released a Threat Matrix to provide a visual status of how the COVID-19 pandemic has affected the city.

The goal is to provide residents with recommendations to stay safe and lessen the… https://t.co/vZWfXIs8NA",Texas
I’d like to apologize for not practicing appropriate social distancing measures but this floof needed to be squished. #SorryNotSorry @ Ralph's Tavern https://t.co/RA0UY87DgB,Washington
"Monday, July 6th. Day 8. Left the campground in Montana, drove south through Idaho past Grand Teton before ending in Salt Lake City, hitting some breweries with solid COVID restrictions… https://t.co/adt8KK2k6U",Utah
"Van Gogh during COVID Season @ San Francisco, California https://t.co/nQOrVxseRE",California
"Uhhhhh yup.
.
.
#CoronaVirus #Covid19 #Excuses #MaskItOrCasket #WearAMask #DoIt #WhatYouSay #Vs #WhatIHear @ Cape Coral, Florida https://t.co/8NF0uXEXM2",Florida
"Quarantine 2020: Hipstamatic slideshow📸➡️ Summer life during covid with my little giants who will be starting 2nd grade in fall. Time flies when your having fun! July 7, 2020 in San Jose,… https://t.co/ieJiGPh10G",California
"Shelter in place day 111... welcome a new member to our family! Hello Dyson! #shelterinplace #sip #quarantine #day111 #dyson #airpurifier #humidifier @ San Francisco, California https://t.co/dCWnsejNLM",California
"Blading in a pandemic @ San Francisco, California https://t.co/ynpWkMHL0Y",California
"Pulln a load of hand sanitizer bitch"" ! ""YOUR WELCOME"" ! @ Port Of Long Beach HANJIN Pier-T Berths 132-140 https://t.co/0rXa2MRy0J",California
2020 has definitely been one of the roughest years in a while for me. I need a month long vacation to digest all this. Did I mention I’m sick of Covid today😏Y,Texas
"Since we are keeping each other safe by working at home, which as an organizational psychologist is kind of funny ironic because many of my clients were dying to work from home BC-19 (My short form for referring to… https://t.co/Arq1XW0sPv",California
"Corona nightlife. 
Lauren dress.
SHOP https://t.co/xJ1NAa3FMo @ The Setai, Miami Beach https://t.co/yFgRbdjSkx",Florida
On today’s episode of the Coronavirus Cooking Diaries I will be keeping it simple and give you the pure joy of a Strawberry Milkshake. Wouldn’t life be simpler if we could put all of our petty differences aside and… https://t.co/wyGkokv71A,New York
"2020 Coronavirus House Arrest Day 114 - Another scorcher in SoCal... and still fireworks going off at night! With the bar officially open until we are free to fully roam uninhibited, tonight's elixir (compliments of… https://t.co/sbDtmncUaS",California
"I’m so happy we got to finish the film ‘12 Hours’ today.  We had started and were so close to finishing before the whole pandemic hit. But....

WHERE THERE’S A WILL, THERE’S A WAY.  

Thanks you to these amazingly… https://t.co/ChEIMwVnMF",California
"Read my new #flashfiction story at the link here:
https://t.co/ud1igEtT5q #MissJennWebster #birthday #pandemic #story @ Felton, Delaware https://t.co/Mhpl3q67l9",Delaware
"How was your 4th of July? 

This is how ours started...🌄  

Artist: @projectesounds 
-#corona #coronavirus #stopthespread 
#4thofjuly #4thofjuly2020 #socialdistancing2020 
#2020 #stayhealthy #staysafe #lovemusic… https://t.co/qnpULMyYlC",California
