tweet,location
"Keyboard jockey!
I support you / Yo te apoyo.
•
Do you really support me? 
”You are tolerant, you are not racist, you fight for our rights, and you want to change things” Show me!
🔥
#IcantBreathe #Quarentine #Covid19… https://t.co/PgOs2bkGHx",Washington
"Kore and Kendra hate Covid. Love Dill pickle chips. @ Charlestown Waterfront, Boston https://t.co/4iKM2vPlfb",Massachusetts
Help Onyahsa weather the Covid Crisis. We don't have Spiro or Nursie here anymore: https://t.co/yBVoc0eWpi @ YMCA Camp Onyahsa https://t.co/Z6zBSJn2gK,New York
"This condo is located in the community where I purchased my first condo! 
I’m honored to have sold another condo in the Altair community for over asking price with a 17 day escrow during COVID-19! @ Santee, California https://t.co/lnHSEkghlP",California
"Covid threw a weird wrench into the usual way we would celebrate special days. So I took it upon myself to cook you a special dinner for your birthday! Happy 33rd birthday hubby! 🥰🥰🥰 @ San Francisco, California https://t.co/gYpzj62B4B",California
"Making plain black masks, available for preorder. https://t.co/suvt5eDfOW #topheradam #imafoolishmortalstore #covidmask @ Paradise, Nevada https://t.co/c4Kh2knLxG",Nevada
"The past few months have been extremely busy with New York being the epicenter of the Covid-19 outbreak in the US. Early on, PavLyfe started a fundraiser, which raised nearly $5000. The funds were used to provide… https://t.co/UDwVu7YNwk",New York
Getting some work in today and helping prep the next generation. Good job luccaalmao 💪🏽🥍 #lacrosse #lacrosseplayer #laxlife #quarantine #covid_19 #athlete #trainhard #workhard #keepgrinding #multisportathlete… https://t.co/qLtTNm4BdV,California
Apple and COVID-19 drive QR code innovation https://t.co/RTbABgFw0L,Illinois
Sleepin thru dat pandemic like... 😴 @ Reseda https://t.co/WSQ7bCYuES,California
"#SantaAna COVID-19 Update, June 9: Same amount of new cases as yesterday, 24. The last 3 days have been relatively lower compared to previous weeks. Estimated Santa Ana recoveries: 674. #OCCOVID19 https://t.co/986pDtng1j",California
"69redebt69 #selfmodeartz beyonce fettylucianogs9 #namastebitches @Photo_Grid_ ninetysixredd famousdex #blacklivesmatter #covid19 #vogue #voguemagazine @ New York, New York https://t.co/CdeuwYXbGy",New York
