,tweet,sentiment,tweet,location
0,🧟‍♂️ Man! Y’all play too much!! 😩😂 I’m still going to watch it tho! 😂 ••• #TAG SUM1 THAT LOVE ZOMBIES!  🧟‍♂️ #corona #virus #zombies #horror #ron #covid19 #usa #sickpeople #film #pressplay #somebodycomelookatthis… https://t.co/5Fn3PfIKsD,0.5078125,🧟‍♂️ Man! Y’all play too much!! 😩😂 I’m still going to watch it tho! 😂 ••• #TAG SUM1 THAT LOVE ZOMBIES!  🧟‍♂️ #corona #virus #zombies #horror #ron #covid19 #usa #sickpeople #film #pressplay #somebodycomelookatthis… https://t.co/5Fn3PfIKsD,New York
1,Spending quarantine time the same way I spend every day...except I’m never alone now. #princessblue #bluedognotabulldog #blueheelersofinstagram #blueheeler #heelersofinstagram #browneyedbluedog #covid #corona… https://t.co/3clUfvIr5K,0.0,Spending quarantine time the same way I spend every day...except I’m never alone now. #princessblue #bluedognotabulldog #blueheelersofinstagram #blueheeler #heelersofinstagram #browneyedbluedog #covid #corona… https://t.co/3clUfvIr5K,Arizona
2,"Shetas custom Corona Virus masks get em before Corona gets you. @ Jersey City, New Jersey https://t.co/eooIsONnzs",0.13636363636363635,"Shetas custom Corona Virus masks get em before Corona gets you. @ Jersey City, New Jersey https://t.co/eooIsONnzs",New Jersey
3,"When you have to postpone your wedding to 2021 because of corona but looking so fly while doing it 😎 

That said: it was not an easy decision to make. @nikfranklehrer and I spent countless hours of watching the… https://t.co/QeqO8RwLTa",0.2833333333333333,"When you have to postpone your wedding to 2021 because of corona but looking so fly while doing it 😎 

That said: it was not an easy decision to make. @nikfranklehrer and I spent countless hours of watching the… https://t.co/QeqO8RwLTa",California
4,Opening day after since our Corona surfing ban. It felt so good to be back… https://t.co/QlP44hGWeA,0.35,Opening day after since our Corona surfing ban. It felt so good to be back… https://t.co/QlP44hGWeA,California
5,"I CORONA I AINT SHIT PRESS PLAY...JOEY DIXON PRODUCTIONS! @ Paradise Hills, San Diego https://t.co/sbbimQ4hTK",-0.25,"I CORONA I AINT SHIT PRESS PLAY...JOEY DIXON PRODUCTIONS! @ Paradise Hills, San Diego https://t.co/sbbimQ4hTK",California
6,"Some new music in the works!! Clouding my mind!! Coming soon.... #hiphop #BigLegion #cloudingmymind #rap #poetry #westcoast #coronacalifornia #california #southerncalifornia @ Corona, California https://t.co/GGB8nTphkM",0.33291903409090906,"Some new music in the works!! Clouding my mind!! Coming soon.... #hiphop #BigLegion #cloudingmymind #rap #poetry #westcoast #coronacalifornia #california #southerncalifornia @ Corona, California https://t.co/GGB8nTphkM",California
7,"Corona has GOT ME OVER IT🗣 @ Philadelphia, Pennsylvania https://t.co/R43hUlf8Ja",0.0,"Corona has GOT ME OVER IT🗣 @ Philadelphia, Pennsylvania https://t.co/R43hUlf8Ja",Pennsylvania
8,"EPA Approved - Effective Against Contagious Viral &amp; Bacterial Pathogens Including: Human Corona Virus, Influenza,  H1N1, SARS, Adenovirus Type 4

How it works: The Defender uses Nano-Spear technology. Picture 15,000… https://t.co/FGII3yFT0b",0.3,"EPA Approved - Effective Against Contagious Viral &amp; Bacterial Pathogens Including: Human Corona Virus, Influenza,  H1N1, SARS, Adenovirus Type 4

How it works: The Defender uses Nano-Spear technology. Picture 15,000… https://t.co/FGII3yFT0b",Florida
9,Best part of waking up! #blacklistbjj #breakfastclub #socialdistancing #Corona @ Blacklist Martial Arts &amp; Fitness https://t.co/KA06oCIN6i,0.5,Best part of waking up! #blacklistbjj #breakfastclub #socialdistancing #Corona @ Blacklist Martial Arts &amp; Fitness https://t.co/KA06oCIN6i,Louisiana
10,"#light. #smalljoys #isolation #corona #pleasure #color #quotidian #morniing @ New Rochelle, New York https://t.co/6nTzDrYZ0N",0.22424242424242424,"#light. #smalljoys #isolation #corona #pleasure #color #quotidian #morniing @ New Rochelle, New York https://t.co/6nTzDrYZ0N",New York
11,Corona got me sippin ugh @ Moscato Land https://t.co/YZaay22NJo,0.0,Corona got me sippin ugh @ Moscato Land https://t.co/YZaay22NJo,New York
12,"@MYWHIMSICLE 4 life ! Day 2 of documenting no hair cut/ shape up ! 🖕🏾 #corona ! @ Philadelphia, Pennsylvania https://t.co/XcMU76RIgr",0.0,"@MYWHIMSICLE 4 life ! Day 2 of documenting no hair cut/ shape up ! 🖕🏾 #corona ! @ Philadelphia, Pennsylvania https://t.co/XcMU76RIgr",Pennsylvania
13,Corona NY Fri Apr 17th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,0.5,Corona NY Fri Apr 17th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,New York
14,"Most folks only know half the story...
.
Of how the Corona Virus is effecting our economic markets -
.
Our real estate markets.
.
Visit our FB Page @CodeMarkFin to catch up on the videos you have missed about… https://t.co/CTRaAV7bLA",0.14666666666666667,"Most folks only know half the story...
.
Of how the Corona Virus is effecting our economic markets -
.
Our real estate markets.
.
Visit our FB Page @CodeMarkFin to catch up on the videos you have missed about… https://t.co/CTRaAV7bLA",Texas
15,Keep moving forward and smiling. 😁 #pictureoftheday #fridayfeeling #designdistrict #miami #mood #tbt #corona #covid #covid19 #livmor #realtorsofinstagram #closingdealsinheels #ysl @ Miami Design District https://t.co/Qn0eEO8qol,0.0,Keep moving forward and smiling. 😁 #pictureoftheday #fridayfeeling #designdistrict #miami #mood #tbt #corona #covid #covid19 #livmor #realtorsofinstagram #closingdealsinheels #ysl @ Miami Design District https://t.co/Qn0eEO8qol,Florida
16,"One of my friends recently had a medical scare with her husband.
.
On February 13th, her husband was admitted to West Virginia University Medical Center.  He had viral pneumonia from Corona Virus HKU1.( NOT… https://t.co/pmB5lWtPGj",-0.02,"One of my friends recently had a medical scare with her husband.
.
On February 13th, her husband was admitted to West Virginia University Medical Center.  He had viral pneumonia from Corona Virus HKU1.( NOT… https://t.co/pmB5lWtPGj",Illinois
17,"Moms!! We got this! 💪🏻
Tag a mom
Comment with 💗 if you're a mom
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#corona #coronavirus #momsofig #covid19 #westpalmbeach #blogger #mompreneur #quarantine #lockdown #florida… https://t.co/Mc7j9YVW1m",0.0,"Moms!! We got this! 💪🏻
Tag a mom
Comment with 💗 if you're a mom
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#corona #coronavirus #momsofig #covid19 #westpalmbeach #blogger #mompreneur #quarantine #lockdown #florida… https://t.co/Mc7j9YVW1m",Florida
18,"I don’t know who needs to hear this, but today is Friday. #corona #groundhogday
•
•
•
❤️Two ways to shop my look❤️
1. Download the https://t.co/vxGsXT1jt1 app (it’s FREE) and search for AFASHIONFIX
2. Click on the link in my… https://t.co/X5FTKy7wM7",0.4,"I don’t know who needs to hear this, but today is Friday. #corona #groundhogday
•
•
•
❤️Two ways to shop my look❤️
1. Download the https://t.co/vxGsXT1jt1 app (it’s FREE) and search for AFASHIONFIX
2. Click on the link in my… https://t.co/X5FTKy7wM7",Tennessee
19,"That moment you put on jeans instead of sweatpants and you're not sure if it'll fit....it did. I passed it. 

Happy Frisolation day. 

#covid19 #corona #ronisterin #gainingweight #livingontheedge @ Cooper City,… https://t.co/7XdzFazsaP",0.275,"That moment you put on jeans instead of sweatpants and you're not sure if it'll fit....it did. I passed it. 

Happy Frisolation day. 

#covid19 #corona #ronisterin #gainingweight #livingontheedge @ Cooper City,… https://t.co/7XdzFazsaP",Florida
20,The Day #Corona Started! 😩😷 #Corona #Covid1 #Rona @ Alabama https://t.co/HcwgpnQjch,0.0,The Day #Corona Started! 😩😷 #Corona #Covid1 #Rona @ Alabama https://t.co/HcwgpnQjch,Alabama
