,tweet,location,Unnamed: 0,Province_State,Confirmed
0,"Corona Virus is here! #coronavirus #selfisolation #covod19 #here #funny #lol @ Texarkana, Texas https://t.co/KFqcCnSED0",Texas,49,Texas,18704
1,"To the students that supported us during the Covid-19, you are all SUPER HEROES. 

You are the best part of our GYM and culture.

We look forward to seeing you back at your home away from home! @ Dominion MMA https://t.co/LJK9L6oqAp",Texas,49,Texas,18704
2,"Bored Corona food with perpetuallydirtyhands 

2 pound cheese burger with homemade Japanese milk bread bun. @ Barton Hills, Austin, Texas https://t.co/4CKgQ7HmuO",Texas,49,Texas,18704
3,"#COVIDLOOK cute and responsible!

#coronavirus #covid #covid19 #mask #fridaynight #wine #westcampus #UT #dog #furcoat #orangemarket #newnormal @ Orange Market https://t.co/i4eMWt0ukI",Texas,49,Texas,18704
4,"Need more nights out. Gtfo covid-19 @ Arlington, Texas https://t.co/bu4UFfWYAr",Texas,49,Texas,18704
5,"I was supposed to be in Italy with Ma when COVID hit, then NYC. Well, an Italy trip was in order. Italy, TX.:) @ Italy, Texas https://t.co/uMaL36QsGh",Texas,49,Texas,18704
6,"Me: ""Lemme in, lemme in!""
Hooters: "" No way, Corona breath!""
Sure miss my office hours at hooterswebster.
#hooterstv #hootersnasa #hooterstexas #hooters #hootersmakesyouhappy hooterswebster hooters_nasa @ Hooters https://t.co/3VLlx0rl0y",Texas,49,Texas,18704
7,"Pre-quarantine days. 
.
.
.
#stayhome #washyourhands #socialdistancing #houston #covid #quarantine #photography #quarentinephotography #stopthespread @ Houston, Texas https://t.co/9JXhuXD5Ui",Texas,49,Texas,18704
8,"Pre-quarantine days. 
.
.
.
#stayhome #washyourhands #socialdistancing #houston #covid #quarantine #photography #quarentinephotography #stopthespread @ Houston, Texas https://t.co/Ffd8QoAJKW",Texas,49,Texas,18704
9,"Pre-quarantine days. 
.
.
.
#stayhome #washyourhands #socialdistancing #houston #covid #quarantine #photography #quarentinephotography #stopthespread @ Houston, Texas https://t.co/QLl9g4bXzz",Texas,49,Texas,18704
10,We'll be updating this story throughout the day Friday with the latest local news on the coronavirus pandemic. If you'd like to go through a roundup of https://t.co/pkGwMNyaMJ #atx #austin #all512,Texas,49,Texas,18704
11,"Lockdown mix
#Coronavirus @ Texarkana, Texas https://t.co/EkEItM7c2l",Texas,49,Texas,18704
12,stayhomepage @MarieDennise #spaday #nails #hairstyles #lashes #covid westuniversitymoms houstoncity houstonmayor #saveme @ Houston Medical Wellness Clinic https://t.co/p7d1ZB9y56,Texas,49,Texas,18704
13,Austin public health officials say they're finalizing an online public enrollment form for COVID-19 testing that's slated to launch next week. https://t.co/FwXpeGYOxE #atx #austin #all512,Texas,49,Texas,18704
14,"#Corona #Covid19 #coronavirus  #wjmg @ West Columbus, Columbus https://t.co/O3RIlVjdp1",Ohio,40,Ohio,10222
15,"#ThisOldHippieHouse Look at that Shine! This is what Good Primer job does! Left pic primer... Right is paint
#2Hippies doing #2HippiesRenovations during #Covid19 #SelfIsolation #SocialDistancing @ Youngstown, Ohio https://t.co/6d8bRTVxiu",Ohio,40,Ohio,10222
16,"Rona canceled my vacation. Hoping for Buckeye Football season. I miss hugs. Thanks for listening.

#GoBucks #covid19 @ Ohio Statehouse https://t.co/HJwMBQ0zw0",Ohio,40,Ohio,10222
17,This is how we doin it at Asian supermarkets now. Everyone complied happily. #coronavirus #itsgettingreal #cleveland #ohio @ CAM International Market - Cleveland https://t.co/iEKqmbihwX,Ohio,40,Ohio,10222
18,"COVID-19 update @ Queens, New York https://t.co/tZsT5VUD3t",New York,36,New York,241712
19,"COVID-19 update @ New York, New York https://t.co/BmhgGj8EfD",New York,36,New York,241712
20,"#strength #cardio #corona #resistancebandsworkout #afro #house #indoors #fun #challenge #20 #wellnesscoach @ New York, New York https://t.co/r91Or5is1e",New York,36,New York,241712
21,"Wet end of nuther Corona week  bitches! (@ Linden Yard Fleet Operations in Brooklyn, NY) https://t.co/Yjg0Qds8Zk",New York,36,New York,241712
22,"The Coronavirus Diaries, Day 37: Ronald Kelly - Guest Post  https://t.co/wIqDemdfUE",New York,36,New York,241712
23,Corona NY Sat Apr 18th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,New York,36,New York,241712
24,"With the COVID-19 pandemic, many families are finding  themselves in unusually flexible working arrangements which are calling us to question the idea of work-life balance as once thought. I explore this in my recent @WSJopinion piece. https://t.co/tOvDuY1YMH https://t.co/nCFPSyecMn",New York,36,New York,241712
25,"Found a tick crawling on me yesterday and now this! #snow #tickseason #WTF #COVID #quarantine #hudsonvalley @ Kerhonkson, New York https://t.co/iD9qbFYVJN",New York,36,New York,241712
26,"#govrondesantis #florida #floridamorons #trump #coronavirus #COVID19 #jaws #jawsmovie @ New York, New York https://t.co/5tZbsM2LqZ",New York,36,New York,241712
27,"Delivering groceries to our fellow out of work tv/film industry freelancers. #quarantine #covid19 #shotoniphone #feedthefreelancers @ Brooklyn, New York https://t.co/1ATxf7OpBO",New York,36,New York,241712
28,"Bruce is having a...ruff time in quarantine
.
.
.
.
.
@LoniWellman schnauzer_lovestyle #schnauzer #schnoodle #grooming #covid #essential #salon #hair #doggrooming @ Rochester, New York https://t.co/ZsnkJn9yal",New York,36,New York,241712
29,"Thank you guardian for giving me a voice during this crisis. Link in my bio. 
#nursessavelives #rn #newyork #covid19 #staysafe #stayhome @ Brooklyn, New York https://t.co/v8rNlPy9b5",New York,36,New York,241712
30,1. CLICK or CALL for COVID TEST REQUEST  https://t.co/xp8TU3qnT4,New York,36,New York,241712
31,When you want your truck #corona clean @ The Peneno Compound https://t.co/gD087VglRz,New York,36,New York,241712
32,"Corona Quarantine Cake! YUM! @ New York, New York https://t.co/Iuq7gYA4E6",New York,36,New York,241712
33,"Reposted from @digitam Mask Making in the Time of Corona
#coronavirusmask #masks4all #KingsCountyFiberFestival Saturday October 10th in Brooklyn   - #regrann @ Brooklyn, New York https://t.co/u6gtEtXMFi",New York,36,New York,241712
34,"COVID-19 update???
Keyclean Laundromat Inc.
Hollis, NY 11423
https://t.co/zKDhBd4tnY @ Queens, New York https://t.co/FiLdrpXjgT",New York,36,New York,241712
35,Corona NY Sat Apr 18th PM Forecast: TONIGHT Partly Cloudy Lo 31 SATURDAY Sunny Hi 41,New York,36,New York,241712
36,"Next Generation Of COVID-19 Virus Tests Could Get Faster And Cheaper With CRISPR : Shots - Health News : NPR
https://t.co/xFOjp2ptxt",New York,36,New York,241712
37,I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #TogetherAtHome : https://t.co/qulc8BI499,New York,36,New York,241712
38,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #TogetherAtHome : https://t.co/W1MUSV6j1j,New York,36,New York,241712
39,"COVID-19 update 
 Me liquor and about landlord does not mix But I do want a mixed drink @ Liquor World Inc https://t.co/3mOSyboter",New York,36,New York,241712
40,"NYC, 7pm
#lifeinquarantine #coronavirus #thankyoumedicalprofessionals @ Washington Heights, Manhattan https://t.co/V2YNBhU5ja",New York,36,New York,241712
41,I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #TogetherAtHome : https://t.co/zJWpzAIFzK,New York,36,New York,241712
42,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #TogetherAtHome : https://t.co/TrSwuaiAOe,New York,36,New York,241712
43,"I saw someone compare Sweden's infection and death rates to New York City in an attempt to talk bad about Andrew Cuomo. That's just stupid. 9 million people in 300 sq. mi. vs 10 million in 173,000 sq. mi. I now know why my mom sent me to private school. #COVID19",New York,36,New York,241712
44,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #TogetherAtHome : https://t.co/xmsuecrlVR,New York,36,New York,241712
45,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #TogetherAtHome : https://t.co/2FxM5OgExg,New York,36,New York,241712
46,I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #TogetherAtHome : https://t.co/K8RZvmHgT9,New York,36,New York,241712
47,I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #TogetherAtHome : https://t.co/cY2mje6qEg,New York,36,New York,241712
48,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #TogetherAtHome : https://t.co/6UHwegToSC,New York,36,New York,241712
49,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #TogetherAtHome : https://t.co/BQULI4K8Et,New York,36,New York,241712
50,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #TogetherAtHome : https://t.co/0fxukLc9l0,New York,36,New York,241712
51,I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #TogetherAtHome : https://t.co/221b9uRZYq,New York,36,New York,241712
52,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #TogetherAtHome : https://t.co/VYJIqG5We3,New York,36,New York,241712
53,I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #TogetherAtHome : https://t.co/YSLBQ7OgV2,New York,36,New York,241712
54,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #TogetherAtHome : https://t.co/CUwdST3Dnb,New York,36,New York,241712
55,"Home made #sushi night with meredithstrickonmoses #covid #confinement #freshfish #foodporn #cooking #foodstagram #instafood @ Port Washington, New York https://t.co/DtQsHzfGmo",New York,36,New York,241712
56,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #TogetherAtHome : https://t.co/tBlawWhYMf,New York,36,New York,241712
57,"Into the belly of the Beast.. Governor Cuomo should just get me an Police escort. Full trailer of Covid-19 Emergency Relief Medical Supplies are here. @ New York, New York https://t.co/tQCZqRl78T",New York,36,New York,241712
