,tweet,location,Unnamed: 0,Province_State,Confirmed
0,Went to a private viewing of the #cybertruck  Today turnout to be the last day to see it before the lockdown. Had a nice time geeking it-up with some of the other Tesla enthusiasts. The… https://t.co/gKEvPXO0D6,California,5,California,246550
1,"Some lowrider in San Diego back in Feb before covid, shot on film , #kodakportra800 kodak @kodak_shootfilm @ San Diego, Balboa Park https://t.co/Cf0liGyF3u",California,5,California,246550
2,"Pre-lockdown throwback: EVERCLEAR + HYDRA MELODY + FRITZ MONTANA in 2015!
Please help, so shows like this can return once this is over:
https://t.co/UAgVRJ1KpR
https://t.co/FG6NbXnzpZ - Delivering pizza and cocktails!

#dnalounge #everclear #hydramelody #fritzmontana... https://t.co/eSwNpn4sKE",California,5,California,246550
3,"Thank you @aidshealthcare for my meds keeping me alive during this #pandemic and allowing me taking care of myself always! &amp; looking out for me. I already lost my jobs, so here’s to standing up for one another.… https://t.co/xIGPo6i2h3",California,5,California,246550
4,Current visual #quarantine mood by oscar.oiwa . Although the current song on my mind: “I Want to Break Free” by Queen.... #quarantinelife #quarantineandchill @ USC Pacific Asia Museum https://t.co/8RvrIXh88e,California,5,California,246550
5,"Now that we are adjusting world wide to this COVID-19 epidemic 😷 I am starting to see how different fitwear, streetwear and jewelry companies do business. Some have my order ready to ship within days. Some… https://t.co/1SiQn0DseB",California,5,California,246550
6,"If I can wear this while defending the planet, people can wear a mask while doing your grocery run. 
#wearamask #covid19 #pandemic #weareinthistogether #mask #mybrotherskeeper #powerrangers #beetleborgs @ Los… https://t.co/uofuzkTRB3",California,5,California,246550
7,The Los Angeles Lakers Return To Their First Official Practice since the Global Pandemic Shutdown by Rob Parks Jr. https://t.co/FBZWiWUver,California,5,California,246550
8,Is the Health Crisis Driving Buyers Out of Urban Areas?: The pandemic has caused consumers to re-examine the components that make up the “perfect home.” Many families are no longer comfortable with the locations and layouts of their existing homes. The… https://t.co/DyJ1AVgplG https://t.co/KLagVVEEtg,California,5,California,246550
9,"“Nurses at a hospital doing #covid testing became suspicious when all the tests were coming back positive. They sent to test with unused swabs and they came back positive. Nurses use fake names, sent 10 unused swabs… https://t.co/74YPgwRBsb",California,5,California,246550
10,"Clearly I’m craving live music these days. 🎶😉 #ThingsWeMiss #Covid #TeamDL #DanielLissing #music #livemusic #guitar #livemusicphotography #tbt #throwbackthursday (📷: @janettemsu) @ Solvang, California https://t.co/5JLpEqWn5z",California,5,California,246550
11,July 10th 9pm I will be performing in LA at the Rose Bowl Stadium. It’s a Covid safe Drive In stand-up show. Get your tickets now (one ticket per car) link in bio. @tribeca comedydynamics @ Rose Bowl Stadium https://t.co/p3RRiOjZgZ,California,5,California,246550
12,The pandemic has caused consumers to re-examine the components that make up the “perfect home.” Many families are no longer comfortable with the locations and layouts of their existing homes. The allure of city life… https://t.co/WImkIvV2w1,California,5,California,246550
13,"4th of July Essentials🇺🇸I presented on KTLA5.  Full video up on my website, and more on my stories. Work from home life is getting easier. 
❤️🇺🇸💙
#myskineez #quepasafoods #olayregenerist #ktla5 #boxedwater… https://t.co/d4bvFQFrC9",California,5,California,246550
14,*sigh* 🤦🏼‍♂️ https://t.co/qdKwuHJvLb,California,5,California,246550
