,tweet,sentiment,tweet,location
0,"Another Friday night  out with my guy. Bucky decided to join his grandparents. Staying safe at home,  always practicing Social Distancing. @ Covina Hills https://t.co/rNSCVA7bjd",0.26666666666666666,"Another Friday night  out with my guy. Bucky decided to join his grandparents. Staying safe at home,  always practicing Social Distancing. @ Covina Hills https://t.co/rNSCVA7bjd",California
1,"Social Distancing Photography
Tales about a Pandemic coming soon!

#photoshoot for our new advertising #billboard 
Stay tuned! We will be doing some #giveaways for #southflorida 

#conchasolutions #Covid19… https://t.co/Nd6sJpX4rI",0.10606060606060604,"Social Distancing Photography
Tales about a Pandemic coming soon!

#photoshoot for our new advertising #billboard 
Stay tuned! We will be doing some #giveaways for #southflorida 

#conchasolutions #Covid19… https://t.co/Nd6sJpX4rI",Florida
2,Drinking a Livin Covid-a Loca by @YakimaCraftBrew @ Craiglandia — https://t.co/2iyULyg7au,0.0,Drinking a Livin Covid-a Loca by @YakimaCraftBrew @ Craiglandia — https://t.co/2iyULyg7au,Oregon
3,"#fbf To a pre-covid wedding where I had a blast doing some DJ - Sax jams. Been working on  new songs and can’t wait to do this again in the future! #weddingdj #jam #dance #uptownfunk #sandiegodj @ San Diego, California https://t.co/GnklMZRVAg",0.2,"#fbf To a pre-covid wedding where I had a blast doing some DJ - Sax jams. Been working on  new songs and can’t wait to do this again in the future! #weddingdj #jam #dance #uptownfunk #sandiegodj @ San Diego, California https://t.co/GnklMZRVAg",California
4,"#socialdistancing #2020                                        Go buy a Jeep!                      #mesquitenevada @ Mesquite, Nevada https://t.co/THXx4HNoLw",0.0,"#socialdistancing #2020                                        Go buy a Jeep!                      #mesquitenevada @ Mesquite, Nevada https://t.co/THXx4HNoLw",Nevada
5,"Continuing to support local businesses, I drove to Berchman’s Brewing Company this evening which, sadly, is closing their downtown Yakima taproom at the end of July due to the pandemic 😞 and I purchased a grunt… https://t.co/dZWHazqmLL",0.0,"Continuing to support local businesses, I drove to Berchman’s Brewing Company this evening which, sadly, is closing their downtown Yakima taproom at the end of July due to the pandemic 😞 and I purchased a grunt… https://t.co/dZWHazqmLL",Washington
6,"Big Sky- the cure for the cluttered COVID world #nofilter @ Marfa, Texas https://t.co/rPzSxemOOP",0.0,"Big Sky- the cure for the cluttered COVID world #nofilter @ Marfa, Texas https://t.co/rPzSxemOOP",Texas
7,"Last night, jing_lasvegas was a fun night, waiters bartenders and managers where all wearing masks. There was social distancing at the tables and the bar. It was not yam packed and seating limitations where observed.… https://t.co/iw9nl1W428",0.0,"Last night, jing_lasvegas was a fun night, waiters bartenders and managers where all wearing masks. There was social distancing at the tables and the bar. It was not yam packed and seating limitations where observed.… https://t.co/iw9nl1W428",Nevada
8,"Black Oak Trail Landscape 22
~  a lovely social distancing walk ~
~
~
#landscapelovers #landscapelover #californianativelandscape #californianativeplants #blackoaktrail #blackoaktrailloop #kennedygrove… https://t.co/lQqqyQc8rY",0.6125,"Black Oak Trail Landscape 22
~  a lovely social distancing walk ~
~
~
#landscapelovers #landscapelover #californianativelandscape #californianativeplants #blackoaktrail #blackoaktrailloop #kennedygrove… https://t.co/lQqqyQc8rY",California
9,"With mask on...he had a great day with his cousins. We stayed 6ft away from everybody else and hand sanitized errthing!

#staysafe #summertime #fun #summer #family #love #blessed #july #quarantine #fortnite #party… https://t.co/klDv1ulH9R",0.12222222222222225,"With mask on...he had a great day with his cousins. We stayed 6ft away from everybody else and hand sanitized errthing!

#staysafe #summertime #fun #summer #family #love #blessed #july #quarantine #fortnite #party… https://t.co/klDv1ulH9R",Georgia
