,tweet,location,Unnamed: 0,Province_State,Confirmed
0,"Trump numbers for Covid19, worse in the world. Cuz, he doesn’t care about people. @ White House, Washington DC https://t.co/cvmWaKgOPz",District of Columbia,10,District of Columbia,9389
1,"Scotland and Northern Ireland report no new coronavirus deaths for first time since lockdown began... BECAUSE LOCKDOWNS WORK!
 https://t.co/Y6Ob0pkAdS",District of Columbia,10,District of Columbia,9389
2,"If you believe in the work we are doing here at The GHOST Project and you would like to let the world know, then today is your lucky day because we are looking for volunteer testimonials to appear during our ""Covid… https://t.co/P259NS0dYe",District of Columbia,10,District of Columbia,9389
3,"Demand change! Legislation, #JusticeForAll #WeAreOnTheSameTeam You have been divided by #DictatorTrump #ResignTrump @realDonaldTrump is killing us! #EconomicPandemic, #Covid19, #RacialPsndemic #TrumpIsTheVirus.… https://t.co/1Qx8Lk0ivG",District of Columbia,10,District of Columbia,9389
4,"It’s a beautiful Monday, which means it’s perfect weather for a live Covid Concert with @jazztothebone tonight from 6-7pm over on our Facebook page! Join us! @ Mr. Henry's https://t.co/h9yMY9lZ5v",District of Columbia,10,District of Columbia,9389
5,A message to our customers: It is with great sadness that I announce the closure of Stella*s PopKern. Covid-19 has crippled my business. We thank all of our awesome customers for your love &amp; support these last 8.5… https://t.co/eKd3NSeqwc,District of Columbia,10,District of Columbia,9389
6,"Psychopathic traits linked to non-compliance with #SocialDistancing guidelines amid the #SARSCoV2 #Coronavirus #COVID19 #Pandemic!

That explains why it's only #AllRepublicans… #RepublicansArePsychopaths!

 https://t.co/kDIGJ08s5R #Psychology #PsychoTrump #ReopeningIsMurder",District of Columbia,10,District of Columbia,9389
7,"#Coronavirus #Lockdowns prevented 60M infections in US. Travel restrictions, business and school closures, shelter-in-place orders and other non-pharmaceutical interventions averted 530 million infections across 6 countries in the period ending April 6.

https://t.co/2jFQb8dY5c",District of Columbia,10,District of Columbia,9389
8,We pray for his quick healing. #ChiefRabbi #Russia #Lazar  https://t.co/sOZpuCsAPi,District of Columbia,10,District of Columbia,9389
9,"I’ve taken so many #photos over the last few months. I have no idea what my focus or next move should be. Between the #coronavirus, #demonstrations and the look of Washington,  D.C. like I’ve never seen it. I have… https://t.co/tu7VmXbpt5",District of Columbia,10,District of Columbia,9389
10,✊🏻✊🏼✊🏽#BLM #Pandemic @ Black Lives Matter Plaza https://t.co/EETMYreBdc,District of Columbia,10,District of Columbia,9389
11,"We have a gold dust gecko in the garden and he/ she loves bananas- feeding time will be the same time every day- see how long he/ she sticks around! I’m thinking up a gecko painting to come.
#covid19 #covidfun #gecko… https://t.co/8E8C49SEyu",Hawaii,15,Hawaii,676
12,"MISS WHAT?! Our open houses of course.⁣⁣
We have been super busy with lots and lots of VIRTUAL open houses to keep everyone Covid-safe. ⁣⁣
⁣⁣
#hawaii #oahu #hawaiirealestate https://t.co/iQ02jPeB7U",Hawaii,15,Hawaii,676
13,"Lots to be thankful for this weekend. 

Allow me to present Hunter and Kathryn Smith.  COVID19 put a huge question mark on everything but Kathryn rolled with it.  While ok with postponing the celebration she had been… https://t.co/peaSa73vY0",West Virginia,55,West Virginia,2161
14,Just weeks away from the dopest game night of the city COVID put us on pause‼️ Worry no more 🗣WE ARE BACK IN AFFECT 💪🏾. We have received clearance to move forward with planning Male vs Female Game Night! This shall be… https://t.co/ClJGdOSPt6,Illinois,17,Illinois,128415
15,3 Things Golf Learned from COVID | 256  https://t.co/ksxnJmvPhQ,Illinois,17,Illinois,128415
16,Fasting blood work this morning. GoodSam is not playing with this Covid. When you walk in the door there is a temperature station and once they take your temp they write it in a card to… https://t.co/qKofNQhwaG,Illinois,17,Illinois,128415
17,"Find yourself a friend who will hike with you through the pandemic and protest with you in the streets. @pink_chimneys thank you for being mine 💚💚💚💚 @ Chicago, Illinois https://t.co/nnd4dcW76j",Illinois,17,Illinois,128415
18,We back at it...Week 12....Stay tuned for updates on our food distributions  operation during the pandemic.... @ Inner-City Muslim Action Network (IMAN) https://t.co/th6kDdpU0f,Illinois,17,Illinois,128415
19,"Always alert, even with a drape on your face. 
https://t.co/rd3LMfp6pw 
.
.
.
#dailyfashionista #dailyjanga #dailypainintheass #realpresa #cabezagrande #presacanariosofinstagram #covid19 #socialdistancing #instastar… https://t.co/wmULdF9hDB",Illinois,17,Illinois,128415
20,Covid-19 Kobe died My Pops died World Wide riots and protest raging against the machine of white supremacy and neo colonialism Black folks being mocked murdered and mistreated world wide and especially in the country… https://t.co/EQqIWsPNdP,Illinois,17,Illinois,128415
21,"Celebrations continue even through this pandemic!  #miniparty #quarantineparty #signaturecocktails @ Barrington, Illinois https://t.co/qeyfPLR66y",Illinois,17,Illinois,128415
22,Making a Walmart run while being safe out here. DaVion was at home sleep so he not in. #staysafe #quarantining #walmartrun #coronavirus #family #walmartisthenewspot @ Walmart Supercenter… https://t.co/3GjvJ7DYea,Illinois,17,Illinois,128415
23,"First day candid from our first install back post-COVID 🖤 We’ve got new protocols and new norms, but it sure feels good to be back in the saddle. #brynnolsondesigngroup #interiordesign #installweek @ Hinsdale, Illinois https://t.co/41f5JvZ1m0",Illinois,17,Illinois,128415
24,"The QuaranTunes shall go on. Join me this Wednesday, (June 10th), @ 7pCentral on FB Live...
.
.
#quarantine #covid19 #quarantunes #singersongwriter #acoustic #singer #originalmusic #coversongs fishmanmusic… https://t.co/oeUhlQiw6c",Illinois,17,Illinois,128415
25,We decided to venture out for lunch today. First time since March 15th due to the #covid19 #pandemic. We did our #shelterinplace and survived. So we went to oldrepublickitchenbar for our first meal out. We #love this… https://t.co/Hx3l6J0qzO,Illinois,17,Illinois,128415
26,"The Phoenix will rise from the ashes...

#civilizationreset  #covid19 #coronavirus #clonedmeat #id2020 #event201 #mandatoryvaccines #frazzledrip #agenda21 #adrenochrome #pizzagate #fakenews   #predictiveprogramming… https://t.co/Ddua6kJiqD",Arizona,3,Arizona,27678
