,tweet,sentiment,tweet,location
0,"Black Oak Trail Landscape 20, B&amp;W
~ a lovely social distancing walk ~
~
~
#landscapelovers #landscapelover #californianativelandscape #californianativeplants #blackoaktrail #blackoaktrailloop #kennedygrove… https://t.co/zp9tkwxIzl",0.12222222222222225,"Black Oak Trail Landscape 20, B&amp;W
~ a lovely social distancing walk ~
~
~
#landscapelovers #landscapelover #californianativelandscape #californianativeplants #blackoaktrail #blackoaktrailloop #kennedygrove… https://t.co/zp9tkwxIzl",California
1,"First photo of the new C.S.E. HQ @ ATX Downtown.

The EMPEROR LILO sharing her new Covid protected HQ. Soon to be the Texas White House...

#lilo4PRESIDENT #chihuahuastar #chihuahuastarempireteroknor @ The… https://t.co/WZlvROEPP2",0.13068181818181818,"First photo of the new C.S.E. HQ @ ATX Downtown.

The EMPEROR LILO sharing her new Covid protected HQ. Soon to be the Texas White House...

#lilo4PRESIDENT #chihuahuastar #chihuahuastarempireteroknor @ The… https://t.co/WZlvROEPP2",Texas
2,"As we focus on health and well-being
#stayencouraged 
We are here for you. -
-
#blessed #goodvibes #pray #healthylifestyle #healthyfood #healing #coronavirus #nofear #loved #power #soundmind #soul #worldbridemagazine… https://t.co/65dqKfRMbf",0.7,"As we focus on health and well-being
#stayencouraged 
We are here for you. -
-
#blessed #goodvibes #pray #healthylifestyle #healthyfood #healing #coronavirus #nofear #loved #power #soundmind #soul #worldbridemagazine… https://t.co/65dqKfRMbf",New York
3,"Black Oak Trail Landscape 21
~  a lovely social distancing walk ~
~
~
#landscapelovers #landscapelover #californianativelandscape #californianativeplants #blackoaktrail #blackoaktrailloop #kennedygrove… https://t.co/8fU07YA50r",0.12222222222222225,"Black Oak Trail Landscape 21
~  a lovely social distancing walk ~
~
~
#landscapelovers #landscapelover #californianativelandscape #californianativeplants #blackoaktrail #blackoaktrailloop #kennedygrove… https://t.co/8fU07YA50r",California
4,"Black Oak Trail Landscape 21, B&amp;W
~ a lovely social distancing walk ~
~
~
#landscapelovers #landscapelover #californianativelandscape #californianativeplants #blackoaktrail #blackoaktrailloop #kennedygrove… https://t.co/UxONdTCoG6",0.12222222222222225,"Black Oak Trail Landscape 21, B&amp;W
~ a lovely social distancing walk ~
~
~
#landscapelovers #landscapelover #californianativelandscape #californianativeplants #blackoaktrail #blackoaktrailloop #kennedygrove… https://t.co/UxONdTCoG6",California
5,"OUR best trading partner continues to be the BIG BAD USA, which continue to suffer from the COVID-19 Pandemic🤔‼️

What does this mean for the Jamaican economy?

Source statinja @ Brooklyn, New York https://t.co/WkxZbg1izk",-0.03522727272727273,"OUR best trading partner continues to be the BIG BAD USA, which continue to suffer from the COVID-19 Pandemic🤔‼️

What does this mean for the Jamaican economy?

Source statinja @ Brooklyn, New York https://t.co/WkxZbg1izk",New York
6,#friends #forttryon #socialdistancing @ Washington Heights https://t.co/EKDB95GtXh,0.0,#friends #forttryon #socialdistancing @ Washington Heights https://t.co/EKDB95GtXh,New York
7,Social Distancing @ Tower Car Wash https://t.co/VXWSzGJtbB,0.03333333333333333,Social Distancing @ Tower Car Wash https://t.co/VXWSzGJtbB,California
8,I wanna go swimming                                             #summer #summer2020 #quarantine #swim #swimming #outdoorphotos #forestparkforever #parks #parklife @ World's Fair Pavilion In Forest Park https://t.co/0chFVECSX6,0.7,I wanna go swimming                                             #summer #summer2020 #quarantine #swim #swimming #outdoorphotos #forestparkforever #parks #parklife @ World's Fair Pavilion In Forest Park https://t.co/0chFVECSX6,Missouri
9,"Judge orders release of children from detention centers... The #TrumpConcentrationCamps that have recently become death camps for kids!

 https://t.co/kRxPJc8SFT #FuckDonaldTrump #NaziTrump #FailingTrump #RacistTrump #ConcentrationCampsForKids #COVID19 #Coronavirus #Pandemic",0.0,"Judge orders release of children from detention centers... The #TrumpConcentrationCamps that have recently become death camps for kids!

 https://t.co/kRxPJc8SFT #FuckDonaldTrump #NaziTrump #FailingTrump #RacistTrump #ConcentrationCampsForKids #COVID19 #Coronavirus #Pandemic",District of Columbia
10,"💜
-
I've been feeling off the last 6 months. 2020 feels like a weird dream that you kinda remember when you wake up. 
-
This week has been hard mentally. Between working from home and… https://t.co/vr1AvNuoc9",0.85,"💜
-
I've been feeling off the last 6 months. 2020 feels like a weird dream that you kinda remember when you wake up. 
-
This week has been hard mentally. Between working from home and… https://t.co/vr1AvNuoc9",Arizona
11,"Full day of working, taking care of mom, running errands, and trying to in the sun during this pandemic with a smile. @ Harlem–125th Street https://t.co/6Sg99IOzzd",0.0,"Full day of working, taking care of mom, running errands, and trying to in the sun during this pandemic with a smile. @ Harlem–125th Street https://t.co/6Sg99IOzzd",New York
12,"Stressed out? Feeling exhausted from the infighting on your social? Has the physical virus #covid19 and the mental virus #racism infected every aspect of your being? 

Well your conductor to your 88% happy train is… https://t.co/C0Tt4uiBo6",0.025,"Stressed out? Feeling exhausted from the infighting on your social? Has the physical virus #covid19 and the mental virus #racism infected every aspect of your being? 

Well your conductor to your 88% happy train is… https://t.co/C0Tt4uiBo6",California
