,tweet,sentiment,tweet,location
0,"ATLANTA, GA... 5/2. Day after stay at home order was lifted!! 🤦🏽‍♀️🤦🏽‍♀️.        FOLLOW, LIKE, SHARE, REPEAT! @great_atlanta #greatthingsatlanta #atlanta #covid_19 #covid19 #atl #atlantahairstylist… https://t.co/JTHVUc5r4t",0.0,"ATLANTA, GA... 5/2. Day after stay at home order was lifted!! 🤦🏽‍♀️🤦🏽‍♀️.        FOLLOW, LIKE, SHARE, REPEAT! @great_atlanta #greatthingsatlanta #atlanta #covid_19 #covid19 #atl #atlantahairstylist… https://t.co/JTHVUc5r4t",Georgia
1,"May 04 2020. Un ciclo de 1 año en Mesero! Con la Pandemia COVID-19! 33 años!  Soon to be married and A father! And 😉 here is when all begins............... @ University Park, Texas https://t.co/TNsG0Dg34B",0.3125,"May 04 2020. Un ciclo de 1 año en Mesero! Con la Pandemia COVID-19! 33 años!  Soon to be married and A father! And 😉 here is when all begins............... @ University Park, Texas https://t.co/TNsG0Dg34B",Texas
2,On today’s episode of the Coronavirus Cooking Diaries I made Glazed Lemon and Lemon Blueberry mini Bundt Cakes with the kids. Thank you bakeorbreak for the recipe. I made these in regular muffin tins and they came… https://t.co/LmBTYu7zrd,0.0,On today’s episode of the Coronavirus Cooking Diaries I made Glazed Lemon and Lemon Blueberry mini Bundt Cakes with the kids. Thank you bakeorbreak for the recipe. I made these in regular muffin tins and they came… https://t.co/LmBTYu7zrd,New York
3,Festival season should have kicked off last weekend in Memphis &amp; I’m sad it didn’t. Concerts and festivals are my jam and the things I look forward to the most throughout the year. I’m over Coronavirus now. I’m ready… https://t.co/ql1CtrTcga,0.05,Festival season should have kicked off last weekend in Memphis &amp; I’m sad it didn’t. Concerts and festivals are my jam and the things I look forward to the most throughout the year. I’m over Coronavirus now. I’m ready… https://t.co/ql1CtrTcga,Tennessee
4,"Mini me and me after our Covid cuts yesterday! @ San Pedro, California https://t.co/2ZFFq1df4W",0.0,"Mini me and me after our Covid cuts yesterday! @ San Pedro, California https://t.co/2ZFFq1df4W",California
5,"Not so “pro-life” anymore, I see. https://t.co/sEPB77oz3q",0.0,"Not so “pro-life” anymore, I see. https://t.co/sEPB77oz3q",California
6,"Quarantine day 52: Even in this corona virus era it’s not the age is the mileage. First world problems, how does one blow out the candles?  #coronavirus #workfromhome #birthdaycake #happybirthdaytome #smallvictories… https://t.co/bkz2UzhU9I",0.25,"Quarantine day 52: Even in this corona virus era it’s not the age is the mileage. First world problems, how does one blow out the candles?  #coronavirus #workfromhome #birthdaycake #happybirthdaytome #smallvictories… https://t.co/bkz2UzhU9I",California
7,"Covid-19 Quarantine Day #48... Just ran scales and training my fingers 2day. #soulcandymusic🎵🎶 #soulcandyrawks #theskiesthelimitin2020 #coronavirussuxs #theshowmustgoon @ Columbia, South Carolina https://t.co/iQWUgmBaD6",0.0,"Covid-19 Quarantine Day #48... Just ran scales and training my fingers 2day. #soulcandymusic🎵🎶 #soulcandyrawks #theskiesthelimitin2020 #coronavirussuxs #theshowmustgoon @ Columbia, South Carolina https://t.co/iQWUgmBaD6",South Carolina
8,"#corona #fashion #style #tshirtdesign @ Los Angeles, California https://t.co/lPT6yQolUp",0.0,"#corona #fashion #style #tshirtdesign @ Los Angeles, California https://t.co/lPT6yQolUp",California
9,"it's 10pm in #santamonica.
the #mailcarrier who belongs to this usps.official #mailtruck started her shift at 8am and is still out delivering mail. now THAT's #dedication! #thankyou #essentialworkers #coronavirus… https://t.co/yDO4xAPDun",0.0,"it's 10pm in #santamonica.
the #mailcarrier who belongs to this usps.official #mailtruck started her shift at 8am and is still out delivering mail. now THAT's #dedication! #thankyou #essentialworkers #coronavirus… https://t.co/yDO4xAPDun",California
10,Just chillin in the park on a Monday afternoon... #lightershadeofbrown #monday #mondaymotivation #mondaymood #mondayvibes #sip #covid19 #coronavirus #dolorespark #sanfrancisco #blueskies #spring #views #cityviews… https://t.co/qaWfdrWxL8,0.0,Just chillin in the park on a Monday afternoon... #lightershadeofbrown #monday #mondaymotivation #mondaymood #mondayvibes #sip #covid19 #coronavirus #dolorespark #sanfrancisco #blueskies #spring #views #cityviews… https://t.co/qaWfdrWxL8,California
11,I challenge you to ❤#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/FUHTItC3qZ,-0.0625,I challenge you to ❤#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/FUHTItC3qZ,New York
12,❤#SaveTheWorld from #Coronavirus!  Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Arabic https://t.co/YrxltDqaph #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/AuFsGgdJY1,-0.125,❤#SaveTheWorld from #Coronavirus!  Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Arabic https://t.co/YrxltDqaph #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/AuFsGgdJY1,New York
13,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/VUiNFWSMFD,0.0,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/VUiNFWSMFD,New York
14,I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/U6kb95BTnR,-0.0625,I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/U6kb95BTnR,New York
15,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/wYVfZZksCr,0.0,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/wYVfZZksCr,New York
16,❤❤ I challenge you to #SaveTheWorld from #Covid-19! Recycle empty soda bottles into face shields and become a hero!  https://t.co/b5luv683Ov #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/rgLrBvic0G,-0.125,❤❤ I challenge you to #SaveTheWorld from #Covid-19! Recycle empty soda bottles into face shields and become a hero!  https://t.co/b5luv683Ov #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/rgLrBvic0G,New York
17,"Mobilizing the World Through Giving

We believe that generosity has the power to unite and heal communities in good times and bad. A global threat like COVID-19 touches every person on the planet, and it presents an… https://t.co/KosVhgqJoX",3.7007434154171876e-17,"Mobilizing the World Through Giving

We believe that generosity has the power to unite and heal communities in good times and bad. A global threat like COVID-19 touches every person on the planet, and it presents an… https://t.co/KosVhgqJoX",Illinois
18,I challenge you to #SaveTheWorld❤ from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields #Bottles2Shields  Spanish https://t.co/Dzh14jOsuB  #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/rhALqEC3aN,-0.0625,I challenge you to #SaveTheWorld❤ from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields #Bottles2Shields  Spanish https://t.co/Dzh14jOsuB  #BillionShieldsChallenge #MayThe4thBeWithYou - https://t.co/rhALqEC3aN,New York
19,"Now I know a bunch of y’all just love old Bey but don’t take yo goofy ass down there to get hit with covid 19 now. No love for an artist is worth your life. Please don’t be ignorant y’all 🤦🏿‍♂️ @ Spring, Texas https://t.co/2Y5i30QDTu",0.16574074074074074,"Now I know a bunch of y’all just love old Bey but don’t take yo goofy ass down there to get hit with covid 19 now. No love for an artist is worth your life. Please don’t be ignorant y’all 🤦🏿‍♂️ @ Spring, Texas https://t.co/2Y5i30QDTu",Texas
