,tweet,location,Unnamed: 0,Province_State,Confirmed
0,"https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Monday with the latest local news on the coronavirus pandemic. If you have a news tip or question, email us https://t.co/q0q13whFGC #atx #austin #all512",Texas,49,Texas,41432
1,https://t.co/q1bIRBjDj8 A coalition of voters and civil rights groups opened a new front Monday in the legal wars over mail-in voting in Texas during the new coronavirus pandemic. https://t.co/zHeRYPCXhh #atx #austin #all512,Texas,49,Texas,41432
2,"https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Monday with the latest local news on the coronavirus pandemic. If you have a news tip or question, email us https://t.co/01Qc7f94Ub #atx #austin #all512",Texas,49,Texas,41432
3,https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Tuesday with the latest local news on the coronavirus pandemic. If you'd like to go through a roundup of https://t.co/uKknLrajFr #atx #austin #all512,Texas,49,Texas,41432
4,"https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Monday with the latest local news on the coronavirus pandemic. If you have a news tip or question, email us https://t.co/wKFmbhav4z #atx #austin #all512",Texas,49,Texas,41432
5,"Covid strikes again. Primus postponed yesterday. @ Austin, Texas https://t.co/aGWDpV6LWN",Texas,49,Texas,41432
6,https://t.co/q1bIRBjDj8 From Texas Standard : The traditional farm-to-table path for food has been disrupted by the COVID-19 pandemic. With so many people staying home and out of https://t.co/tKojjM1bZF #atx #austin #all512,Texas,49,Texas,41432
7,Ready to face the World!! #newnormal #covid19 #thissucks #bbq @ Texas https://t.co/Gk36CEkmwa,Texas,49,Texas,41432
8,https://t.co/q1bIRBjDj8 From Texas Standard : The traditional farm-to-table path for food has been disrupted by the COVID-19 pandemic. With so many people staying home and out of https://t.co/bidBu1vRYf #atx #austin #all512,Texas,49,Texas,41432
9,"https://t.co/q1bIRBjDj8 The rate of COVID-19 hospitalizations is nearly double among the Hispanic population in Austin and Travis County, health officials say. https://t.co/Jip1jfJnYh #atx #austin #all512",Texas,49,Texas,41432
10,"Let the CoFro go!
#covid19 #afro @ Houston, Texas https://t.co/E6N4a2x7YL",Texas,49,Texas,41432
11,"https://t.co/q1bIRBjDj8 The rate of COVID-19 hospitalizations is nearly double among the Latinx population in Austin and Travis County, health officials say. https://t.co/4Oz1S7XHH3 #atx #austin #all512",Texas,49,Texas,41432
12,"You wear a mask because you scared of coronavirus. I wear a mask cuz I'm scared y'all n***** don't know how to bathe. We are not the same @ Corpus Christi, Texas https://t.co/8OXVKysUfq",Texas,49,Texas,41432
13,"https://t.co/q1bIRBjDj8 The rate of COVID-19 hospitalizations is nearly double among the Latinx population in Austin and Travis County, health officials say. https://t.co/9E5ZJRVf6U #atx #austin #all512",Texas,49,Texas,41432
14,"#CoronaVirus #COVID19 #Pandemic #Virus #FaceMask #IHateMyFaceMask #WashYourHands #TacoTuesday #May12 #2020 #Texas #HumbleTx #Houston @ Forest Shadows, Humble, Texas https://t.co/i2W3A12n94",Texas,49,Texas,41432
15,"#comedy #COVID19 #snitchesgetstitches @ Knoxville, Tennessee https://t.co/kaYtmmXRFK",Tennessee,48,Tennessee,16111
16,"C17 flyover today honoring the front line heroes helping us through this Covid19 deal! God bless all the frontline angels! #usang #memphisang #memphisphotographer #901heroes #c17globemaster @ Collierville, Tennessee https://t.co/96Q3m7Uwcy",Tennessee,48,Tennessee,16111
17,Ready for day 2 being open. We are masked up for your protection. Come see us. #flyfishing #flyfisingisfun #flyfishingtn# #nashville #tennessee #middletennesseeoutdoors #covid19 #mask #jackbeagle #misspenny @ Fly South https://t.co/JxP3WMcT1S,Tennessee,48,Tennessee,16111
18,Check out our latest Innovation: Collaborative project from VU and VUMC improves intubation box safety for COVID-19 caregivers  https://t.co/2qkfRtJwIb,Tennessee,48,Tennessee,16111
19,"Turning one in days of covid makes you want to smash your cake... @ Ferndale, Washington https://t.co/nZzWJKGGtr",Washington,54,Washington,17330
20,I feel like the South and Midwest are not gonna have a very good summer. https://t.co/GuHzlhrji2,Washington,54,Washington,17330
21,"Scientists are trying to figure out why the #coronavirus hits some communities harder than others.

@nytimes: https://t.co/fcXm6tQWfS https://t.co/xp9Kbvnb0F",Washington,54,Washington,17330
22,"This makes it easier to read...
#socialdistancing #thecrowshaveit #covid19 #covid19art #sunprinting @ Seattle, Washington https://t.co/Pxub2r0l48",Washington,54,Washington,17330
23,".potus cut funding to THIS 2 WEEKS AGO!
@realdonaldtrump is ACTIVELY failing at all things #COVID-19 @ The White House https://t.co/4hOx4HwEaG",District of Columbia,10,District of Columbia,6485
24,#dcag Be careful to my D.C. residents the hot spots in the inner city. #coronavirus @ Washington D.C. https://t.co/KENyB9kHHI,District of Columbia,10,District of Columbia,6485
25,I have always said that he has hidden depths. https://t.co/Zz9v44ssBe,District of Columbia,10,District of Columbia,6485
26,"#series #tnt #tv #covid19 #cuarentenatv @ The Hammocks, Florida https://t.co/LBwDxdMkcn",Florida,11,Florida,41923
27,"#Irs #Stimulus #Coronavirus IRS deadline to direct deposit stimulus checks is very, very soon https://t.co/8X5Xn5on1h https://t.co/JvbJBIlvha",Florida,11,Florida,41923
28,#MentalHealth #Coronavirus #SocialGood What's happening in the world is out of your control. These 7 strategies will help you feel better. https://t.co/6jALhAwguN https://t.co/XDP2O1RlAG,Florida,11,Florida,41923
29,#SexAndRelationships #Coronavirus #Culture Virtual dating FOMO is real. But don't feel pressured if it's not for you. https://t.co/C92v5xokV7 https://t.co/h8lTKh2Q6E,Florida,11,Florida,41923
30,"#Irs #Stimulus #Coronavirus IRS deadline to direct deposit stimulus checks is very, very soon https://t.co/IgPZIQTv23 https://t.co/sWxvWBNlIN",Florida,11,Florida,41923
31,"Me about to punch the Coronavirus for getting too close. #orangeismedia  insta360 @ Orlando, Florida https://t.co/1HpMRLRbh0",Florida,11,Florida,41923
32,"Sold sold sold, our team went above and beyond to assist this seller, Covid19 stoped the process several times but with perseverance we got it done. @ Jose R Perez https://t.co/LHGIL67khZ",Florida,11,Florida,41923
33,Thank God for @daniel_m_lavery because I keep hyper focusing on masks and stuff lol https://t.co/QypCtJnTPQ,Florida,11,Florida,41923
34,#Science #FaceMask #Coronavirus Face masks show Earth's grim warming trend https://t.co/Gf3QH38BFt https://t.co/KCoUmZP1sJ,Florida,11,Florida,41923
35,#WorkFromHome #ConnectedCar #Coronavirus How to transform your car into an office https://t.co/s36WRRoQjD https://t.co/NQmxAvSZDw,Florida,11,Florida,41923
36,"TA-COVID19, or SEVEN LAYER DRIP?
Still undecided on the name...
#tacotuesday #sevenlayerdip #acryliconcanvas #centrifugepainting  #complicatedartman #iamanartist @ Avalon Park, Florida https://t.co/jckoQWH7xb",Florida,11,Florida,41923
37,"CORONAVIRUS UPDATE: MAY 11, 2020
__________________
#Osceola #backtowork #noticias #news #Orlando #kissimmee #poinciana #buenaventuralakes #campbell #stcloud #celebration #yeehawjunction #orlando #ocoee #winterpark #doctorphillips #osceolastar
__________________ https://t.co/lNRlHypaR2",Florida,11,Florida,41923
38,Just sent in my Covid -19 antibody snot test. @ Halifax Health https://t.co/95HHPoL98D,Florida,11,Florida,41923
39,IRS COVID-19 Fix For Workplace Health And Dependent Care Flexible Spending Accounts: Mid-Year Changes Now Allowed https://t.co/4YX7eu6LUV https://t.co/DV8BxklOl1,Florida,11,Florida,41923
40,Join Commisioner Denise Grant on Wednesday 13th May 2020 at 11am EST. Find out what your city is saying about COVID-19 and how they are helping businesses and more @ Miramar Kingdom Community Center https://t.co/XTABkcOJtF,Florida,11,Florida,41923
41,"My Coronavirus story! New job, less stress, not able to travel and go to the gym. 502 miles on 28 rides in 2 months! @ Julington Lakes https://t.co/5Udkthsqug",Florida,11,Florida,41923
42,"Mega shouts out to @fydelity for sending me like 5 fresh ass covid masks.

They are dope and come in different styles and colors. @ P Section https://t.co/vUUaK3BpIW",Florida,11,Florida,41923
43,"Matamoska B.C. (Before corona) #eastLA #flex #ska #punk #livemusic #memes @ East Los Angeles, California https://t.co/2Y3gXoOii0",California,5,California,70978
44,"COVID-19 SFPD ALERT deployment again today. #stayhome  #sfpdalert  #sfpdcares @ San Francisco, California https://t.co/Fza26KXj8D",California,5,California,70978
45,"Did you know? FYI, especially during Corona-time Pandemic. #stretches #excercise #fitnessmotivation #feelbetter #covid19 #shelterinplace #quarantine @ Lower Haight, San Francisco https://t.co/SOSGPlzdxt",California,5,California,70978
46,"#Double #Rainbow through the #trees of #DavisCA, on the day that the original viral #doublerainbow guy, #YosemiteBear, passed away due to #COVID19. #YOLO @ West Davis, Davis https://t.co/1B1c3tN92g",California,5,California,70978
47,"Covid or not I still need my Musubi Mondays #maskon @ Irvine, California https://t.co/dXruBzC46R",California,5,California,70978
